"area_familia","especialidad_sector","modalidad","fecha","razon_social","fecha_resolucion","canton","provincia","id_fact_oc_cp","id_razon_social","id_curso_perfil","id_fecha","dia","mes","tipo","curso_perfil","estado","tipo_razon_social","carga_horaria","costo","anio","num_cap_cer","total_ganancias","total_horas","prediction(porcentaje_asistencia)"
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2021","MISSING","MISSING","MISSING","MISSING",19.0,100.0,2590.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",130.0,3091.4,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2018","MISSING","MISSING","MISSING","MISSING",814.0,100.0,2589.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",125.0,2972.5,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2018","MISSING","MISSING","MISSING","MISSING",815.0,100.0,2588.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",200.0,22.0,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"electricidad y electrónica","electrónica industrial","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",20.0,121.0,4871.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",25.0,42.75,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.414677276746242
"electricidad y electrónica","electrónica industrial","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",21.0,121.0,4869.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,51.3,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.414677276746242
"electricidad y electrónica","MISSING","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",22.0,121.0,4875.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",36.0,61.56,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"electricidad y electrónica","redes eléctricas","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",23.0,121.0,4880.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",40.0,68.4,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,0.8862689893627697
"electricidad y electrónica","electrotecnia y luminotecnia","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",24.0,121.0,4874.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",18.0,30.78,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.3515220411772135
"electricidad y electrónica","electrotecnia y luminotecnia","online","31-12-2021","MISSING","MISSING","cuenca","azuay",25.0,121.0,4883.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",18.0,30.06,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.3515220411772135
"electricidad y electrónica","electrónica industrial","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",26.0,121.0,4870.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,51.3,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.414677276746242
"electricidad y electrónica","MISSING","presencial","31-12-2021","MISSING","MISSING","cuenca","azuay",27.0,121.0,4877.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",40.0,68.4,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"electricidad y electrónica","electrónica industrial","online","31-12-2021","MISSING","MISSING","cuenca","azuay",28.0,121.0,4882.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,44.1,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.414677276746242
"electricidad y electrónica","electrónica industrial","presencial","31-12-2018","MISSING","MISSING","cuenca","azuay",816.0,121.0,4869.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,51.3,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.414677276746242
"electricidad y electrónica","MISSING","presencial","31-12-2018","MISSING","MISSING","cuenca","azuay",817.0,121.0,4875.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",36.0,61.56,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"electricidad y electrónica","redes eléctricas","presencial","31-12-2018","MISSING","MISSING","cuenca","azuay",818.0,121.0,4880.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",40.0,68.4,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,0.8862689893627697
"electricidad y electrónica","electrotecnia y luminotecnia","presencial","31-12-2018","MISSING","MISSING","cuenca","azuay",819.0,121.0,4874.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",18.0,30.78,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.3515220411772135
"electricidad y electrónica","electrotecnia y luminotecnia","online","31-12-2018","MISSING","MISSING","cuenca","azuay",820.0,121.0,4883.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",18.0,30.06,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.3515220411772135
"electricidad y electrónica","electrónica industrial","presencial","31-12-2019","MISSING","MISSING","cuenca","azuay",947.0,121.0,4869.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,51.3,2019.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.414677276746242
"electricidad y electrónica","MISSING","presencial","31-12-2019","MISSING","MISSING","cuenca","azuay",948.0,121.0,4875.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",36.0,61.56,2019.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"electricidad y electrónica","redes eléctricas","presencial","31-12-2019","MISSING","MISSING","cuenca","azuay",949.0,121.0,4880.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",40.0,68.4,2019.0,81.83363148479428,25420.02811227532,1872.6940966010734,0.8862689893627697
"electricidad y electrónica","electrotecnia y luminotecnia","presencial","31-12-2019","MISSING","MISSING","cuenca","azuay",950.0,121.0,4874.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",18.0,30.78,2019.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.3515220411772135
"electricidad y electrónica","electrotecnia y luminotecnia","online","31-12-2019","MISSING","MISSING","cuenca","azuay",951.0,121.0,4883.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",18.0,30.06,2019.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.3515220411772135
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",29.0,129.0,1745.0,6.0,31.0,12.0,"curso","brigadas de emergencia","calificado","operador de capacitación",16.0,760.96,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",30.0,129.0,1756.0,6.0,31.0,12.0,"curso","brigadas de primeros auxilios","calificado","operador de capacitación",16.0,760.96,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"educación y capacitación","formación de instructores facilitadores monitores maestros guías formadores","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",31.0,129.0,1761.0,6.0,31.0,12.0,"curso","formación de formadores","calificado","operador de capacitación",40.0,150.0,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,0.6935481707971247
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",32.0,129.0,1744.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",10.0,475.6,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",33.0,129.0,1747.0,6.0,31.0,12.0,"curso","prevención en el manejo de desechos hospitalarios","calificado","operador de capacitación",40.0,760.8,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",34.0,129.0,1759.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",12.0,761.04,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",35.0,129.0,1749.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",16.0,760.96,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"alimentación gastronomía y turismo","elaboración tecnología y producción de alimentos","presencial","31-12-2021","MISSING","MISSING","MISSING","pichincha",36.0,129.0,1740.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",40.0,760.8,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,0.1262626262626262
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2018","MISSING","MISSING","MISSING","pichincha",821.0,129.0,1747.0,3.0,31.0,12.0,"curso","prevención en el manejo de desechos hospitalarios","calificado","operador de capacitación",40.0,760.8,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"administración y legislación","gestión del talento humano","presencial","31-12-2019","MISSING","MISSING","MISSING","pichincha",952.0,129.0,1735.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",10.0,593.6999999999999,2019.0,81.83363148479428,25420.02811227532,1872.6940966010734,13.727327276906806
"procesos industriales","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",37.0,147.0,2088.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",50.0,529.0,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"procesos industriales","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",38.0,147.0,2074.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",150.0,2478.0,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"MISSING","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",39.0,147.0,2075.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",150.0,241.50000000000003,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"MISSING","MISSING","presencial","31-12-2019","MISSING","MISSING","quito","pichincha",953.0,147.0,2075.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",150.0,241.50000000000003,2019.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"alimentación gastronomía y turismo","MISSING","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",40.0,180.0,2555.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",600.0,39654.0,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"alimentación gastronomía y turismo","MISSING","virtual","31-12-2021","MISSING","MISSING","quito","pichincha",41.0,180.0,2556.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",600.0,3132.0,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",42.0,180.0,2577.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",500.0,3437.9365079365057,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,27.97619047619048
"educación y capacitación","capacitación","virtual","31-12-2021","MISSING","MISSING","quito","pichincha",43.0,180.0,2578.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",500.0,3437.9365079365057,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,27.97619047619048
"forestal ecología y medio ambiente","MISSING","virtual","31-12-2021","MISSING","MISSING","quito","pichincha",44.0,180.0,2533.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",30.0,84.3,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,6.944444444444445
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","santo domingo","santo domingo de los tsachilas",45.0,186.0,31.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",40.0,75.19999999999999,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","santo domingo","santo domingo de los tsachilas",46.0,186.0,30.0,6.0,31.0,12.0,"curso","prevención de riesgos laborales","calificado","operador de capacitación",40.0,200.0,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",47.0,194.0,5233.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",268.0,1842.733968253967,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,27.97619047619048
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",48.0,194.0,5229.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",267.0,1835.8580952380944,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,27.97619047619048
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",49.0,194.0,5232.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",266.0,1828.982222222221,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,27.97619047619048
"educación y capacitación","capacitación","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",823.0,194.0,5230.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",267.0,1835.8580952380944,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,27.97619047619048
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",50.0,196.0,5110.0,6.0,31.0,12.0,"curso","brigadas de emergencia","calificado","operador de capacitación",22.0,401.06,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",824.0,196.0,5107.0,3.0,31.0,12.0,"curso","brigadas contra incendios","calificado","operador de capacitación",8.0,528.72,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",825.0,196.0,5109.0,3.0,31.0,12.0,"curso","brigadas de comunicación","calificado","operador de capacitación",8.0,528.72,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",826.0,196.0,5111.0,3.0,31.0,12.0,"curso","brigadas de evacuación y rescate","calificado","operador de capacitación",8.0,528.72,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",827.0,196.0,5108.0,3.0,31.0,12.0,"curso","brigadas de primeros auxilios","calificado","operador de capacitación",8.0,528.72,2018.0,81.83363148479428,25420.02811227532,1872.6940966010734,1.4805278403604765
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",51.0,212.0,4958.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",16.0,528.8,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",52.0,212.0,4959.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",16.0,29.44,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",53.0,212.0,4955.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",8.0,528.72,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",54.0,212.0,4965.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",8.0,14.72,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",55.0,212.0,4947.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",8.0,528.72,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",56.0,212.0,4948.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",8.0,14.72,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",57.0,212.0,4943.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",8.0,528.72,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",58.0,212.0,4962.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",8.0,14.72,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",59.0,212.0,4949.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",16.0,528.8,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",60.0,212.0,4950.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",16.0,29.44,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",61.0,212.0,4945.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",16.0,528.8,2021.0,81.83363148479428,25420.02811227532,1872.6940966010734,11.30952380952381
