"canton","provincia","id_fact_oc_rs","id_razon_social","id_fecha","dia","fecha","razon_social","estado","tipo_razon_social","fecha_resolucion","mes","anio","total_cursos","volumen_cap_cer","volumen_horas","prediction(volumen_ganancias)"
"quito","pichincha",434.0,1532.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0216",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"milagro","guayas",442.0,1588.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0076",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"MISSING","MISSING",445.0,1612.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0028",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"latacunga","cotopaxi",446.0,1619.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0329",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,690544.433015873
"quito","pichincha",447.0,1635.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0421",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"rumiñahui","pichincha",448.0,1636.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0660",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"manta","manabi",449.0,1640.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0200",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,735124.4000000001
"azogues","cañar",450.0,1646.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0479",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",452.0,1655.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0519",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"guayaquil","guayas",453.0,1657.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0424",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"quito","pichincha",454.0,1664.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0600",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"guayaquil","guayas",456.0,1677.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0408",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"quito","pichincha",457.0,1685.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0169",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"cuenca","azuay",458.0,1689.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0101",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"MISSING","el oro",465.0,1748.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0399",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",471.0,1779.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0585",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"loja","loja",472.0,1793.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0644",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",477.0,1834.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0455",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",478.0,1838.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0247",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"cuenca","azuay",489.0,1884.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2022-0062",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"cuenca","azuay",494.0,1913.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-ren-2021-0011",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"manta","manabi",495.0,1917.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0476",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,735124.4000000001
"MISSING","pichincha",496.0,1921.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2022-0035",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"quito","pichincha",498.0,1960.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0164",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",499.0,2003.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0508",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"quito","pichincha",500.0,2019.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0297",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"riobamba","chimborazo",501.0,2023.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0406",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,949665.52
"daule","guayas",503.0,2051.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-ren-2021-0001",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,648103.8852740575
"guayaquil","guayas",505.0,2053.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0299",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
"santo domingo","santo domingo de los tsachilas",506.0,2056.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0526",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,238288.48
"quito","pichincha",507.0,2075.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2021-0343",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,322794.4
"guayaquil","guayas",510.0,2104.0,2143.0,28.0,"28-02-2023",,"calificado","capacitador independiente","resolución no. mdt-ci-cal-2020-0268",2.0,2023.0,7.829411764705882,634.1588235294117,25711.020588235293,123581.74
