"familia","sector","estado","canton","provincia","id_fact_oec","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",193.0,4.0,29.0,24.0,3.0,2022.0,5.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",194.0,4.0,31.0,24.0,4.0,2021.0,6.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",195.0,4.0,23.0,24.0,7.0,2022.0,13.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",197.0,4.0,10.0,25.0,2.0,2022.0,1.0,2.3189655172413794
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",200.0,4.0,34.0,26.0,7.0,2022.0,3.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",201.0,3.0,5.0,26.0,8.0,2021.0,1.0,1.8222748815165877
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",202.0,4.0,30.0,27.0,11.0,2020.0,6.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",205.0,3.0,20.0,28.0,10.0,2020.0,2.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",206.0,3.0,44.0,29.0,4.0,2022.0,10.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",207.0,4.0,21.0,29.0,7.0,2022.0,10.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",211.0,3.0,48.0,30.0,12.0,2019.0,1.0,9.181818181818182
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",212.0,3.0,48.0,30.0,12.0,2019.0,46.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",214.0,3.0,11.0,31.0,5.0,2021.0,6.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",217.0,2.0,39.0,1.0,9.0,2021.0,36.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",218.0,3.0,25.0,1.0,10.0,2020.0,5.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",221.0,2.0,5.0,2.0,2.0,2022.0,2.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",222.0,2.0,8.0,2.0,9.0,2020.0,7.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",223.0,3.0,28.0,2.0,10.0,2021.0,12.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",225.0,3.0,7.0,3.0,12.0,2020.0,3.0,1.8222748815165877
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",227.0,2.0,13.0,4.0,8.0,2021.0,12.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",229.0,1.0,1.0,5.0,2.0,2021.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",230.0,1.0,3.0,5.0,3.0,2020.0,3.0,3.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",232.0,1.0,1.0,5.0,6.0,2021.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",236.0,2.0,14.0,6.0,2.0,2020.0,4.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",240.0,2.0,5.0,6.0,6.0,2021.0,3.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",242.0,3.0,3.0,6.0,12.0,2021.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",247.0,2.0,19.0,7.0,10.0,2019.0,2.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",249.0,2.0,4.0,7.0,10.0,2020.0,3.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",251.0,3.0,11.0,7.0,11.0,2020.0,3.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",255.0,2.0,57.0,8.0,10.0,2019.0,32.0,32.473684210526315
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",256.0,2.0,57.0,8.0,10.0,2019.0,25.0,32.473684210526315
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",258.0,2.0,45.0,9.0,4.0,2021.0,43.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",259.0,3.0,51.0,9.0,6.0,2022.0,21.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",260.0,1.0,5.0,9.0,9.0,2019.0,5.0,5.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",262.0,3.0,11.0,10.0,1.0,2021.0,1.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",265.0,3.0,26.0,10.0,8.0,2020.0,22.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",267.0,2.0,10.0,10.0,10.0,2019.0,8.0,5.761627906976744
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",268.0,2.0,10.0,10.0,10.0,2019.0,2.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",271.0,2.0,9.0,11.0,3.0,2020.0,2.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",275.0,2.0,3.0,12.0,12.0,2019.0,1.0,1.4796380090497738
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",276.0,2.0,3.0,12.0,12.0,2019.0,2.0,1.4796380090497738
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",277.0,1.0,2.0,13.0,1.0,2020.0,2.0,2.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",280.0,2.0,22.0,13.0,7.0,2020.0,4.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",281.0,2.0,3.0,13.0,7.0,2022.0,2.0,1.4796380090497738
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",283.0,3.0,21.0,13.0,9.0,2021.0,8.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",284.0,3.0,62.0,13.0,10.0,2020.0,1.0,39.333333333333336
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",286.0,3.0,6.0,14.0,1.0,2021.0,2.0,1.8222748815165877
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",289.0,2.0,16.0,14.0,5.0,2021.0,4.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",293.0,1.0,2.0,15.0,2.0,2022.0,2.0,2.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",294.0,3.0,12.0,15.0,3.0,2021.0,1.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",295.0,2.0,4.0,15.0,7.0,2022.0,2.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",298.0,2.0,4.0,15.0,11.0,2020.0,3.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",299.0,3.0,9.0,16.0,1.0,2021.0,2.0,1.8222748815165877
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",304.0,1.0,1.0,16.0,9.0,2019.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",305.0,2.0,19.0,17.0,1.0,2021.0,2.0,9.571428571428571
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",306.0,1.0,6.0,17.0,2.0,2020.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",307.0,1.0,4.0,17.0,3.0,2021.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",311.0,2.0,4.0,17.0,9.0,2021.0,1.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",312.0,1.0,2.0,17.0,10.0,2019.0,2.0,2.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",314.0,3.0,12.0,18.0,7.0,2020.0,6.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",315.0,3.0,8.0,18.0,7.0,2022.0,1.0,1.8222748815165877
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",319.0,1.0,4.0,19.0,1.0,2021.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",320.0,3.0,36.0,19.0,1.0,2022.0,4.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",321.0,3.0,9.0,19.0,2.0,2022.0,1.0,1.8222748815165877
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",323.0,2.0,2.0,19.0,5.0,2021.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",326.0,3.0,22.0,20.0,5.0,2022.0,5.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",329.0,2.0,21.0,20.0,9.0,2021.0,3.0,5.9
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",331.0,2.0,30.0,20.0,11.0,2019.0,5.0,17.742424242424242
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",332.0,2.0,30.0,20.0,11.0,2019.0,25.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",338.0,3.0,10.0,22.0,4.0,2022.0,3.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",339.0,2.0,18.0,22.0,5.0,2021.0,1.0,5.9
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",340.0,2.0,39.0,22.0,5.0,2022.0,20.0,17.742424242424242
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",343.0,1.0,6.0,23.0,7.0,2020.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",345.0,3.0,62.0,23.0,9.0,2020.0,1.0,39.333333333333336
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",346.0,2.0,4.0,23.0,10.0,2019.0,3.0,1.981012658227848
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",347.0,2.0,4.0,23.0,10.0,2019.0,1.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",348.0,2.0,5.0,23.0,10.0,2020.0,1.0,2.6473684210526316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",349.0,3.0,10.0,23.0,11.0,2020.0,1.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",350.0,3.0,31.0,24.0,4.0,2022.0,4.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",353.0,3.0,23.0,24.0,6.0,2021.0,3.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",354.0,3.0,21.0,24.0,7.0,2021.0,2.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",355.0,3.0,18.0,24.0,8.0,2021.0,10.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",358.0,3.0,16.0,25.0,1.0,2022.0,9.0,5.828451882845188
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",360.0,3.0,11.0,25.0,6.0,2021.0,3.0,3.533333333333333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",361.0,1.0,1.0,25.0,7.0,2020.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",362.0,2.0,24.0,25.0,9.0,2019.0,7.0,5.9
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",366.0,2.0,4.0,26.0,4.0,2022.0,3.0,1.981012658227848
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",371.0,1.0,1.0,27.0,2.0,2020.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",372.0,2.0,13.0,27.0,2.0,2021.0,11.0,5.761627906976744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",373.0,3.0,6.0,27.0,6.0,2021.0,2.0,1.8222748815165877
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",378.0,3.0,5.0,28.0,5.0,2022.0,2.0,1.8222748815165877
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",379.0,1.0,4.0,28.0,7.0,2021.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",382.0,2.0,19.0,28.0,10.0,2019.0,1.0,5.9
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",384.0,2.0,16.0,29.0,1.0,2020.0,7.0,5.9
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",385.0,3.0,5.0,29.0,1.0,2021.0,2.0,1.8222748815165877
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",386.0,3.0,23.0,29.0,3.0,2021.0,7.0,5.828451882845188
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",390.0,2.0,9.0,29.0,10.0,2019.0,7.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",391.0,2.0,15.0,29.0,12.0,2019.0,1.0,5.9
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",393.0,2.0,8.0,30.0,1.0,2021.0,5.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",396.0,3.0,9.0,30.0,6.0,2022.0,3.0,1.8222748815165877
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",397.0,3.0,14.0,30.0,12.0,2021.0,8.0,3.533333333333333
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",404.0,1.0,2.0,2.0,12.0,2019.0,2.0,2.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",406.0,1.0,1.0,8.0,11.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",408.0,1.0,35.0,17.0,12.0,2019.0,35.0,35.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",409.0,1.0,13.0,23.0,12.0,2019.0,13.0,13.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",411.0,1.0,11.0,10.0,12.0,2019.0,11.0,11.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",412.0,1.0,9.0,21.0,8.0,2019.0,9.0,9.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",415.0,2.0,9.0,30.0,10.0,2019.0,4.0,3.9054726368159205
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",420.0,1.0,27.0,27.0,11.0,2019.0,27.0,27.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",425.0,1.0,1.0,11.0,9.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",426.0,1.0,2.0,20.0,9.0,2019.0,2.0,2.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",428.0,1.0,1.0,16.0,11.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",429.0,1.0,12.0,27.0,12.0,2019.0,12.0,12.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",430.0,1.0,7.0,16.0,12.0,2019.0,7.0,7.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",431.0,2.0,7.0,4.0,9.0,2019.0,5.0,3.9054726368159205
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",432.0,1.0,2.0,7.0,11.0,2019.0,2.0,2.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",433.0,1.0,7.0,19.0,12.0,2019.0,7.0,7.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",435.0,1.0,58.0,12.0,11.0,2019.0,58.0,57.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",437.0,1.0,1.0,8.0,12.0,2019.0,1.0,1.0
