"familia","sector","estado","canton","provincia","id_fact_oec","num_cer","total_horas","total_cursos","volumen_capacitados","total_ganacias","mes","anio","%_asistencia","prediction(%_asistencia)"
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",47.0,7.0,42.0,3.0,31.0,1750.0,6.0,2022.0,0.0,1.9879732566137082E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",50.0,4.0,24.0,2.0,5.0,1000.0,5.0,2022.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",51.0,2.0,12.0,2.0,11.0,500.0,2.0,2022.0,0.0,-2.5172795621575088E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",55.0,1.0,6.0,3.0,5.0,250.0,5.0,2022.0,0.0,2.535865543036326E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",57.0,10.0,60.0,3.0,16.0,2500.0,6.0,2022.0,0.0,1.9026855910437863E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",58.0,1.0,6.0,2.0,20.0,250.0,7.0,2022.0,0.0,2.7025600057140227E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",59.0,5.0,30.0,4.0,30.0,1250.0,4.0,2022.0,0.0,6.481803107316782E-6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",67.0,1.0,6.0,2.0,3.0,250.0,2.0,2020.0,0.0,1.4517459485841218E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",69.0,18.0,108.0,3.0,20.0,4500.0,9.0,2021.0,0.0,8.207069207155195E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",70.0,3.0,18.0,3.0,27.0,750.0,12.0,2020.0,0.0,-1.435859044154773E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",78.0,28.0,168.0,2.0,30.0,7000.0,6.0,2022.0,0.0,-1.9912454074715296E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",82.0,2.0,12.0,3.0,5.0,500.0,7.0,2021.0,0.0,2.535865543036326E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",84.0,4.0,24.0,2.0,7.0,1000.0,7.0,2021.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",85.0,5.0,30.0,2.0,7.0,1250.0,9.0,2021.0,0.0,2.3251834694333357E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",88.0,38.0,228.0,2.0,57.0,9500.0,11.0,2019.0,0.0,-0.0017065625568533525
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",90.0,22.0,132.0,4.0,40.0,5500.0,3.0,2022.0,0.0,-4.153243167384522E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",92.0,4.0,24.0,2.0,5.0,1000.0,4.0,2022.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",93.0,3.0,18.0,3.0,30.0,750.0,7.0,2022.0,0.0,1.9815947713182087E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",94.0,3.0,18.0,3.0,12.0,750.0,5.0,2021.0,0.0,-1.8308528060106792E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",95.0,11.0,66.0,4.0,62.0,2750.0,2.0,2022.0,0.0,0.0019023530504724386
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",97.0,5.0,30.0,3.0,10.0,1250.0,2.0,2022.0,0.0,1.9026611347312556E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",101.0,10.0,60.0,3.0,37.0,2500.0,3.0,2022.0,0.0,1.7491307222412562E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",103.0,5.0,30.0,3.0,15.0,1250.0,9.0,2021.0,0.0,1.520458018926087E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",106.0,2.0,12.0,3.0,6.0,500.0,8.0,2021.0,0.0,2.535865543036326E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",107.0,4.0,24.0,2.0,34.0,1000.0,3.0,2022.0,0.0,8.954121620758943E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",109.0,1.0,6.0,2.0,13.0,250.0,11.0,2019.0,0.0,-1.1530930941221467E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",111.0,13.0,78.0,2.0,14.0,3250.0,8.0,2021.0,0.0,0.0010502430101364093
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",123.0,9.0,54.0,3.0,17.0,2250.0,12.0,2019.0,0.0,6.33580649586742E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",125.0,47.0,282.0,3.0,51.0,11750.0,12.0,2019.0,0.0,6.067407977079515E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",126.0,3.0,18.0,2.0,26.0,750.0,11.0,2019.0,0.0,-1.0678054285522248E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",127.0,23.0,138.0,2.0,26.0,5750.0,11.0,2019.0,0.0,-3.995498045033406E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",128.0,1.0,6.0,2.0,8.0,250.0,12.0,2019.0,0.0,-7.164212592174462E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",131.0,17.0,102.0,2.0,20.0,4250.0,10.0,2019.0,0.0,8.167299923324657E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",132.0,5.0,30.0,2.0,28.0,1250.0,9.0,2019.0,0.0,1.9340300162680197E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",135.0,3.0,18.0,2.0,4.0,750.0,12.0,2019.0,0.0,-7.164212592174462E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",138.0,3.0,18.0,2.0,10.0,750.0,11.0,2019.0,0.0,-7.164212592174462E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",139.0,7.0,42.0,2.0,10.0,1750.0,11.0,2019.0,0.0,1.369349612427408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",141.0,1.0,6.0,2.0,6.0,250.0,7.0,2021.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",142.0,2.0,12.0,3.0,10.0,500.0,11.0,2020.0,0.0,-1.0844748748199944E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",145.0,2.0,12.0,4.0,22.0,500.0,2.0,2022.0,0.0,-2.4576491317889176E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",148.0,1.0,6.0,3.0,4.0,250.0,10.0,2019.0,0.0,-1.6841030164460417E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",156.0,6.0,36.0,4.0,48.0,1500.0,9.0,2020.0,0.0,-4.1149923125249725E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",159.0,60.0,360.0,3.0,66.0,15000.0,10.0,2019.0,0.0,0.01430200048505421
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",160.0,5.0,30.0,3.0,66.0,1250.0,10.0,2019.0,0.0,0.002081226716090523
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",164.0,1.0,6.0,2.0,2.0,250.0,12.0,2020.0,0.0,-7.164212592174462E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",168.0,4.0,24.0,4.0,16.0,1000.0,11.0,2020.0,0.0,-3.4443019352652354E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",169.0,3.0,18.0,4.0,28.0,750.0,4.0,2022.0,0.0,-2.0209528405716864E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",170.0,6.0,36.0,4.0,11.0,1500.0,7.0,2022.0,0.0,-2.046963449675414E-6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",173.0,26.0,156.0,3.0,55.0,6500.0,7.0,2022.0,0.0,0.001222256309919967
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",177.0,1.0,6.0,4.0,50.0,250.0,4.0,2022.0,0.0,-7.733857602980603E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",181.0,9.0,54.0,4.0,44.0,2250.0,4.0,2022.0,0.0,-3.3065987758122955E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",182.0,2.0,12.0,4.0,17.0,500.0,7.0,2022.0,0.0,-2.0372840184750256E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",186.0,8.0,48.0,4.0,59.0,2000.0,6.0,2022.0,0.0,-9.532348645920228E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",187.0,3.0,18.0,4.0,20.0,750.0,1.0,2022.0,0.0,-2.4576491317889176E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",188.0,10.0,60.0,4.0,38.0,2500.0,2.0,2022.0,0.0,-6.107207945165154E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",192.0,8.0,48.0,3.0,17.0,2000.0,9.0,2021.0,0.0,1.5894145065926697E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",193.0,5.0,30.0,4.0,29.0,1250.0,3.0,2022.0,0.0,6.481803107316782E-6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",194.0,6.0,36.0,4.0,31.0,1500.0,4.0,2021.0,0.0,6.481803107316782E-6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",195.0,13.0,78.0,4.0,23.0,3250.0,7.0,2022.0,0.0,8.664562541393474E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",197.0,1.0,6.0,4.0,10.0,250.0,2.0,2022.0,0.0,-2.106264962454139E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",200.0,3.0,18.0,4.0,34.0,750.0,7.0,2022.0,0.0,-1.3957966790671943E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",201.0,1.0,6.0,3.0,5.0,250.0,8.0,2021.0,0.0,2.535865543036326E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",202.0,6.0,36.0,4.0,30.0,1500.0,11.0,2020.0,0.0,-1.2732433980504592E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",205.0,2.0,12.0,3.0,20.0,500.0,10.0,2020.0,0.0,-5.1979447097938274E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",206.0,10.0,60.0,3.0,44.0,2500.0,4.0,2022.0,0.0,-1.383443550271755E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",207.0,10.0,60.0,4.0,21.0,2500.0,7.0,2022.0,0.0,6.481803107316782E-6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",211.0,1.0,6.0,3.0,48.0,250.0,12.0,2019.0,0.0,9.918492495826232E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",212.0,46.0,276.0,3.0,48.0,11500.0,12.0,2019.0,0.0,-0.0016370661431095888
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",214.0,6.0,36.0,3.0,11.0,1500.0,5.0,2021.0,0.0,1.9026855910437863E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",217.0,36.0,216.0,2.0,39.0,9000.0,9.0,2021.0,0.0,-1.8533441993922022E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",218.0,5.0,30.0,3.0,25.0,1250.0,10.0,2020.0,0.0,1.5659764006654715E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",221.0,2.0,12.0,2.0,5.0,500.0,2.0,2022.0,0.0,1.8494387868894964E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",222.0,7.0,42.0,2.0,8.0,1750.0,9.0,2020.0,0.0,2.2854141856027983E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",223.0,12.0,72.0,3.0,28.0,3000.0,10.0,2021.0,0.0,3.062364732026703E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",225.0,3.0,18.0,3.0,7.0,750.0,12.0,2020.0,0.0,-1.0844748748199944E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",227.0,12.0,72.0,2.0,13.0,3000.0,8.0,2021.0,0.0,3.7273582541770284E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",229.0,1.0,6.0,1.0,1.0,250.0,2.0,2021.0,0.0,1.8494387868894964E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",230.0,3.0,18.0,1.0,3.0,750.0,3.0,2020.0,0.0,5.818708860756434E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",232.0,1.0,6.0,1.0,1.0,250.0,6.0,2021.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",236.0,4.0,24.0,2.0,14.0,1000.0,2.0,2020.0,0.0,-2.9149724004628834E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",240.0,3.0,18.0,2.0,5.0,750.0,6.0,2021.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",242.0,1.0,6.0,3.0,3.0,250.0,12.0,2021.0,0.0,-1.044705590989457E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",247.0,2.0,12.0,2.0,19.0,500.0,10.0,2019.0,0.0,-1.6807203328017377E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",249.0,3.0,18.0,2.0,4.0,750.0,10.0,2020.0,0.0,1.9964331395794406E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",251.0,3.0,18.0,3.0,11.0,750.0,11.0,2020.0,0.0,-1.521146709724695E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",255.0,32.0,192.0,2.0,57.0,8000.0,10.0,2019.0,0.0,-0.0016635174405295492
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",256.0,25.0,150.0,2.0,57.0,6250.0,10.0,2019.0,0.0,-1.275247552294783E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",258.0,43.0,258.0,2.0,45.0,10750.0,4.0,2021.0,0.0,0.032399116721131896
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",259.0,21.0,126.0,3.0,51.0,5250.0,6.0,2022.0,0.0,0.001222256309919967
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",260.0,5.0,30.0,1.0,5.0,1250.0,9.0,2019.0,0.0,2.2854141856027983E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",262.0,1.0,6.0,3.0,11.0,250.0,1.0,2021.0,0.0,-6.197815718182991E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",265.0,22.0,132.0,3.0,26.0,5500.0,8.0,2020.0,0.0,-2.031014691302067E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",267.0,8.0,48.0,2.0,10.0,2000.0,10.0,2019.0,0.0,2.2854141856027983E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",268.0,2.0,12.0,2.0,10.0,500.0,10.0,2019.0,0.0,1.9964331395794406E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",271.0,2.0,12.0,2.0,9.0,500.0,3.0,2020.0,0.0,5.818708860756434E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",275.0,1.0,6.0,2.0,3.0,250.0,12.0,2019.0,0.0,-7.164212592174462E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",276.0,2.0,12.0,2.0,3.0,500.0,12.0,2019.0,0.0,-7.164212592174462E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",277.0,2.0,12.0,1.0,2.0,500.0,1.0,2020.0,0.0,1.4517459485841218E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",280.0,4.0,24.0,2.0,22.0,1000.0,7.0,2020.0,0.0,2.304867167408648E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",281.0,2.0,12.0,2.0,3.0,500.0,7.0,2022.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",283.0,8.0,48.0,3.0,21.0,2000.0,9.0,2021.0,0.0,1.605745684496009E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",284.0,1.0,6.0,3.0,62.0,250.0,10.0,2020.0,0.0,0.0027717181423027705
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",286.0,2.0,12.0,3.0,6.0,500.0,1.0,2021.0,0.0,-1.831097369135986E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",289.0,4.0,24.0,2.0,16.0,1000.0,5.0,2021.0,0.0,1.849683350014803E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",293.0,2.0,12.0,1.0,2.0,500.0,2.0,2022.0,0.0,1.8494387868894964E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",294.0,1.0,6.0,3.0,12.0,250.0,3.0,2021.0,0.0,-1.8308528060106792E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",295.0,2.0,12.0,2.0,4.0,500.0,7.0,2022.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",298.0,3.0,18.0,2.0,4.0,750.0,11.0,2020.0,0.0,-7.164212592174462E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",299.0,2.0,12.0,3.0,9.0,500.0,1.0,2021.0,0.0,-1.831097369135986E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",304.0,1.0,6.0,1.0,1.0,250.0,9.0,2019.0,0.0,1.9964331395794406E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",305.0,2.0,12.0,2.0,19.0,500.0,1.0,2021.0,0.0,-1.827714685491682E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",306.0,6.0,36.0,1.0,6.0,1500.0,2.0,2020.0,0.0,2.2309454665032664E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",307.0,4.0,24.0,1.0,4.0,1000.0,3.0,2021.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",311.0,1.0,6.0,2.0,4.0,250.0,9.0,2021.0,0.0,2.3941259778848152E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",312.0,2.0,12.0,1.0,2.0,500.0,10.0,2019.0,0.0,1.9964331395794406E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",314.0,6.0,36.0,3.0,12.0,1500.0,7.0,2020.0,0.0,1.8629163072132488E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",315.0,1.0,6.0,3.0,8.0,250.0,7.0,2022.0,0.0,2.535865543036326E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",319.0,4.0,24.0,1.0,4.0,1000.0,1.0,2021.0,0.0,1.8494387868894964E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",320.0,4.0,24.0,3.0,36.0,1000.0,1.0,2022.0,0.0,9.066225525611489E-6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",321.0,1.0,6.0,3.0,9.0,250.0,2.0,2022.0,0.0,-1.831097369135986E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",323.0,1.0,6.0,2.0,2.0,250.0,5.0,2021.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",326.0,5.0,30.0,3.0,22.0,1250.0,5.0,2022.0,0.0,1.9879732566137082E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",329.0,3.0,18.0,2.0,21.0,750.0,9.0,2021.0,0.0,-1.1197157154629704E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",331.0,5.0,30.0,2.0,30.0,1250.0,11.0,2019.0,0.0,1.0179654430926294E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",332.0,25.0,150.0,2.0,30.0,6250.0,11.0,2019.0,0.0,-3.995498045033406E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",338.0,3.0,18.0,3.0,10.0,750.0,4.0,2022.0,0.0,2.535865543036326E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",339.0,1.0,6.0,2.0,18.0,250.0,5.0,2021.0,0.0,2.53924822668063E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",340.0,20.0,120.0,2.0,39.0,5000.0,5.0,2022.0,0.0,-2.2300879418439817E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",343.0,6.0,36.0,1.0,6.0,1500.0,7.0,2020.0,0.0,2.6676417577204976E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",345.0,1.0,6.0,3.0,62.0,250.0,9.0,2020.0,0.0,0.0027717181423027705
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",346.0,3.0,18.0,2.0,4.0,750.0,10.0,2019.0,0.0,1.9964331395794406E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",347.0,1.0,6.0,2.0,4.0,250.0,10.0,2019.0,0.0,1.9964331395794406E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",348.0,1.0,6.0,2.0,5.0,250.0,10.0,2020.0,0.0,1.9964331395794406E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",349.0,1.0,6.0,3.0,10.0,250.0,11.0,2020.0,0.0,-1.0844748748199944E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",350.0,4.0,24.0,3.0,31.0,1000.0,4.0,2022.0,0.0,1.9815947713182087E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",353.0,3.0,18.0,3.0,23.0,750.0,6.0,2021.0,0.0,-9.779761503114597E-6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",354.0,2.0,12.0,3.0,21.0,500.0,7.0,2021.0,0.0,-9.779761503114597E-6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",355.0,10.0,60.0,3.0,18.0,2500.0,8.0,2021.0,0.0,1.971642078710369E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",358.0,9.0,54.0,3.0,16.0,2250.0,1.0,2022.0,0.0,1.465989299826555E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",360.0,3.0,18.0,3.0,11.0,750.0,6.0,2021.0,0.0,-1.8308528060106792E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",361.0,1.0,6.0,1.0,1.0,250.0,7.0,2020.0,0.0,5.818708860756434E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",362.0,7.0,42.0,2.0,24.0,1750.0,9.0,2019.0,0.0,1.9340300162680197E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",366.0,3.0,18.0,2.0,4.0,750.0,4.0,2022.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",371.0,1.0,6.0,1.0,1.0,250.0,2.0,2020.0,0.0,1.4517459485841218E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",372.0,11.0,66.0,2.0,13.0,2750.0,2.0,2021.0,0.0,1.8340429154291033E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",373.0,2.0,12.0,3.0,6.0,500.0,6.0,2021.0,0.0,2.535865543036326E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",378.0,2.0,12.0,3.0,5.0,500.0,5.0,2022.0,0.0,2.535865543036326E-5
