"familia","sector","estado","provincia","num_cer","total_horas","total_cursos","total_ganacias","dia","mes","anio","volumen_capacitados","prediction(volumen_capacitados)"
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","pichincha",1.0,6.0,1.0,250.0,11.0,7.0,2018.0,1.0,1.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","pichincha",2.0,12.0,1.0,500.0,18.0,6.0,2018.0,2.0,2.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","pichincha",2.0,12.0,1.0,500.0,17.0,1.0,2018.0,2.0,2.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","pichincha",1.0,6.0,1.0,250.0,11.0,12.0,2017.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","pichincha",1.0,6.0,2.0,250.0,24.0,1.0,2017.0,2.0,6.506150061500615
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","pichincha",6.0,36.0,6.0,1500.0,10.0,1.0,2017.0,25.0,26.5
"turismo y alimentación","elaboración de productos alimenticios","habilitado","pichincha",1.0,6.0,1.0,250.0,18.0,1.0,2017.0,1.0,1.0
"turismo y alimentación","actividades de alojamiento","habilitado","pichincha",3.0,18.0,5.0,750.0,3.0,1.0,2017.0,17.0,13.868945868945868
"turismo y alimentación","servicio de alimento y bebida","habilitado","pichincha",4.0,24.0,5.0,1000.0,3.0,1.0,2017.0,17.0,13.868945868945868
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","pichincha",2.0,12.0,3.0,500.0,19.0,1.0,2017.0,5.0,6.506150061500615
"turismo y alimentación","actividades de alojamiento","habilitado","pichincha",1.0,6.0,3.0,250.0,19.0,1.0,2017.0,5.0,6.506150061500615
"turismo y alimentación","servicio de alimento y bebida","habilitado","pichincha",2.0,12.0,2.0,500.0,31.0,1.0,2018.0,3.0,6.506150061500615
"actividades de enseñanza","enseñanza","habilitado","chimborazo",10.0,60.0,1.0,2500.0,6.0,12.0,2021.0,10.0,10.0
"tecnología: hardware y software (incluye tic)","programación informática, consultoría de informática y actividades conexas","habilitado","chimborazo",2.0,12.0,4.0,500.0,23.0,11.0,2020.0,18.0,13.868945868945868
"actividades de enseñanza","enseñanza","habilitado","chimborazo",3.0,18.0,4.0,750.0,26.0,10.0,2020.0,15.0,13.868945868945868
"actividades de enseñanza","enseñanza","habilitado","chimborazo",1.0,6.0,5.0,250.0,27.0,10.0,2020.0,9.0,13.868945868945868
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","chimborazo",4.0,24.0,5.0,1000.0,27.0,10.0,2020.0,9.0,13.868945868945868
"actividades de enseñanza","enseñanza","habilitado","chimborazo",32.0,192.0,1.0,8000.0,20.0,5.0,2019.0,32.0,32.5
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","chimborazo",1.0,6.0,1.0,250.0,16.0,11.0,2020.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","chimborazo",1.0,6.0,1.0,250.0,29.0,12.0,2020.0,1.0,1.0
"comercialización y venta de productos","comercio al por mayor, excepto el de vehículos automotores y motocicletas","habilitado","chimborazo",1.0,6.0,1.0,250.0,28.0,11.0,2018.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","chimborazo",9.0,54.0,1.0,2250.0,18.0,3.0,2019.0,9.0,9.0
"actividades de enseñanza","enseñanza","habilitado","chimborazo",40.0,240.0,1.0,10000.0,12.0,4.0,2019.0,40.0,40.0
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",1.0,6.0,1.0,250.0,8.0,10.0,2019.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",1.0,6.0,1.0,250.0,10.0,7.0,2019.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",1.0,6.0,1.0,250.0,5.0,11.0,2019.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",1.0,6.0,1.0,250.0,2.0,7.0,2019.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",3.0,18.0,1.0,750.0,29.0,4.0,2019.0,3.0,3.0
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",2.0,12.0,1.0,500.0,25.0,10.0,2019.0,2.0,2.0
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",2.0,12.0,1.0,500.0,25.0,3.0,2019.0,2.0,2.0
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",1.0,6.0,3.0,250.0,20.0,11.0,2018.0,3.0,6.506150061500615
"turismo y alimentación","servicio de alimento y bebida","desconocido","el oro",1.0,6.0,3.0,250.0,20.0,11.0,2018.0,3.0,6.506150061500615
"turismo y alimentación","elaboración de productos alimenticios","desconocido","el oro",1.0,6.0,3.0,250.0,20.0,11.0,2018.0,3.0,6.506150061500615
