"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,20.0,12.0,6.0,2019.0,20.0,20.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,3.0,1.0,6.0,2018.0,3.0,3.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","quito","pichincha",1.0,6.0,8.0,6.0,2018.0,6.0,6.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",1.0,20.0,11.0,3.0,2020.0,20.0,20.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",1.0,6.0,15.0,10.0,2020.0,6.0,6.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",1.0,14.0,14.0,3.0,2019.0,14.0,14.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",1.0,1.0,19.0,12.0,2018.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",1.0,1.0,14.0,10.0,2020.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",1.0,1.0,9.0,6.0,2018.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",2.0,29.0,18.0,9.0,2018.0,1.0,17.742424242424242
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",1.0,1.0,25.0,7.0,2018.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",1.0,1.0,8.0,6.0,2018.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",1.0,6.0,27.0,7.0,2018.0,6.0,6.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","riobamba","chimborazo",1.0,1.0,2.0,8.0,2018.0,1.0,1.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,23.0,29.0,8.0,2019.0,23.0,23.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","guayaquil","guayas",1.0,14.0,28.0,2.0,2019.0,14.0,14.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","guayaquil","guayas",1.0,8.0,19.0,3.0,2019.0,8.0,8.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,24.0,5.0,9.0,2019.0,24.0,24.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","guayaquil","guayas",2.0,11.0,26.0,2.0,2019.0,9.0,5.761627906976744
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,11.0,26.0,2.0,2019.0,2.0,5.761627906976744
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","guayaquil","guayas",1.0,1.0,7.0,2.0,2019.0,1.0,1.0
"actividades tipo servicios","actividades especializadas de la construcción","habilitado","guayaquil","guayas",1.0,27.0,11.0,2.0,2019.0,27.0,27.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,2.0,6.0,12.0,2019.0,2.0,2.0
