"familia","sector","estado","canton","provincia","num_cer","total_horas","volumen_capacitados","total_ganacias","dia","mes","anio","total_cursos","prediction(total_cursos)"
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,6.0,5.0,2022.0,1.0,0.9110337708170144
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,18.0,750.0,20.0,1.0,2022.0,2.0,3.1661533967671156
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,15.0,1000.0,1.0,6.0,2022.0,3.0,3.2116654016189594
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,19.0,500.0,2.0,8.0,2022.0,2.0,2.8741443172456664
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",9.0,54.0,26.0,2250.0,4.0,4.0,2022.0,3.0,3.0226275601743717
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",7.0,42.0,31.0,1750.0,14.0,6.0,2022.0,3.0,3.2539043449400404
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,5.0,1000.0,19.0,5.0,2022.0,2.0,2.174985324654629
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,11.0,500.0,22.0,2.0,2022.0,2.0,2.9247457677919764
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,5.0,250.0,31.0,5.0,2022.0,3.0,3.5869561533713616
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,16.0,2500.0,7.0,6.0,2022.0,3.0,2.779120130919112
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,20.0,250.0,11.0,7.0,2022.0,2.0,3.190653210885942
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,30.0,1250.0,28.0,4.0,2022.0,4.0,3.462060554392324
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,250.0,7.0,2.0,2020.0,2.0,2.3501995519490473
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",18.0,108.0,20.0,4500.0,7.0,9.0,2021.0,3.0,2.273268979302814
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,27.0,750.0,8.0,12.0,2020.0,3.0,3.225661680989945
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",28.0,168.0,30.0,7000.0,21.0,6.0,2022.0,2.0,2.033228207394516
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,5.0,500.0,26.0,7.0,2021.0,3.0,3.103954747706596
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,7.0,1000.0,27.0,7.0,2021.0,2.0,2.761758135763089
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,7.0,1250.0,27.0,9.0,2021.0,2.0,2.3816078733438966
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",38.0,228.0,57.0,9500.0,28.0,11.0,2019.0,2.0,1.9851512587360114
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",22.0,132.0,40.0,5500.0,8.0,3.0,2022.0,4.0,3.8315207593513927
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,5.0,1000.0,18.0,4.0,2022.0,2.0,2.242135082986281
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,30.0,750.0,20.0,7.0,2022.0,3.0,3.1289567374773677
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,12.0,750.0,21.0,5.0,2021.0,3.0,3.1122660995733193
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",11.0,66.0,62.0,2750.0,3.0,2.0,2022.0,4.0,3.0200391157040807
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,10.0,1250.0,9.0,2.0,2022.0,3.0,2.72899190202945
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,37.0,2500.0,15.0,3.0,2022.0,3.0,4.230226124542228
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,15.0,1250.0,16.0,9.0,2021.0,3.0,2.960387960712908
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,6.0,500.0,25.0,8.0,2021.0,3.0,3.3094029556940976
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,34.0,1000.0,30.0,3.0,2022.0,2.0,3.6442089908805295
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,13.0,250.0,25.0,11.0,2019.0,2.0,2.7847657598698285
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",13.0,78.0,14.0,3250.0,30.0,8.0,2021.0,2.0,1.3978425350528463
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",9.0,54.0,17.0,2250.0,3.0,12.0,2019.0,3.0,1.9763423401685438
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",47.0,282.0,51.0,11750.0,9.0,12.0,2019.0,3.0,1.5355573880500808
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,26.0,750.0,13.0,11.0,2019.0,2.0,2.9599634515537625
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",23.0,138.0,26.0,5750.0,13.0,11.0,2019.0,2.0,1.6988432731317014
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,8.0,250.0,20.0,12.0,2019.0,2.0,2.800574651844131
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",17.0,102.0,20.0,4250.0,22.0,10.0,2019.0,2.0,1.8221422930740525
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,28.0,1250.0,23.0,9.0,2019.0,2.0,2.6160332618872824
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,18.0,4.0,750.0,24.0,12.0,2019.0,2.0,1.7422381890731637
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,10.0,750.0,29.0,11.0,2019.0,2.0,2.698725366113565
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",7.0,42.0,10.0,1750.0,29.0,11.0,2019.0,2.0,1.6904127039669286
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,6.0,250.0,8.0,7.0,2021.0,2.0,3.077252961915222
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,10.0,500.0,25.0,11.0,2020.0,3.0,3.055978066406099
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,22.0,500.0,18.0,2.0,2022.0,4.0,3.176239829201152
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,6.0,4.0,250.0,1.0,10.0,2019.0,3.0,2.3199022411402845
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,48.0,1500.0,7.0,9.0,2020.0,4.0,3.2813870220961556
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",60.0,360.0,66.0,15000.0,9.0,10.0,2019.0,3.0,2.0007242875475706
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",5.0,30.0,66.0,1250.0,9.0,10.0,2019.0,3.0,2.5264771161331803
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,250.0,10.0,12.0,2020.0,2.0,2.044502351533013
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,16.0,1000.0,13.0,11.0,2020.0,4.0,3.17801493810832
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,28.0,750.0,14.0,4.0,2022.0,4.0,3.548638923272322
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,11.0,1500.0,14.0,7.0,2022.0,4.0,2.5503008341128615
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",26.0,156.0,55.0,6500.0,16.0,7.0,2022.0,3.0,3.140413580806112
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,50.0,250.0,17.0,4.0,2022.0,4.0,3.596172021963853
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",9.0,54.0,44.0,2250.0,19.0,4.0,2022.0,4.0,4.062512151365795
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,17.0,500.0,19.0,7.0,2022.0,4.0,3.0393739272002884
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",8.0,48.0,59.0,2000.0,20.0,6.0,2022.0,4.0,3.282545210337944
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,20.0,750.0,21.0,1.0,2022.0,4.0,3.2860243104732243
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,38.0,2500.0,21.0,2.0,2022.0,4.0,3.4052080959554454
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",8.0,48.0,17.0,2000.0,23.0,9.0,2021.0,3.0,2.7635085705677946
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,29.0,1250.0,24.0,3.0,2022.0,4.0,3.11035796416438
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,31.0,1500.0,24.0,4.0,2021.0,4.0,3.3616537168112908
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",13.0,78.0,23.0,3250.0,24.0,7.0,2022.0,4.0,2.910734539716871
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,10.0,250.0,25.0,2.0,2022.0,4.0,2.8356249349744056
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,34.0,750.0,26.0,7.0,2022.0,4.0,3.084239686355816
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,5.0,250.0,26.0,8.0,2021.0,3.0,3.543564376321158
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,30.0,1500.0,27.0,11.0,2020.0,4.0,3.3119121302415673
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,20.0,500.0,28.0,10.0,2020.0,3.0,2.87225772378632
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,44.0,2500.0,29.0,4.0,2022.0,3.0,4.100421432016433
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,21.0,2500.0,29.0,7.0,2022.0,4.0,2.887358550970462
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,48.0,250.0,30.0,12.0,2019.0,3.0,3.5151049979389493
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",46.0,276.0,48.0,11500.0,30.0,12.0,2019.0,3.0,1.8324397166583433
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,11.0,1500.0,31.0,5.0,2021.0,3.0,2.786007383571346
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",36.0,216.0,39.0,9000.0,1.0,9.0,2021.0,2.0,2.216998904304078
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,25.0,1250.0,1.0,10.0,2020.0,3.0,2.8060984775401474
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,5.0,500.0,2.0,2.0,2022.0,2.0,2.799701153027784
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",7.0,42.0,8.0,1750.0,2.0,9.0,2020.0,2.0,1.6015255649198687
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",12.0,72.0,28.0,3000.0,2.0,10.0,2021.0,3.0,3.2356912422059603
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,7.0,750.0,3.0,12.0,2020.0,3.0,2.8203479125603943
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",12.0,72.0,13.0,3000.0,4.0,8.0,2021.0,2.0,1.8570794428105026
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,5.0,2.0,2021.0,1.0,0.998867336547776
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,3.0,750.0,5.0,3.0,2020.0,1.0,1.0418761802883845
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,5.0,6.0,2021.0,1.0,1.0114170311243678
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,14.0,1000.0,6.0,2.0,2020.0,2.0,3.001907421292274
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,5.0,750.0,6.0,6.0,2021.0,2.0,2.4702139319578444
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,250.0,6.0,12.0,2021.0,3.0,2.587970813592549
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,19.0,500.0,7.0,10.0,2019.0,2.0,2.647228527140528
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,4.0,750.0,7.0,10.0,2020.0,2.0,1.6724006164021583
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,11.0,750.0,7.0,11.0,2020.0,3.0,3.037370735160878
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",32.0,192.0,57.0,8000.0,8.0,10.0,2019.0,2.0,2.7211510741857703
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",25.0,150.0,57.0,6250.0,8.0,10.0,2019.0,2.0,2.3401039956765155
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",43.0,258.0,45.0,10750.0,9.0,4.0,2021.0,2.0,2.0141955787739656
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",21.0,126.0,51.0,5250.0,9.0,6.0,2022.0,3.0,3.630663617068408
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,5.0,1250.0,9.0,9.0,2019.0,1.0,1.0144959742768558
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,11.0,250.0,10.0,1.0,2021.0,3.0,2.787826229306959
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",22.0,132.0,26.0,5500.0,10.0,8.0,2020.0,3.0,2.687605516430197
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",8.0,48.0,10.0,2000.0,10.0,10.0,2019.0,2.0,1.9441305557423627
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,12.0,10.0,500.0,10.0,10.0,2019.0,2.0,2.127466999594021
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,9.0,500.0,11.0,3.0,2020.0,2.0,3.055191772707915
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,250.0,12.0,12.0,2019.0,2.0,2.3671601383042296
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,12.0,3.0,500.0,12.0,12.0,2019.0,2.0,1.5873215799595934
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,500.0,13.0,1.0,2020.0,1.0,0.9608925174087952
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,22.0,1000.0,13.0,7.0,2020.0,2.0,3.018967984975391
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,500.0,13.0,7.0,2022.0,2.0,1.947008601582568
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",8.0,48.0,21.0,2000.0,13.0,9.0,2021.0,3.0,2.872704896957587
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,62.0,250.0,13.0,10.0,2020.0,3.0,2.5776094208113003
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,6.0,500.0,14.0,1.0,2021.0,3.0,2.7605248395210973
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,16.0,1000.0,14.0,5.0,2021.0,2.0,3.158132709615459
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,500.0,15.0,2.0,2022.0,1.0,1.0358646611056637
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,12.0,250.0,15.0,3.0,2021.0,3.0,3.0395273421253686
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,4.0,500.0,15.0,7.0,2022.0,2.0,2.485717163832235
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,4.0,750.0,15.0,11.0,2020.0,2.0,1.8298689331003724
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,9.0,500.0,16.0,1.0,2021.0,3.0,2.9095612004256717
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,16.0,9.0,2019.0,1.0,0.9964037737402984
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,19.0,500.0,17.0,1.0,2021.0,2.0,3.0162129096478774
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,6.0,1500.0,17.0,2.0,2020.0,1.0,1.1123820445736081
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,4.0,1000.0,17.0,3.0,2021.0,1.0,1.1378553431585923
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,4.0,250.0,17.0,9.0,2021.0,2.0,2.9559686645533683
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,500.0,17.0,10.0,2019.0,1.0,0.9904080804165867
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,12.0,1500.0,18.0,7.0,2020.0,3.0,2.6225341758671883
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,8.0,250.0,18.0,7.0,2022.0,3.0,3.091141461372829
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,4.0,1000.0,19.0,1.0,2021.0,1.0,1.0755090763286015
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,36.0,1000.0,19.0,1.0,2022.0,3.0,2.9193517906169157
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,9.0,250.0,19.0,2.0,2022.0,3.0,2.9535823879304397
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,250.0,19.0,5.0,2021.0,2.0,2.0088801550936504
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,22.0,1250.0,20.0,5.0,2022.0,3.0,3.1405204409492606
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,21.0,750.0,20.0,9.0,2021.0,2.0,3.2415273028690743
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,30.0,1250.0,20.0,11.0,2019.0,2.0,2.7874965654790183
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",25.0,150.0,30.0,6250.0,20.0,11.0,2019.0,2.0,1.3737755269774832
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,10.0,750.0,22.0,4.0,2022.0,3.0,3.298924637172534
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,18.0,250.0,22.0,5.0,2021.0,2.0,3.167912103099227
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",20.0,120.0,39.0,5000.0,22.0,5.0,2022.0,2.0,3.729112154418531
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,6.0,1500.0,23.0,7.0,2020.0,1.0,1.0995709198449939
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,62.0,250.0,23.0,9.0,2020.0,3.0,2.732187605009117
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,4.0,750.0,23.0,10.0,2019.0,2.0,1.6873230797294534
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,6.0,4.0,250.0,23.0,10.0,2019.0,2.0,2.2608862992868533
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,5.0,250.0,23.0,10.0,2020.0,2.0,3.4967819450484265
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,10.0,250.0,23.0,11.0,2020.0,3.0,3.093627449556082
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,31.0,1000.0,24.0,4.0,2022.0,3.0,3.3585091559292986
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,23.0,750.0,24.0,6.0,2021.0,3.0,3.1326200356724465
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,21.0,500.0,24.0,7.0,2021.0,3.0,3.1374788119336907
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,18.0,2500.0,24.0,8.0,2021.0,3.0,2.88175705325368
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",9.0,54.0,16.0,2250.0,25.0,1.0,2022.0,3.0,2.7126858514711083
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,11.0,750.0,25.0,6.0,2021.0,3.0,2.9608734222037336
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,25.0,7.0,2020.0,1.0,0.974918775140325
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",7.0,42.0,24.0,1750.0,25.0,9.0,2019.0,2.0,2.6973993260847644
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,4.0,750.0,26.0,4.0,2022.0,2.0,2.039045743560494
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,27.0,2.0,2020.0,1.0,1.033722205260788
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",11.0,66.0,13.0,2750.0,27.0,2.0,2021.0,2.0,2.0555776173318785
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,6.0,500.0,27.0,6.0,2021.0,3.0,3.2170141092942552
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,5.0,500.0,28.0,5.0,2022.0,3.0,3.175717795360911
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,4.0,1000.0,28.0,7.0,2021.0,1.0,1.058569992983835
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,19.0,250.0,28.0,10.0,2019.0,2.0,2.647408939661461
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",7.0,42.0,16.0,1750.0,29.0,1.0,2020.0,2.0,2.623874334182333
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,5.0,500.0,29.0,1.0,2021.0,3.0,2.960583351371029
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",7.0,42.0,23.0,1750.0,29.0,3.0,2021.0,3.0,2.910117680756671
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",7.0,42.0,9.0,1750.0,29.0,10.0,2019.0,2.0,1.5580053917291545
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,15.0,250.0,29.0,12.0,2019.0,2.0,2.8257747089554934
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,8.0,1250.0,30.0,1.0,2021.0,2.0,2.4773225880221483
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,9.0,750.0,30.0,6.0,2022.0,3.0,3.240337462712419
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",8.0,48.0,14.0,2000.0,30.0,12.0,2021.0,3.0,2.753847605150882
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,12.0,2.0,500.0,2.0,12.0,2019.0,1.0,1.0523419146678359
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,8.0,11.0,2019.0,1.0,1.00229047006846
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",35.0,210.0,35.0,8750.0,17.0,12.0,2019.0,1.0,1.0181801104885446
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",13.0,78.0,13.0,3250.0,23.0,12.0,2019.0,1.0,1.0722039283549245
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",11.0,66.0,11.0,2750.0,10.0,12.0,2019.0,1.0,1.0391902181957855
