"familia","sector","estado","canton","provincia","num_cer","total_horas","total_cursos","volumen_capacitados","total_ganacias","mes","anio","%_asistencia","prediction(%_asistencia)"
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",9.0,54.0,4.0,44.0,2250.0,4.0,2022.0,0.0,5.605341566067958E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,4.0,17.0,500.0,7.0,2022.0,0.0,6.12233946087404E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",8.0,48.0,4.0,59.0,2000.0,6.0,2022.0,0.0,0.0021152162918142816
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,4.0,20.0,750.0,1.0,2022.0,0.0,4.6310516894871884E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,4.0,38.0,2500.0,2.0,2022.0,0.0,3.5450146829569835E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",8.0,48.0,3.0,17.0,2000.0,9.0,2021.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,4.0,29.0,1250.0,3.0,2022.0,0.0,5.9919950821703E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,4.0,31.0,1500.0,4.0,2021.0,0.0,-0.0038449576921791183
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",13.0,78.0,4.0,23.0,3250.0,7.0,2022.0,0.0,0.002090017622451601
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,4.0,10.0,250.0,2.0,2022.0,0.0,1.3563207376572368E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,4.0,34.0,750.0,7.0,2022.0,0.0,4.905958075640095E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,5.0,250.0,8.0,2021.0,0.0,3.0139861356000015E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,4.0,30.0,1500.0,11.0,2020.0,0.0,6.044894625049759E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,20.0,500.0,10.0,2020.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,3.0,44.0,2500.0,4.0,2022.0,0.0,5.771719192623872E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,4.0,21.0,2500.0,7.0,2022.0,0.0,6.12233946087404E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,48.0,250.0,12.0,2019.0,0.0,-3.696562485500541E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",46.0,276.0,3.0,48.0,11500.0,12.0,2019.0,0.0,-0.0012870189357257365
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,3.0,11.0,1500.0,5.0,2021.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",36.0,216.0,2.0,39.0,9000.0,9.0,2021.0,0.0,-2.4248940105930754E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,3.0,25.0,1250.0,10.0,2020.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,5.0,500.0,2.0,2022.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",7.0,42.0,2.0,8.0,1750.0,9.0,2020.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",12.0,72.0,3.0,28.0,3000.0,10.0,2021.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,3.0,7.0,750.0,12.0,2020.0,0.0,2.873741120496655E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",12.0,72.0,2.0,13.0,3000.0,8.0,2021.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,1.0,250.0,2.0,2021.0,0.0,9.740389551078383E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,1.0,3.0,750.0,3.0,2020.0,0.0,4.549413671541382E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,1.0,250.0,6.0,2021.0,0.0,2.620664583489864E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,2.0,14.0,1000.0,2.0,2020.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,2.0,5.0,750.0,6.0,2021.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,3.0,250.0,12.0,2021.0,0.0,7.287598359235776E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,19.0,500.0,10.0,2019.0,0.0,6.444054944425128E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,2.0,4.0,750.0,10.0,2020.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,3.0,11.0,750.0,11.0,2020.0,0.0,4.995634766530978E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",32.0,192.0,2.0,57.0,8000.0,10.0,2019.0,0.0,-0.010666660951257168
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",25.0,150.0,2.0,57.0,6250.0,10.0,2019.0,0.0,-0.0011438226298550623
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",43.0,258.0,2.0,45.0,10750.0,4.0,2021.0,0.0,0.007684366262809395
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",21.0,126.0,3.0,51.0,5250.0,6.0,2022.0,0.0,0.0013207954799427492
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,1.0,5.0,1250.0,9.0,2019.0,0.0,4.6797580502451214E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,11.0,250.0,1.0,2021.0,0.0,1.5226983642131504E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",22.0,132.0,3.0,26.0,5500.0,8.0,2020.0,0.0,1.9108649796440065E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",8.0,48.0,2.0,10.0,2000.0,10.0,2019.0,0.0,5.228417459350434E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,12.0,2.0,10.0,500.0,10.0,2019.0,0.0,6.337023764197997E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,9.0,500.0,3.0,2020.0,0.0,5.098073080646694E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,3.0,250.0,12.0,2019.0,0.0,8.840976929187522E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,12.0,2.0,3.0,500.0,12.0,2019.0,0.0,-1.565636105438804E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,1.0,2.0,500.0,1.0,2020.0,0.0,3.0331324218630957E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,2.0,22.0,1000.0,7.0,2020.0,0.0,6.444054944425128E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,3.0,500.0,7.0,2022.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",8.0,48.0,3.0,21.0,2000.0,9.0,2021.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,62.0,250.0,10.0,2020.0,0.0,0.003955874192898623
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,6.0,500.0,1.0,2021.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,2.0,16.0,1000.0,5.0,2021.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,1.0,2.0,500.0,2.0,2022.0,0.0,3.0331324218630957E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,12.0,250.0,3.0,2021.0,0.0,2.883641756896262E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,4.0,500.0,7.0,2022.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,2.0,4.0,750.0,11.0,2020.0,0.0,5.150972623526153E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,9.0,500.0,1.0,2021.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,1.0,250.0,9.0,2019.0,0.0,2.620664583489864E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,19.0,500.0,1.0,2021.0,0.0,4.797429316043102E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,1.0,6.0,1500.0,2.0,2020.0,0.0,3.0331324218630957E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,1.0,4.0,1000.0,3.0,2021.0,0.0,4.549413671541382E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,4.0,250.0,9.0,2021.0,0.0,3.169323992595176E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,1.0,2.0,500.0,10.0,2019.0,0.0,4.6797580502451214E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,3.0,12.0,1500.0,7.0,2020.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,8.0,250.0,7.0,2022.0,0.0,3.0139861356000015E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,1.0,4.0,1000.0,1.0,2021.0,0.0,3.0331324218630957E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,3.0,36.0,1000.0,1.0,2022.0,0.0,3.711392309512897E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,9.0,250.0,2.0,2022.0,0.0,1.5226983642131504E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,2.0,250.0,5.0,2021.0,0.0,3.169323992595176E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,3.0,22.0,1250.0,5.0,2022.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,2.0,21.0,750.0,9.0,2021.0,0.0,6.444054944425128E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,2.0,30.0,1250.0,11.0,2019.0,0.0,6.366610108600847E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",25.0,150.0,2.0,30.0,6250.0,11.0,2019.0,0.0,-4.556879197095574E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,3.0,10.0,750.0,4.0,2022.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,18.0,250.0,5.0,2021.0,0.0,4.3849614776698704E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",20.0,120.0,2.0,39.0,5000.0,5.0,2022.0,0.0,-8.699570302743691E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,1.0,6.0,1500.0,7.0,2020.0,0.0,4.6797580502451214E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,62.0,250.0,9.0,2020.0,0.0,0.003955874192898623
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,2.0,4.0,750.0,10.0,2019.0,0.0,5.228417459350434E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,6.0,2.0,4.0,250.0,10.0,2019.0,0.0,3.856953317589191E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,5.0,250.0,10.0,2020.0,0.0,3.169323992595176E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,10.0,250.0,11.0,2020.0,0.0,2.9365412997757207E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,3.0,31.0,1000.0,4.0,2022.0,0.0,-0.003828319929523527
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,3.0,23.0,750.0,6.0,2021.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,21.0,500.0,7.0,2021.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,3.0,18.0,2500.0,8.0,2021.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",9.0,54.0,3.0,16.0,2250.0,1.0,2022.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,3.0,11.0,750.0,6.0,2021.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,1.0,250.0,7.0,2020.0,0.0,2.620664583489864E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",7.0,42.0,2.0,24.0,1750.0,9.0,2019.0,0.0,6.444054944425128E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,2.0,4.0,750.0,4.0,2022.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,1.0,250.0,2.0,2020.0,0.0,9.740389551078383E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",11.0,66.0,2.0,13.0,2750.0,2.0,2021.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,6.0,500.0,6.0,2021.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,5.0,500.0,5.0,2022.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,1.0,4.0,1000.0,7.0,2021.0,0.0,4.6797580502451214E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,19.0,250.0,10.0,2019.0,0.0,4.3849614776698704E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",7.0,42.0,2.0,16.0,1750.0,1.0,2020.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,5.0,500.0,1.0,2021.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",7.0,42.0,3.0,23.0,1750.0,3.0,2021.0,0.0,6.158372708726214E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",7.0,42.0,2.0,9.0,1750.0,10.0,2019.0,0.0,6.337023764197997E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,15.0,250.0,12.0,2019.0,0.0,8.840976929187522E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,2.0,8.0,1250.0,1.0,2021.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,3.0,9.0,750.0,6.0,2022.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",8.0,48.0,3.0,14.0,2000.0,12.0,2021.0,0.0,2.873741120496655E-4
