"familia","sector","estado","canton","provincia","id_fact_oec","num_cer","total_horas","volumen_capacitados","total_ganacias","dia","mes","anio","total_cursos","prediction(total_cursos)"
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",221.0,2.0,12.0,5.0,500.0,2.0,2.0,2022.0,2.0,2.524593953331519
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",222.0,7.0,42.0,8.0,1750.0,2.0,9.0,2020.0,2.0,1.4833500940485331
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",223.0,12.0,72.0,28.0,3000.0,2.0,10.0,2021.0,3.0,3.2886596022826646
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",225.0,3.0,18.0,7.0,750.0,3.0,12.0,2020.0,3.0,2.6933648872991265
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",227.0,12.0,72.0,13.0,3000.0,4.0,8.0,2021.0,2.0,1.7960895881014816
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",229.0,1.0,6.0,1.0,250.0,5.0,2.0,2021.0,1.0,1.0043883094085553
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",230.0,3.0,18.0,3.0,750.0,5.0,3.0,2020.0,1.0,0.9199873706429438
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",232.0,1.0,6.0,1.0,250.0,5.0,6.0,2021.0,1.0,0.9991133077755743
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",236.0,4.0,24.0,14.0,1000.0,6.0,2.0,2020.0,2.0,2.7899236813727706
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",240.0,3.0,18.0,5.0,750.0,6.0,6.0,2021.0,2.0,2.355766105120879
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",242.0,1.0,6.0,3.0,250.0,6.0,12.0,2021.0,3.0,2.326023553946457
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",247.0,2.0,12.0,19.0,500.0,7.0,10.0,2019.0,2.0,2.4690507873956316
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",249.0,3.0,18.0,4.0,750.0,7.0,10.0,2020.0,2.0,1.5829515894629234
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",251.0,3.0,18.0,11.0,750.0,7.0,11.0,2020.0,3.0,2.7726850621447605
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",255.0,32.0,192.0,57.0,8000.0,8.0,10.0,2019.0,2.0,2.4160642082488133
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",256.0,25.0,150.0,57.0,6250.0,8.0,10.0,2019.0,2.0,2.338083035187979
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",258.0,43.0,258.0,45.0,10750.0,9.0,4.0,2021.0,2.0,1.8720881243962006
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",259.0,21.0,126.0,51.0,5250.0,9.0,6.0,2022.0,3.0,3.5558556548339633
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",260.0,5.0,30.0,5.0,1250.0,9.0,9.0,2019.0,1.0,0.945425941162271
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",262.0,1.0,6.0,11.0,250.0,10.0,1.0,2021.0,3.0,2.7088612602719744
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",265.0,22.0,132.0,26.0,5500.0,10.0,8.0,2020.0,3.0,2.363719535783262
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",267.0,8.0,48.0,10.0,2000.0,10.0,10.0,2019.0,2.0,1.6733807652681074
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",268.0,2.0,12.0,10.0,500.0,10.0,10.0,2019.0,2.0,2.053054591528949
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",271.0,2.0,12.0,9.0,500.0,11.0,3.0,2020.0,2.0,2.8169155388359153
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",275.0,1.0,6.0,3.0,250.0,12.0,12.0,2019.0,2.0,2.1572323340087545
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",276.0,2.0,12.0,3.0,500.0,12.0,12.0,2019.0,2.0,1.6994378554891094
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",277.0,2.0,12.0,2.0,500.0,13.0,1.0,2020.0,1.0,0.9433717698056947
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",280.0,4.0,24.0,22.0,1000.0,13.0,7.0,2020.0,2.0,2.7019122532719715
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",281.0,2.0,12.0,3.0,500.0,13.0,7.0,2022.0,2.0,1.9280828197379245
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",283.0,8.0,48.0,21.0,2000.0,13.0,9.0,2021.0,3.0,2.765327729509395
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",284.0,1.0,6.0,62.0,250.0,13.0,10.0,2020.0,3.0,2.937603834498973
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",286.0,2.0,12.0,6.0,500.0,14.0,1.0,2021.0,3.0,2.724644159062323
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",289.0,4.0,24.0,16.0,1000.0,14.0,5.0,2021.0,2.0,3.1067945077293055
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",293.0,2.0,12.0,2.0,500.0,15.0,2.0,2022.0,1.0,0.9921289254861998
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",294.0,1.0,6.0,12.0,250.0,15.0,3.0,2021.0,3.0,2.7251704638228924
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",295.0,2.0,12.0,4.0,500.0,15.0,7.0,2022.0,2.0,2.3856939375700543
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",298.0,3.0,18.0,4.0,750.0,15.0,11.0,2020.0,2.0,1.755167289354163
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",299.0,2.0,12.0,9.0,500.0,16.0,1.0,2021.0,3.0,2.73956603938585
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",304.0,1.0,6.0,1.0,250.0,16.0,9.0,2019.0,1.0,0.9572007242904741
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",305.0,2.0,12.0,19.0,500.0,17.0,1.0,2021.0,2.0,2.9828374236303583
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",306.0,6.0,36.0,6.0,1500.0,17.0,2.0,2020.0,1.0,1.104135110822413
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",307.0,4.0,24.0,4.0,1000.0,17.0,3.0,2021.0,1.0,1.0729977695964275
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",311.0,1.0,6.0,4.0,250.0,17.0,9.0,2021.0,2.0,2.735478491646959
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",312.0,2.0,12.0,2.0,500.0,17.0,10.0,2019.0,1.0,0.9736982659751314
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",314.0,6.0,36.0,12.0,1500.0,18.0,7.0,2020.0,3.0,2.4659808437472615
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",315.0,1.0,6.0,8.0,250.0,18.0,7.0,2022.0,3.0,3.025294329826452
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",319.0,4.0,24.0,4.0,1000.0,19.0,1.0,2021.0,1.0,1.0660896753770297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",320.0,4.0,24.0,36.0,1000.0,19.0,1.0,2022.0,3.0,2.7636205299595398
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",321.0,1.0,6.0,9.0,250.0,19.0,2.0,2022.0,3.0,2.712955820895318
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",323.0,1.0,6.0,2.0,250.0,19.0,5.0,2021.0,2.0,1.9369246593714573
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",326.0,5.0,30.0,22.0,1250.0,20.0,5.0,2022.0,3.0,2.8535120087753834
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",329.0,3.0,18.0,21.0,750.0,20.0,9.0,2021.0,2.0,2.9493860304419153
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",331.0,5.0,30.0,30.0,1250.0,20.0,11.0,2019.0,2.0,2.6838909783354987
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",332.0,25.0,150.0,30.0,6250.0,20.0,11.0,2019.0,2.0,1.6986756501892026
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",338.0,3.0,18.0,10.0,750.0,22.0,4.0,2022.0,3.0,2.865173712893907
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",339.0,1.0,6.0,18.0,250.0,22.0,5.0,2021.0,2.0,3.1072707356715776
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",340.0,20.0,120.0,39.0,5000.0,22.0,5.0,2022.0,2.0,3.373215397422414
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",343.0,6.0,36.0,6.0,1500.0,23.0,7.0,2020.0,1.0,1.118872332671331
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",345.0,1.0,6.0,62.0,250.0,23.0,9.0,2020.0,3.0,2.841961969715144
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",346.0,3.0,18.0,4.0,750.0,23.0,10.0,2019.0,2.0,1.5763679093297336
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",347.0,1.0,6.0,4.0,250.0,23.0,10.0,2019.0,2.0,1.9114223336882654
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",348.0,1.0,6.0,5.0,250.0,23.0,10.0,2020.0,2.0,3.0198742440052095
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",349.0,1.0,6.0,10.0,250.0,23.0,11.0,2020.0,3.0,2.792150854050292
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",350.0,4.0,24.0,31.0,1000.0,24.0,4.0,2022.0,3.0,3.0042863330991034
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",353.0,3.0,18.0,23.0,750.0,24.0,6.0,2021.0,3.0,2.9966294526593495
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",354.0,2.0,12.0,21.0,500.0,24.0,7.0,2021.0,3.0,2.9721430221461427
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",355.0,10.0,60.0,18.0,2500.0,24.0,8.0,2021.0,3.0,2.8701335554278424
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",358.0,9.0,54.0,16.0,2250.0,25.0,1.0,2022.0,3.0,2.8420789756482785
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",360.0,3.0,18.0,11.0,750.0,25.0,6.0,2021.0,3.0,2.8339145536347
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",361.0,1.0,6.0,1.0,250.0,25.0,7.0,2020.0,1.0,0.9301763491903197
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",362.0,7.0,42.0,24.0,1750.0,25.0,9.0,2019.0,2.0,2.5708605843747003
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",366.0,3.0,18.0,4.0,750.0,26.0,4.0,2022.0,2.0,1.8053366985122787
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",371.0,1.0,6.0,1.0,250.0,27.0,2.0,2020.0,1.0,0.9789371652814092
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",372.0,11.0,66.0,13.0,2750.0,27.0,2.0,2021.0,2.0,1.829984396496898
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",373.0,2.0,12.0,6.0,500.0,27.0,6.0,2021.0,3.0,2.8973986280261537
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",378.0,2.0,12.0,5.0,500.0,28.0,5.0,2022.0,3.0,2.799101302502991
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",379.0,4.0,24.0,4.0,1000.0,28.0,7.0,2021.0,1.0,1.0105930039216995
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",382.0,1.0,6.0,19.0,250.0,28.0,10.0,2019.0,2.0,2.309973677466574
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",384.0,7.0,42.0,16.0,1750.0,29.0,1.0,2020.0,2.0,2.742579205055322
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",385.0,2.0,12.0,5.0,500.0,29.0,1.0,2021.0,3.0,2.7936523970210922
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",386.0,7.0,42.0,23.0,1750.0,29.0,3.0,2021.0,3.0,2.8635201536007893
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",390.0,7.0,42.0,9.0,1750.0,29.0,10.0,2019.0,2.0,1.6862214120346701
