"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","total_horas","prediction(total_horas)"
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,19.0,5.0,2022.0,24.0,15.884210526315789
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,11.0,22.0,2.0,2022.0,12.0,34.56976744186046
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,31.0,5.0,2022.0,6.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,16.0,7.0,6.0,2022.0,60.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,20.0,11.0,7.0,2022.0,6.0,57.42857142857143
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,30.0,28.0,4.0,2022.0,30.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,3.0,7.0,2.0,2020.0,6.0,8.877828054298643
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,20.0,7.0,9.0,2021.0,108.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,27.0,8.0,12.0,2020.0,18.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,30.0,21.0,6.0,2022.0,168.0,106.45454545454545
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,26.0,7.0,2021.0,12.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,7.0,27.0,7.0,2021.0,24.0,23.432835820895523
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,7.0,27.0,9.0,2021.0,30.0,23.432835820895523
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,57.0,28.0,11.0,2019.0,228.0,194.8421052631579
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,40.0,8.0,3.0,2022.0,132.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,18.0,4.0,2022.0,24.0,15.884210526315789
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,30.0,20.0,7.0,2022.0,18.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,21.0,5.0,2021.0,18.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,62.0,3.0,2.0,2022.0,66.0,42.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,9.0,2.0,2022.0,30.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,37.0,15.0,3.0,2022.0,60.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,15.0,16.0,9.0,2021.0,30.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,6.0,25.0,8.0,2021.0,12.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,34.0,30.0,3.0,2022.0,24.0,106.45454545454545
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,13.0,25.0,11.0,2019.0,6.0,34.56976744186046
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,14.0,30.0,8.0,2021.0,78.0,34.56976744186046
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,17.0,3.0,12.0,2019.0,54.0,34.97071129707113
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,51.0,9.0,12.0,2019.0,282.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,26.0,13.0,11.0,2019.0,18.0,147.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,26.0,13.0,11.0,2019.0,138.0,72.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,20.0,12.0,2019.0,6.0,23.432835820895523
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,20.0,22.0,10.0,2019.0,102.0,72.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,28.0,23.0,9.0,2019.0,30.0,106.45454545454545
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,4.0,24.0,12.0,2019.0,18.0,11.886075949367088
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,10.0,29.0,11.0,2019.0,18.0,34.56976744186046
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,10.0,29.0,11.0,2019.0,42.0,34.56976744186046
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,6.0,8.0,7.0,2021.0,6.0,15.884210526315789
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,25.0,11.0,2020.0,12.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,22.0,18.0,2.0,2022.0,12.0,34.97071129707113
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,4.0,1.0,10.0,2019.0,6.0,8.024096385542169
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,48.0,7.0,9.0,2020.0,36.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,66.0,9.0,10.0,2019.0,360.0,236.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,66.0,9.0,10.0,2019.0,30.0,236.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,2.0,10.0,12.0,2020.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,16.0,13.0,11.0,2020.0,24.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,28.0,14.0,4.0,2022.0,18.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,11.0,14.0,7.0,2022.0,36.0,13.913793103448276
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,55.0,16.0,7.0,2022.0,156.0,180.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,50.0,17.0,4.0,2022.0,6.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,44.0,19.0,4.0,2022.0,54.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,17.0,19.0,7.0,2022.0,12.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,59.0,20.0,6.0,2022.0,48.0,98.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,20.0,21.0,1.0,2022.0,18.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,38.0,21.0,2.0,2022.0,60.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,17.0,23.0,9.0,2021.0,48.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,29.0,24.0,3.0,2022.0,30.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,31.0,24.0,4.0,2021.0,36.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,23.0,24.0,7.0,2022.0,78.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,10.0,25.0,2.0,2022.0,6.0,13.913793103448276
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,34.0,26.0,7.0,2022.0,18.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,26.0,8.0,2021.0,6.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,30.0,27.0,11.0,2020.0,36.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,20.0,28.0,10.0,2020.0,12.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,44.0,29.0,4.0,2022.0,60.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,21.0,29.0,7.0,2022.0,60.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,48.0,30.0,12.0,2019.0,6.0,55.09090909090909
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,48.0,30.0,12.0,2019.0,276.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,31.0,5.0,2021.0,36.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,39.0,1.0,9.0,2021.0,216.0,106.45454545454545
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,25.0,1.0,10.0,2020.0,30.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,2.0,2.0,2022.0,12.0,15.884210526315789
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,2.0,9.0,2020.0,42.0,23.432835820895523
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,28.0,2.0,10.0,2021.0,72.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,7.0,3.0,12.0,2020.0,18.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,13.0,4.0,8.0,2021.0,72.0,34.56976744186046
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,5.0,2.0,2021.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,3.0,5.0,3.0,2020.0,18.0,18.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,5.0,6.0,2021.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,14.0,6.0,2.0,2020.0,24.0,34.56976744186046
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,6.0,6.0,2021.0,18.0,15.884210526315789
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,3.0,6.0,12.0,2021.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,7.0,10.0,2019.0,12.0,57.42857142857143
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,7.0,10.0,2020.0,18.0,11.886075949367088
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,7.0,11.0,2020.0,18.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,57.0,8.0,10.0,2019.0,192.0,194.8421052631579
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,57.0,8.0,10.0,2019.0,150.0,194.8421052631579
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,45.0,9.0,4.0,2021.0,258.0,106.45454545454545
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,51.0,9.0,6.0,2022.0,126.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,5.0,9.0,9.0,2019.0,30.0,30.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,10.0,1.0,2021.0,6.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,26.0,10.0,8.0,2020.0,132.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,10.0,10.0,10.0,2019.0,48.0,34.56976744186046
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,10.0,10.0,10.0,2019.0,12.0,34.56976744186046
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,9.0,11.0,3.0,2020.0,12.0,23.432835820895523
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,3.0,12.0,12.0,2019.0,6.0,8.877828054298643
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,3.0,12.0,12.0,2019.0,12.0,8.877828054298643
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,2.0,13.0,1.0,2020.0,12.0,12.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,22.0,13.0,7.0,2020.0,24.0,57.42857142857143
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,3.0,13.0,7.0,2022.0,12.0,8.877828054298643
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,21.0,13.0,9.0,2021.0,48.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,62.0,13.0,10.0,2020.0,6.0,236.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,6.0,14.0,1.0,2021.0,12.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,16.0,14.0,5.0,2021.0,24.0,57.42857142857143
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,2.0,15.0,2.0,2022.0,12.0,12.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,15.0,3.0,2021.0,6.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,15.0,7.0,2022.0,12.0,11.886075949367088
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,15.0,11.0,2020.0,18.0,11.886075949367088
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,9.0,16.0,1.0,2021.0,12.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,16.0,9.0,2019.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,17.0,1.0,2021.0,12.0,57.42857142857143
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,17.0,2.0,2020.0,36.0,36.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,4.0,17.0,3.0,2021.0,24.0,24.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,17.0,9.0,2021.0,6.0,11.886075949367088
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,2.0,17.0,10.0,2019.0,12.0,12.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,18.0,7.0,2020.0,36.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,8.0,18.0,7.0,2022.0,6.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,4.0,19.0,1.0,2021.0,24.0,24.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,36.0,19.0,1.0,2022.0,24.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,9.0,19.0,2.0,2022.0,6.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,2.0,19.0,5.0,2021.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,22.0,20.0,5.0,2022.0,30.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,21.0,20.0,9.0,2021.0,18.0,15.6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,30.0,20.0,11.0,2019.0,30.0,106.45454545454545
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,30.0,20.0,11.0,2019.0,150.0,106.45454545454545
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,22.0,4.0,2022.0,18.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,18.0,22.0,5.0,2021.0,6.0,15.6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,39.0,22.0,5.0,2022.0,120.0,106.45454545454545
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,23.0,7.0,2020.0,36.0,36.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,62.0,23.0,9.0,2020.0,6.0,236.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,23.0,10.0,2019.0,18.0,11.886075949367088
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,4.0,23.0,10.0,2019.0,6.0,11.886075949367088
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,23.0,10.0,2020.0,6.0,15.884210526315789
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,23.0,11.0,2020.0,6.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,31.0,24.0,4.0,2022.0,24.0,55.09090909090909
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,23.0,24.0,6.0,2021.0,18.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,21.0,24.0,7.0,2021.0,12.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,24.0,8.0,2021.0,60.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,16.0,25.0,1.0,2022.0,54.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,25.0,6.0,2021.0,18.0,21.2
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,25.0,7.0,2020.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,24.0,25.0,9.0,2019.0,42.0,51.36
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,26.0,4.0,2022.0,18.0,11.886075949367088
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,27.0,2.0,2020.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,13.0,27.0,2.0,2021.0,66.0,34.56976744186046
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,6.0,27.0,6.0,2021.0,12.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,28.0,5.0,2022.0,12.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,4.0,28.0,7.0,2021.0,24.0,24.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,28.0,10.0,2019.0,6.0,51.36
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,16.0,29.0,1.0,2020.0,42.0,51.36
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,29.0,1.0,2021.0,12.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,23.0,29.0,3.0,2021.0,42.0,34.97071129707113
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,9.0,29.0,10.0,2019.0,42.0,23.432835820895523
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,15.0,29.0,12.0,2019.0,6.0,51.36
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,30.0,1.0,2021.0,30.0,23.432835820895523
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,9.0,30.0,6.0,2022.0,18.0,11.246575342465754
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,14.0,30.0,12.0,2021.0,48.0,21.2
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,2.0,2.0,12.0,2019.0,12.0,12.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,8.0,11.0,2019.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,35.0,17.0,12.0,2019.0,210.0,210.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,13.0,23.0,12.0,2019.0,78.0,78.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,11.0,10.0,12.0,2019.0,66.0,66.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,9.0,21.0,8.0,2019.0,54.0,54.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,9.0,30.0,10.0,2019.0,24.0,23.432835820895523
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,27.0,27.0,11.0,2019.0,162.0,162.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,11.0,9.0,2019.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,2.0,20.0,9.0,2019.0,12.0,12.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,16.0,11.0,2019.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,12.0,27.0,12.0,2019.0,72.0,72.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,7.0,16.0,12.0,2019.0,42.0,42.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,7.0,4.0,9.0,2019.0,30.0,23.432835820895523
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,2.0,7.0,11.0,2019.0,12.0,12.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,7.0,19.0,12.0,2019.0,42.0,42.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,58.0,12.0,11.0,2019.0,348.0,342.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,8.0,12.0,2019.0,6.0,6.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,5.0,6.0,12.0,2019.0,30.0,30.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,7.0,12.0,2019.0,6.0,6.0
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","quito","pichincha",1.0,7.0,1.0,6.0,2022.0,42.0,42.0
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",2.0,40.0,14.0,6.0,2022.0,30.0,106.45454545454545
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",2.0,55.0,22.0,2.0,2022.0,300.0,194.8421052631579
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",2.0,2.0,31.0,5.0,2022.0,6.0,6.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4.0,17.0,3.0,5.0,2022.0,60.0,34.97071129707113
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",1.0,4.0,3.0,6.0,2022.0,24.0,24.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",2.0,33.0,7.0,2.0,2020.0,72.0,106.45454545454545
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",2.0,33.0,7.0,2.0,2020.0,126.0,106.45454545454545
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",1.0,2.0,21.0,2.0,2020.0,12.0,12.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4.0,14.0,21.0,9.0,2021.0,24.0,13.913793103448276
