"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","total_ganacias","prediction(total_ganacias)"
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,48.0,7.0,9.0,2020.0,1500.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,66.0,9.0,10.0,2019.0,15000.0,9833.333333333334
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,66.0,9.0,10.0,2019.0,1250.0,9833.333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,2.0,10.0,12.0,2020.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,16.0,13.0,11.0,2020.0,1000.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,28.0,14.0,4.0,2022.0,750.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,11.0,14.0,7.0,2022.0,1500.0,579.7413793103449
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,55.0,16.0,7.0,2022.0,6500.0,7500.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,50.0,17.0,4.0,2022.0,250.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,44.0,19.0,4.0,2022.0,2250.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,17.0,19.0,7.0,2022.0,500.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,59.0,20.0,6.0,2022.0,2000.0,4083.3333333333335
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,20.0,21.0,1.0,2022.0,750.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,38.0,21.0,2.0,2022.0,2500.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,17.0,23.0,9.0,2021.0,2000.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,29.0,24.0,3.0,2022.0,1250.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,31.0,24.0,4.0,2021.0,1500.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,23.0,24.0,7.0,2022.0,3250.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,10.0,25.0,2.0,2022.0,250.0,579.7413793103449
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,34.0,26.0,7.0,2022.0,750.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,26.0,8.0,2021.0,250.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,30.0,27.0,11.0,2020.0,1500.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,20.0,28.0,10.0,2020.0,500.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,44.0,29.0,4.0,2022.0,2500.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,21.0,29.0,7.0,2022.0,2500.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,48.0,30.0,12.0,2019.0,250.0,2295.4545454545455
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,48.0,30.0,12.0,2019.0,11500.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,31.0,5.0,2021.0,1500.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,39.0,1.0,9.0,2021.0,9000.0,4435.606060606061
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,25.0,1.0,10.0,2020.0,1250.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,2.0,2.0,2022.0,500.0,661.8421052631579
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,2.0,9.0,2020.0,1750.0,976.3681592039801
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,28.0,2.0,10.0,2021.0,3000.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,7.0,3.0,12.0,2020.0,750.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,13.0,4.0,8.0,2021.0,3000.0,1440.406976744186
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,5.0,2.0,2021.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,3.0,5.0,3.0,2020.0,750.0,750.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,5.0,6.0,2021.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,14.0,6.0,2.0,2020.0,1000.0,1440.406976744186
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,6.0,6.0,2021.0,750.0,661.8421052631579
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,3.0,6.0,12.0,2021.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,7.0,10.0,2019.0,500.0,2392.8571428571427
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,7.0,10.0,2020.0,750.0,495.253164556962
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,7.0,11.0,2020.0,750.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,57.0,8.0,10.0,2019.0,8000.0,8118.421052631579
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,57.0,8.0,10.0,2019.0,6250.0,8118.421052631579
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,45.0,9.0,4.0,2021.0,10750.0,4435.606060606061
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,51.0,9.0,6.0,2022.0,5250.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,5.0,9.0,9.0,2019.0,1250.0,1250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,10.0,1.0,2021.0,250.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,26.0,10.0,8.0,2020.0,5500.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,10.0,10.0,10.0,2019.0,2000.0,1440.406976744186
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,10.0,10.0,10.0,2019.0,500.0,1440.406976744186
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,9.0,11.0,3.0,2020.0,500.0,976.3681592039801
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,3.0,12.0,12.0,2019.0,250.0,369.9095022624434
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,3.0,12.0,12.0,2019.0,500.0,369.9095022624434
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,2.0,13.0,1.0,2020.0,500.0,500.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,22.0,13.0,7.0,2020.0,1000.0,2392.8571428571427
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,3.0,13.0,7.0,2022.0,500.0,369.9095022624434
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,21.0,13.0,9.0,2021.0,2000.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,62.0,13.0,10.0,2020.0,250.0,9833.333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,6.0,14.0,1.0,2021.0,500.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,16.0,14.0,5.0,2021.0,1000.0,2392.8571428571427
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,2.0,15.0,2.0,2022.0,500.0,500.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,15.0,3.0,2021.0,250.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,15.0,7.0,2022.0,500.0,495.253164556962
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,15.0,11.0,2020.0,750.0,495.253164556962
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,9.0,16.0,1.0,2021.0,500.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,16.0,9.0,2019.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,17.0,1.0,2021.0,500.0,2392.8571428571427
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,17.0,2.0,2020.0,1500.0,1500.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,4.0,17.0,3.0,2021.0,1000.0,1000.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,17.0,9.0,2021.0,250.0,495.253164556962
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,2.0,17.0,10.0,2019.0,500.0,500.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,18.0,7.0,2020.0,1500.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,8.0,18.0,7.0,2022.0,250.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,4.0,19.0,1.0,2021.0,1000.0,1000.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,36.0,19.0,1.0,2022.0,1000.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,9.0,19.0,2.0,2022.0,250.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,2.0,19.0,5.0,2021.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,22.0,20.0,5.0,2022.0,1250.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,21.0,20.0,9.0,2021.0,750.0,650.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,30.0,20.0,11.0,2019.0,1250.0,4435.606060606061
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,30.0,20.0,11.0,2019.0,6250.0,4435.606060606061
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,22.0,4.0,2022.0,750.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,18.0,22.0,5.0,2021.0,250.0,650.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,39.0,22.0,5.0,2022.0,5000.0,4435.606060606061
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,23.0,7.0,2020.0,1500.0,1500.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,62.0,23.0,9.0,2020.0,250.0,9833.333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,23.0,10.0,2019.0,750.0,495.253164556962
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,4.0,23.0,10.0,2019.0,250.0,495.253164556962
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,23.0,10.0,2020.0,250.0,661.8421052631579
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,23.0,11.0,2020.0,250.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,31.0,24.0,4.0,2022.0,1000.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,23.0,24.0,6.0,2021.0,750.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,21.0,24.0,7.0,2021.0,500.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,24.0,8.0,2021.0,2500.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,16.0,25.0,1.0,2022.0,2250.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,11.0,25.0,6.0,2021.0,750.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,25.0,7.0,2020.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,24.0,25.0,9.0,2019.0,1750.0,2140.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,4.0,26.0,4.0,2022.0,750.0,495.253164556962
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,27.0,2.0,2020.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,13.0,27.0,2.0,2021.0,2750.0,1440.406976744186
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,6.0,27.0,6.0,2021.0,500.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,28.0,5.0,2022.0,500.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,4.0,28.0,7.0,2021.0,1000.0,1000.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,28.0,10.0,2019.0,250.0,2140.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,16.0,29.0,1.0,2020.0,1750.0,2140.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,29.0,1.0,2021.0,500.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,23.0,29.0,3.0,2021.0,1750.0,1457.112970711297
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,9.0,29.0,10.0,2019.0,1750.0,976.3681592039801
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,15.0,29.0,12.0,2019.0,250.0,2140.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,30.0,1.0,2021.0,1250.0,976.3681592039801
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,9.0,30.0,6.0,2022.0,750.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,14.0,30.0,12.0,2021.0,2000.0,883.3333333333334
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,2.0,2.0,12.0,2019.0,500.0,500.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,8.0,11.0,2019.0,250.0,250.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,35.0,17.0,12.0,2019.0,8750.0,8750.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,13.0,23.0,12.0,2019.0,3250.0,3250.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,11.0,10.0,12.0,2019.0,2750.0,2750.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,9.0,21.0,8.0,2019.0,2250.0,2250.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,9.0,30.0,10.0,2019.0,1000.0,976.3681592039801
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,27.0,27.0,11.0,2019.0,6750.0,6750.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,11.0,9.0,2019.0,250.0,250.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,2.0,20.0,9.0,2019.0,500.0,500.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,16.0,11.0,2019.0,250.0,250.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,12.0,27.0,12.0,2019.0,3000.0,3000.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,7.0,16.0,12.0,2019.0,1750.0,1750.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,7.0,4.0,9.0,2019.0,1250.0,976.3681592039801
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,2.0,7.0,11.0,2019.0,500.0,500.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,7.0,19.0,12.0,2019.0,1750.0,1750.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,58.0,12.0,11.0,2019.0,14500.0,14250.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,8.0,12.0,2019.0,250.0,250.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,5.0,6.0,12.0,2019.0,1250.0,1250.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,1.0,7.0,12.0,2019.0,250.0,250.0
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","quito","pichincha",1.0,7.0,1.0,6.0,2022.0,1750.0,1750.0
"actividades comunitarias","actividades de atención de la salud humana","habilitado","quito","pichincha",2.0,40.0,14.0,6.0,2022.0,1250.0,4435.606060606061
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",2.0,55.0,22.0,2.0,2022.0,12500.0,8118.421052631579
"actividades de enseñanza","enseñanza","habilitado","quito","pichincha",2.0,2.0,31.0,5.0,2022.0,250.0,250.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",4.0,17.0,3.0,5.0,2022.0,2500.0,1457.112970711297
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",1.0,4.0,3.0,6.0,2022.0,1000.0,1000.0
"actividades comunitarias","otras actividades de servicios personales","habilitado","quito","pichincha",2.0,33.0,7.0,2.0,2020.0,3000.0,4435.606060606061
