id_fact_oec_rs,id_razon_social,id_fecha,volumen_cer,volumen_horas,volumen_ganancias,volumen_porcentaje_asistencia,total_perfiles,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
6228,2176,1331,11.0,66.0,2750.0,0.8750994431185363,4,19-11-2019,19,11,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6231,2176,1393,21.0,126.0,5250.0,1.6706443914081146,1,20-09-2019,20,9,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6243,2176,1532,13.0,78.0,3250.0,1.0342084327764518,1,22-08-2019,22,8,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6246,2176,1609,1.0,6.0,250.0,0.0795544948289578,1,23-09-2019,23,9,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6252,2176,1664,1.0,6.0,250.0,0.0795544948289578,1,24-07-2019,24,7,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6255,2176,1752,2.0,12.0,500.0,0.1591089896579156,2,25-10-2019,25,10,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6266,2176,1881,1.0,6.0,250.0,0.0795544948289578,1,27-08-2019,27,8,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6194,2176,806,1.0,6.0,250.0,0.0795544948289578,1,12-04-2022,12,4,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6209,2176,997,1.0,6.0,250.0,0.0795544948289578,1,15-02-2019,15,2,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6278,2176,2059,4.0,24.0,1000.0,0.3182179793158313,1,30-04-2019,30,4,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6142,2176,16,1.0,6.0,250.0,0.0795544948289578,1,01-02-2021,1,2,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6148,2176,84,2.0,12.0,500.0,0.1591089896579156,2,02-02-2022,2,2,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6177,2176,480,4.0,24.0,1000.0,0.3182179793158313,1,07-09-2021,7,9,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6223,2176,1262,1.0,6.0,250.0,0.0795544948289578,1,18-11-2021,18,11,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6249,2176,1641,1.0,6.0,250.0,0.0795544948289578,1,24-02-2022,24,2,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6280,2176,2088,4.0,24.0,1000.0,0.3182179793158313,2,30-09-2019,30,9,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6178,2176,485,13.0,78.0,3250.0,1.034208432776452,4,07-10-2019,7,10,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6273,2176,1994,6.0,36.0,1500.0,0.477326968973747,1,29-04-2019,29,4,2019,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6143,2176,22,1.0,6.0,250.0,0.0795544948289578,1,01-03-2021,1,3,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6163,2176,314,2.0,12.0,500.0,0.1591089896579156,1,05-04-2022,5,4,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6265,2176,1861,1.0,6.0,250.0,0.0795544948289578,1,27-04-2022,27,4,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6154,2176,182,1.0,6.0,250.0,0.0795544948289578,1,03-07-2021,3,7,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
