id_oc,id_curso_perfil,id_fecha,num_cap_cer,total_cursos,volumen_capacitados,total_horas,total_ganancias
310,2703,2,54,4,110,4320,
310,2705,2,8,4,110,832,
310,2706,2,1,4,110,72,
346,2869,2,73,17,3031,1752,
346,2869,3,23,13,648,552,
346,2870,2,73,17,3031,1752,
346,2870,3,23,13,648,552,
346,2871,2,73,17,3031,1752,
346,2871,3,23,13,648,552,
346,2872,2,202,17,3031,4848,
346,2872,3,77,13,648,1848,
346,2873,2,202,17,3031,4848,
346,2873,3,77,13,648,1848,
346,2874,2,202,17,3031,4848,
346,2874,3,77,13,648,1848,
346,2875,2,355,17,3031,8520,
346,2875,3,49,13,648,1176,
346,2876,2,355,17,3031,8520,
346,2876,3,49,13,648,1176,
346,2877,2,355,17,3031,8520,
346,2877,3,49,13,648,1176,
291,4957,2,19,2,20,0,
291,5099,2,19,2,20,0,
13,172,2,57,6,236,570,
13,179,2,50,6,236,500,
13,173,2,63,6,236,630,
13,184,2,2,6,236,20,
13,190,2,10,6,236,200,
13,189,2,54,6,236,540,
450,4182,2,172,24,3608,6880,
450,4188,2,216,24,3608,43200,
450,4185,2,276,24,3608,11040,
450,4186,2,24,24,3608,960,
450,4183,2,409,24,3608,32720,
450,4184,2,58,24,3608,2320,
450,4181,2,86,24,3608,12900,
450,4189,2,86,24,3608,12900,
450,4187,2,9,24,3608,360,
405,3871,2,496,20,5039,3968,
405,3857,2,6,20,5039,144,
405,3852,2,85,20,5039,850,
405,3851,2,1106,20,5039,11060,
405,3845,2,33,20,5039,1254,
405,3872,2,33,20,5039,1254,
405,3854,2,3,20,5039,120,
405,3846,2,8,20,5039,320,
405,3847,2,80,20,5039,2080,
405,3873,2,80,20,5039,2080,
400,3661,2,17,1,17,340,
366,3444,2,48,4,52,1920,
366,3458,2,48,4,52,1920,
416,4029,2,66,23,1389,792,
416,3992,2,13,23,1389,156,
416,3971,2,107,23,1389,1284,
416,4030,2,107,23,1389,1284,
416,3993,2,80,23,1389,960,
416,4001,2,180,23,1389,2160,
416,4024,2,126,23,1389,1512,
416,4006,2,10,23,1389,120,
416,4007,2,10,23,1389,120,
416,4010,2,19,23,1389,228,731.499999924
416,4034,2,19,23,1389,228,731.499999924
416,4031,2,58,23,1389,696,7308.0
416,4032,2,58,23,1389,696,7308.0
416,4009,2,37,23,1389,444,6549.0
416,4033,2,37,23,1389,444,6549.0
416,3998,2,19,23,1389,228,
416,3969,2,145,23,1389,1740,
416,3999,2,145,23,1389,1740,
416,3972,2,38,23,1389,456,
416,3981,2,38,23,1389,456,
416,4013,2,20,23,1389,240,
416,4037,2,20,23,1389,240,
416,4015,2,19,23,1389,228,
416,4041,2,19,23,1389,228,
416,3977,2,14,23,1389,168,
416,3987,2,14,23,1389,168,
416,3975,2,26,23,1389,312,
416,3985,2,26,23,1389,312,
416,3982,2,32,23,1389,384,
416,3986,2,285,23,1389,3420,
416,3991,2,8,23,1389,96,
416,4004,2,8,23,1389,96,
416,4018,2,15,23,1389,180,
416,4019,2,15,23,1389,180,
58,679,2,2,10,178,1132,
58,680,2,31,10,178,6200,
375,3611,2,9,8,324,1080,
375,3611,0,11,12,202,1320,
375,3605,2,24,8,324,2880,
375,3605,0,18,12,202,2160,
375,3609,2,58,8,324,3480,
375,3604,2,17,8,324,2040,
375,3601,2,71,8,324,8520,
375,3601,0,28,12,202,3360,
375,4950,2,76,8,324,0,
375,4950,0,41,12,202,0,
375,4950,3,14,2,37,0,
375,3616,2,32,8,324,3840,
375,3616,3,23,2,37,2760,
107,4949,2,2,1,2,0,
469,4537,2,241,11,352,28920,
469,4539,2,4,11,352,320,
469,4538,2,16,11,352,5760,
238,2557,2,28,6,349,224,
238,2558,2,128,6,349,1024,
238,2558,0,48,8,149,384,
238,2558,3,180,5,278,1440,
238,2554,2,77,6,349,616,
238,2554,3,16,5,278,128,
238,2560,2,59,6,349,472,
238,2561,2,30,6,349,360,
238,2561,0,5,8,149,60,
238,2561,3,39,5,278,468,
238,2559,2,27,6,349,216,
238,2559,0,36,8,149,288,
238,2559,3,34,5,278,272,
445,4119,2,3,3,9,72,
445,4134,2,3,3,9,72,
445,4121,2,5,3,9,120,
467,4505,2,3,15,1256,60,
467,4504,2,3,15,1256,60,
467,4511,2,206,15,1256,2060,
467,4531,2,206,15,1256,2060,
467,4508,2,243,15,1256,4860,
467,4532,2,243,15,1256,4860,
467,4509,2,215,15,1256,2150,
467,4533,2,215,15,1256,2150,
467,4510,2,123,15,1256,1230,
467,4522,2,123,15,1256,1230,
467,4512,2,28,15,1256,280,
467,4514,2,82,15,1256,3280,
467,4514,3,14,3,44,560,
467,4521,2,82,15,1256,3280,
467,4521,3,14,3,44,560,
467,4507,2,90,15,1256,1350,
467,4519,2,52,15,1256,780,
467,4524,2,52,15,1256,780,
467,4516,2,70,15,1256,1400,
467,4527,2,70,15,1256,1400,
467,4517,2,52,15,1256,520,
467,4528,2,52,15,1256,520,
467,4518,2,6,15,1256,60,
467,4534,2,6,15,1256,60,
467,4515,2,20,15,1256,300,
467,4526,2,20,15,1256,300,
467,4513,2,63,15,1256,945,
467,4520,2,63,15,1256,945,
457,4276,2,5,2,13,200,1334.0
457,4278,2,8,2,13,320,
474,4569,2,5,2,16,1800,
474,4568,2,11,2,16,1100,
474,4568,0,9,1,9,900,
474,4568,3,6,1,6,600,
55,611,2,3,1,3,720,
371,3510,2,32,10,351,512,
371,3555,2,32,10,351,512,
371,3522,2,8,10,351,2240,
371,3547,2,12,10,351,720,
371,3509,2,127,10,351,2540,
371,3559,2,127,10,351,2540,
371,3530,2,14,10,351,280,
371,3554,2,14,10,351,280,
371,3534,2,113,10,351,4520,
371,3552,2,11,10,351,440,
371,3529,2,1,10,351,40,
371,3560,2,32,10,351,512,
23,286,2,51,3,121,2040,30090.0
23,289,2,51,3,121,2040,30090.0
23,285,2,24,3,121,960,
23,288,2,24,3,121,960,
23,284,2,46,3,121,1840,
23,287,2,46,3,121,1840,
440,4066,2,25,2,33,750,7252.500000000001
440,4066,0,41,4,107,1230,11894.1
440,4066,3,44,7,397,1320,12764.400000000001
440,4068,2,8,2,33,240,3540.0
440,4068,3,6,7,397,180,2655.0
458,4341,2,1,3,4,40,
458,4292,2,2,3,4,16,
458,4308,2,2,3,4,16,
458,4337,2,1,3,4,20,
150,1409,2,90,3,209,720,
150,1408,2,16,3,209,128,
475,4582,2,120,1,120,1920,
475,4586,2,120,1,120,3600,
475,4587,2,120,1,120,960,
11,90,2,32,19,1118,512,
11,169,2,32,19,1118,512,
11,140,2,59,19,1118,708,
11,154,2,92,19,1118,1104,
11,154,0,7,9,192,84,
11,154,3,25,11,680,300,
11,148,2,53,19,1118,636,
11,92,2,55,19,1118,440,
11,124,2,37,19,1118,592,
11,120,2,215,19,1118,8600,
11,120,0,78,9,192,3120,
11,120,3,102,11,680,4080,
11,158,2,215,19,1118,8600,
11,158,0,78,9,192,3120,
11,158,3,102,11,680,4080,
11,123,2,88,19,1118,704,
11,72,2,19,19,1118,152,
11,76,2,20,19,1118,320,
11,159,2,20,19,1118,320,
11,80,2,88,19,1118,704,
11,160,2,88,19,1118,704,
11,144,2,4,19,1118,48,
11,145,2,36,19,1118,432,
11,147,2,4,19,1118,72,
11,149,2,46,19,1118,828,
11,65,2,57,19,1118,684,
11,66,2,57,19,1118,684,
11,146,2,160,19,1118,1920,
11,146,0,1,9,192,12,
11,146,3,14,11,680,168,
11,104,2,10,19,1118,160,2200.0
211,2262,2,16,1,16,128,
211,2262,3,44,2,45,352,
119,1158,2,34,12,354,2312,
119,1159,2,42,12,354,2856,
119,1167,2,33,12,354,660,
119,1161,2,35,12,354,4200,
202,2080,2,4,4,104,160,
202,2073,2,19,4,104,380,
202,2077,2,31,4,104,1240,
202,2087,2,50,4,104,1000,
64,4964,2,35,3,80,0,
64,4976,2,11,3,80,0,
64,4963,2,34,3,80,0,
468,4536,2,111,1,111,6660,
468,4536,4,1,1,1,60,
468,4536,0,69,1,69,4140,
468,4536,3,4,2,57,240,
468,4536,1,2,1,2,120,
517,4824,2,13,9,109,1040,
517,4826,2,13,9,109,2600,
517,4822,2,33,9,109,2640,
517,4823,2,8,9,109,640,
517,4825,2,11,9,109,1760,
517,4821,2,1,9,109,160,
377,3630,2,17,20,1373,510,
377,3626,2,28,20,1373,336,
377,3626,1,1,1,1,12,
377,3636,2,105,20,1373,3150,
377,3636,3,1,9,238,30,
377,3635,2,480,20,1373,8640,
377,3635,3,84,9,238,1512,
377,3639,2,480,20,1373,8640,
377,3639,3,84,9,238,1512,
377,3640,2,480,20,1373,3840,
377,3640,3,84,9,238,672,
377,3629,2,51,20,1373,612,
377,3629,3,4,9,238,48,
377,3623,2,1,20,1373,36,
377,3625,2,429,20,1373,5148,
377,3625,3,78,9,238,936,
377,3641,2,429,20,1373,5148,
377,3641,3,78,9,238,936,
377,3642,2,11,20,1373,198,
377,3637,2,111,20,1373,1332,
377,3638,2,4,20,1373,72,
377,3632,2,19,20,1373,228,
409,3894,2,11,7,239,3960,
409,3892,2,21,7,239,2520,
409,3892,3,18,3,91,2160,
409,3900,2,21,7,239,2520,
409,3900,3,18,3,91,2160,
409,3895,2,66,7,239,7920,
