"estado","canton","provincia","id_fact_oec_rs","id_razon_social","id_fecha","volumen_porcentaje_asistencia","volumen_horas","fecha","razon_social","tipo_razon_social","fecha_resolucion","volumen_cer","volumen_ganancias","total_perfiles","dia","mes","anio","prediction(volumen_horas)"
"habilitado","quito","pichincha",2283.0,1223.0,171.0,0.0,6.0,"03-07-2018","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",1.0,250.0,1.0,3.0,7.0,2018.0,6.0
"habilitado","quito","pichincha",2284.0,1223.0,233.0,0.0,102.0,"04-05-2018","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",17.0,4250.0,1.0,4.0,5.0,2018.0,102.0
"habilitado","quito","pichincha",2285.0,1223.0,244.0,0.0,240.0,"04-07-2018","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",40.0,10000.0,1.0,4.0,7.0,2018.0,240.0
"habilitado","quito","pichincha",2290.0,1223.0,362.0,0.0,6.0,"06-02-2019","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",1.0,250.0,1.0,6.0,2.0,2019.0,6.0
"habilitado","quito","pichincha",2296.0,1223.0,447.0,0.0,288.0,"07-05-2019","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",48.0,12000.0,1.0,7.0,5.0,2019.0,288.0
"habilitado","quito","pichincha",2297.0,1223.0,476.0,0.0,78.0,"07-10-2018","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",13.0,3250.0,1.0,7.0,10.0,2018.0,78.0
"habilitado","quito","pichincha",2299.0,1223.0,515.0,0.0,12.0,"08-05-2018","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",2.0,500.0,1.0,8.0,5.0,2018.0,12.0
"habilitado","quito","pichincha",2300.0,1223.0,516.0,0.0,132.0,"08-05-2019","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",22.0,5500.0,1.0,8.0,5.0,2019.0,132.0
"habilitado","quito","pichincha",2315.0,1223.0,1040.0,0.0,48.0,"15-11-2018","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",8.0,2000.0,1.0,15.0,11.0,2018.0,48.0
"habilitado","quito","pichincha",2318.0,1223.0,1077.0,0.0,72.0,"16-05-2019","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",12.0,3000.0,1.0,16.0,5.0,2019.0,72.0
"habilitado","quito","pichincha",2323.0,1223.0,1129.0,0.0,1956.0,"17-02-2018","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",326.0,81500.0,1.0,17.0,2.0,2018.0,2980.0
"habilitado","quito","pichincha",2324.0,1223.0,1142.0,0.0,102.0,"17-04-2019","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",17.0,4250.0,1.0,17.0,4.0,2019.0,102.0
"habilitado","quito","pichincha",2325.0,1223.0,1147.0,0.0,30.0,"17-05-2019","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",5.0,1250.0,1.0,17.0,5.0,2019.0,30.0
"habilitado","quito","pichincha",2328.0,1223.0,1199.0,0.0,288.0,"18-02-2018","instituto tecnologico superior particular bernardo o`higgins","organismo evaluador de la conformidad","3/5/2022",48.0,12000.0,1.0,18.0,2.0,2018.0,288.0
