"area_familia","especialidad_sector","modalidad","fecha","razon_social","fecha_resolucion","canton","provincia","id_fact_oc_cp","id_razon_social","id_curso_perfil","id_fecha","dia","mes","tipo","curso_perfil","estado","tipo_razon_social","num_cap_cer","total_horas","total_ganancias","carga_horaria","costo","anio","porcentaje_asistencia","prediction(porcentaje_asistencia)"
"alimentación gastronomía y turismo","MISSING","virtual","31-12-2021","MISSING","MISSING","quito","pichincha",41.0,180.0,2556.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",29.0,17400.0,90828.0,600.0,3132.0,2021.0,0.0,6.944444444444445
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",42.0,180.0,2577.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",14.0,7000.0,48131.11111111108,500.0,3437.9365079365057,2021.0,0.0,0.1262626262626262
"educación y capacitación","capacitación","virtual","31-12-2021","MISSING","MISSING","quito","pichincha",43.0,180.0,2578.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",14.0,7000.0,48131.11111111108,500.0,3437.9365079365057,2021.0,0.0,0.1262626262626262
"forestal ecología y medio ambiente","MISSING","virtual","31-12-2021","MISSING","MISSING","quito","pichincha",44.0,180.0,2533.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",41.0,1230.0,3456.3,30.0,84.3,2021.0,0.0,6.944444444444445
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","santo domingo","santo domingo de los tsachilas",45.0,186.0,31.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",1.0,40.0,75.19999999999999,40.0,75.19999999999999,2021.0,0.0,0.0643707756678468
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","santo domingo","santo domingo de los tsachilas",46.0,186.0,30.0,6.0,31.0,12.0,"curso","prevención de riesgos laborales","calificado","operador de capacitación",19.0,760.0,3800.0,40.0,200.0,2021.0,0.0,0.0643707756678468
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",47.0,194.0,5233.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",1.0,268.0,1842.733968253967,268.0,1842.733968253967,2021.0,0.0,0.1262626262626262
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",48.0,194.0,5229.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",1.0,267.0,1835.8580952380944,267.0,1835.8580952380944,2021.0,0.0,0.1262626262626262
"educación y capacitación","capacitación","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",49.0,194.0,5232.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",1.0,266.0,1828.982222222221,266.0,1828.982222222221,2021.0,0.0,0.1262626262626262
"educación y capacitación","capacitación","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",823.0,194.0,5230.0,3.0,31.0,12.0,"curso",,"calificado","operador de capacitación",1.0,267.0,1835.8580952380944,267.0,1835.8580952380944,2018.0,0.0,0.1262626262626262
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",50.0,196.0,5110.0,6.0,31.0,12.0,"curso","brigadas de emergencia","calificado","operador de capacitación",1.0,22.0,401.06,22.0,401.06,2021.0,0.0,0.0643707756678468
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",824.0,196.0,5107.0,3.0,31.0,12.0,"curso","brigadas contra incendios","calificado","operador de capacitación",39.0,312.0,20620.08,8.0,528.72,2018.0,0.0,2.9761904761904754
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",825.0,196.0,5109.0,3.0,31.0,12.0,"curso","brigadas de comunicación","calificado","operador de capacitación",4.0,32.0,2114.88,8.0,528.72,2018.0,0.0,2.9761904761904754
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",826.0,196.0,5111.0,3.0,31.0,12.0,"curso","brigadas de evacuación y rescate","calificado","operador de capacitación",40.0,320.0,21148.800000000003,8.0,528.72,2018.0,0.0,2.9761904761904754
"procesos industriales","seguridad prevención de riesgos e higiene industrial","presencial","31-12-2018","MISSING","MISSING","quito","pichincha",827.0,196.0,5108.0,3.0,31.0,12.0,"curso","brigadas de primeros auxilios","calificado","operador de capacitación",59.0,472.0,31194.480000000003,8.0,528.72,2018.0,0.0,2.9761904761904754
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",51.0,212.0,4958.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",337.0,5392.0,178205.59999999998,16.0,528.8,2021.0,0.0,102.7372009016672
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",52.0,212.0,4959.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",337.0,5392.0,9921.28,16.0,29.44,2021.0,0.0,102.7372009016672
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",53.0,212.0,4955.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",29.0,232.0,15332.88,8.0,528.72,2021.0,0.0,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",54.0,212.0,4965.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",29.0,232.0,426.88,8.0,14.72,2021.0,0.0,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",55.0,212.0,4947.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",136.0,1088.0,71905.92,8.0,528.72,2021.0,0.0,108.33333333333331
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",56.0,212.0,4948.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",136.0,1088.0,2001.92,8.0,14.72,2021.0,0.0,108.33333333333331
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",57.0,212.0,4943.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",35.0,280.0,18505.2,8.0,528.72,2021.0,0.0,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",58.0,212.0,4962.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",35.0,280.0,515.2,8.0,14.72,2021.0,0.0,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",59.0,212.0,4949.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",181.0,2896.0,95712.8,16.0,528.8,2021.0,0.0,108.33333333333331
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",60.0,212.0,4950.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",181.0,2896.0,5328.64,16.0,29.44,2021.0,0.0,108.33333333333331
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",61.0,212.0,4945.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",187.0,2992.0,98885.6,16.0,528.8,2021.0,0.0,108.33333333333331
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",62.0,212.0,4946.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",187.0,2992.0,5505.280000000001,16.0,29.44,2021.0,0.0,108.33333333333331
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",63.0,212.0,4942.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",87.0,696.0,45998.64,8.0,528.72,2021.0,0.0,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",64.0,212.0,4944.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",87.0,696.0,1280.64,8.0,14.72,2021.0,0.0,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",65.0,212.0,4951.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",267.0,2136.0,141168.24000000002,8.0,528.72,2021.0,0.0,102.7372009016672
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",66.0,212.0,4952.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",267.0,2136.0,25802.88,8.0,96.64,2021.0,0.0,102.7372009016672
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",67.0,212.0,4960.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",11.0,88.0,5815.92,8.0,528.72,2021.0,0.0,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",68.0,212.0,4961.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",11.0,88.0,161.92000000000002,8.0,14.72,2021.0,0.0,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",69.0,212.0,4953.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",59.0,472.0,31194.480000000003,8.0,528.72,2021.0,0.0,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",70.0,212.0,4963.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",59.0,472.0,868.48,8.0,14.72,2021.0,0.0,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",71.0,212.0,4954.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",4.0,32.0,2114.88,8.0,528.72,2021.0,0.0,0.5952380952380952
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","MISSING","31-12-2021","MISSING","MISSING","quito","pichincha",72.0,212.0,4964.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",4.0,32.0,673.92,8.0,168.48,2021.0,0.0,0.5952380952380952
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2021","MISSING","MISSING","quito","pichincha",73.0,212.0,4956.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",61.0,976.0,32256.8,16.0,528.8,2021.0,0.0,11.30952380952381
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","online","31-12-2021","MISSING","MISSING","quito","pichincha",74.0,212.0,4957.0,6.0,31.0,12.0,"curso",,"calificado","operador de capacitación",61.0,976.0,1795.84,16.0,29.44,2021.0,0.0,15.476190476190478
"procesos industriales","operación reparación y mantenimiento de maquinas y equipos","presencial","31-12-2019","MISSING","MISSING","quito","pichincha",964.0,212.0,4958.0,4.0,31.0,12.0,"curso",,"calificado","operador de capacitación",49.0,784.0,25911.2,16.0,528.8,2019.0,0.0,11.30952380952381
