"razon_social","estado","fecha_resolucion","canton","provincia","id_fact_oec_rs","id_razon_social","id_fecha","fecha","tipo_razon_social","volumen_cer","volumen_horas","volumen_ganancias","total_perfiles","dia","mes","anio","volumen_porcentaje_asistencia","prediction(volumen_porcentaje_asistencia)"
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1715.0,1192.0,2083.0,"30-08-2021","organismo evaluador de la conformidad",5.0,30.0,1250.0,1.0,30.0,8.0,2021.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1669.0,1192.0,564.0,"08-12-2016","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,8.0,12.0,2016.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1671.0,1192.0,633.0,"09-12-2016","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,9.0,12.0,2016.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1694.0,1192.0,1312.0,"19-08-2019","organismo evaluador de la conformidad",24.0,144.0,6000.0,1.0,19.0,8.0,2019.0,0.0,0.9268313621990469
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1660.0,1192.0,358.0,"05-12-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,5.0,12.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1663.0,1192.0,433.0,"07-01-2019","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,7.0,1.0,2019.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1678.0,1192.0,815.0,"12-06-2019","organismo evaluador de la conformidad",7.0,42.0,1750.0,1.0,12.0,6.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1680.0,1192.0,926.0,"14-01-2019","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,14.0,1.0,2019.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1685.0,1192.0,1031.0,"15-08-2019","organismo evaluador de la conformidad",13.0,78.0,3250.0,1.0,15.0,8.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1687.0,1192.0,1126.0,"16-12-2019","organismo evaluador de la conformidad",8.0,48.0,2000.0,2.0,16.0,12.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1689.0,1192.0,1195.0,"17-12-2019","organismo evaluador de la conformidad",6.0,36.0,1500.0,1.0,17.0,12.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1695.0,1192.0,1320.0,"19-09-2019","organismo evaluador de la conformidad",13.0,78.0,3250.0,3.0,19.0,9.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1654.0,1192.0,86.0,"02-03-2017","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,2.0,3.0,2017.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1657.0,1192.0,229.0,"04-03-2017","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,4.0,3.0,2017.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1683.0,1192.0,968.0,"14-09-2018","organismo evaluador de la conformidad",4.0,24.0,1000.0,1.0,14.0,9.0,2018.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1682.0,1192.0,963.0,"14-08-2019","organismo evaluador de la conformidad",10.0,60.0,2500.0,1.0,14.0,8.0,2019.0,0.0,0.33572347793004437
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1675.0,1192.0,728.0,"11-04-2017","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,11.0,4.0,2017.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1712.0,1192.0,1922.0,"28-03-2018","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,28.0,3.0,2018.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1655.0,1192.0,156.0,"03-03-2017","organismo evaluador de la conformidad",3.0,18.0,750.0,1.0,3.0,3.0,2017.0,0.0,0.11488901095686185
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1666.0,1192.0,527.0,"08-06-2017","organismo evaluador de la conformidad",1.0,6.0,250.0,1.0,8.0,6.0,2017.0,0.0,0.03726585106779755
"MISSING","habilitado","24-05-2021","MISSING","MISSING",1672.0,1192.0,653.0,"10-03-2017","organismo evaluador de la conformidad",2.0,12.0,500.0,1.0,10.0,3.0,2017.0,0.0,0.11488901095686185
