id_ci,id_curso,num_cap
1561,,170
1561,2219,169
271,1530,13
271,482,2
208,368,1
421,666,74
421,667,139
421,1773,44
,,52
1022,1482,12
1424,2035,6
,,8
,,36
1449,2071,5
1449,2072,10
,,1
493,753,1
,,3
1169,1681,54
1169,1685,48
1169,1678,64
1169,,8
1169,1684,8
1169,1683,9
1169,1682,18
1169,1680,11
1169,,22
1169,,16
54,78,2
54,79,4
819,1188,5
819,1189,4
819,1190,8
1750,2460,4
1750,2461,4
459,709,43
459,708,11
,,11
456,704,2
88,138,3
,,11
964,1377,47
964,1379,47
,,4
309,525,5
309,526,1211
25,29,84
25,28,26
446,1618,241
446,693,29
830,,1
55,2448,7
55,80,17
55,81,12
624,,10
121,209,2
138,242,5
117,200,372
117,887,79
117,199,62
117,889,91
117,888,39
117,1961,8
117,1960,9
31,34,26
631,1968,6
631,924,9
1286,1834,1
1286,1832,56
1286,1833,1
,,4
,,14
,,10
,,7
1531,2179,22
1143,1639,21
395,2639,6
395,635,30
949,1355,16
1079,1541,2
8,13,9
901,1288,84
901,1289,10
686,1008,25
686,1007,56
490,749,13
216,381,149
216,382,155
216,383,5
363,601,495
591,873,26
,,5
634,926,20
634,925,38
634,1326,32
675,987,1
1479,2109,7
1773,2500,125
416,1507,4
416,664,39
416,,10
416,1505,4
416,1506,4
416,662,107
416,,2
416,,23
416,,2
316,534,1
316,535,9
354,591,149
657,964,1
,,17
,,163
,,10
,,18
70,108,28
70,107,12
627,918,362
627,1787,1
627,1786,10
,,197
,,369
,,84
735,1078,17
1406,2011,5
,,5
290,501,2
1822,2576,57
186,317,3
630,923,28
,,7
,,5
781,1140,1
781,2579,20
781,2580,9
,,54
201,351,10
2033,2873,29
2033,2871,29
2033,2872,28
1291,1840,5
,,58
81,126,1
911,1303,16
1270,1812,26
1270,1814,13
1270,,49
1279,1824,15
579,859,79
579,1898,6
579,1899,3
579,2430,6
579,2429,1
,,65
,,21
,,8
,,3
,,3
723,1065,21
,,28
,,24
189,322,271
1499,2137,8
950,,3
950,,4
950,,16
950,,4
950,,28
950,,110
,,83
1059,,6
1059,,2
383,619,94
1015,1471,4
435,2075,2
435,681,7
435,2074,216
435,680,9
1856,2630,38
1800,2546,2
1089,1554,54
1089,1553,65
1089,1555,55
1408,2012,6
1408,2014,7
1408,2013,3
542,816,2
612,902,47
,,19
,,1
,,547
,,355
,,227
,,135
507,773,4
,,70
,,1
91,142,1
91,143,1
,,248
,,47
,,89
443,689,5
443,690,5
1744,2451,9
565,838,55
1045,1514,2
130,222,1
801,1161,74
207,365,409
207,978,21
207,977,230
207,367,4
207,366,282
844,,31
844,2499,22
,,15
,,462
,,481
,,152
,,25
,,22
,,647
,,55
,,158
,,605
,,5
,,49
,,36
,,517
,,5
,,1
,,3
,,6
,,3
,,26
,,2
52,76,4
256,458,31
256,1149,17
1037,1503,28
,,5
1621,2301,19
1621,,30
1621,,17
1621,,60
,,5
973,1397,18
973,1398,49
973,1393,38
973,1395,10
595,878,2
334,568,4
1103,1605,280
1103,2551,63
1103,2550,309
1103,1604,21
,,4
1732,,7
1732,,3
326,557,41
255,457,71
255,1114,50
255,1116,30
255,456,86
255,1115,10
107,1052,4
107,181,7
107,182,2
222,391,227
222,392,77
,,23
688,1011,207
688,1010,1
,,9
133,226,103
838,1217,47
838,1218,19
682,1002,8
1475,2103,1
1652,2335,2
223,1490,68
223,393,266
223,394,216
223,395,180
223,1492,71
223,1491,75
223,1493,53
,,1
,,28
,,42
1362,,16
1362,1953,16
1362,,3
1735,2443,8
1735,2444,33
277,488,2
1570,2231,19
,,2
236,424,5
1515,2160,9
1312,1882,14
691,1808,43
691,1015,198
691,1809,48
2048,,25
2048,2899,163
2048,,140
2048,2893,12
2048,2892,13
2048,2897,158
2048,2894,309
2048,2895,19
2048,2896,130
210,373,161
210,372,136
210,371,119
210,1155,1
1656,2342,31
260,463,4
1725,2431,12
,,7
718,1056,43
718,2441,20
381,615,1
381,616,5
1745,2452,1
1337,1916,23
1337,1918,1
1337,,7
1337,1915,90
1337,1913,29
1337,1914,34
1461,2084,65
116,197,42
116,198,53
960,1365,11
,,16
,,8
,,11
,,45
,,305
,,1
165,283,1
165,282,1
1147,1651,1
1147,1650,2
167,287,1
1113,1593,88
,,178
,,65
1386,1985,1
1386,1984,5
,,16
,,9
1195,1719,41
1195,2794,3
1195,1720,16
1195,1721,33
1979,2803,7
1107,,18
1107,1580,1
,,43
,,29
,,28
,,209
1599,2275,9
58,85,3
58,84,3
977,1406,2
977,1405,14
2,5,1
2,4,70
2,6,1
1532,2180,60
1532,2182,58
1532,2181,8
593,876,10
,,2
160,275,8
,,32
,,1
859,1236,49
1369,1963,14
938,1343,19
2041,2883,1
2041,2881,18
785,1145,8
785,2092,36
785,2093,24
1679,2380,20
1189,1711,9
1189,1710,23
514,785,3
514,782,4
514,786,58
,,1
,,1
1617,2298,2
,,32
,,1
196,1349,182
196,336,1058
196,1351,4
196,335,280
1107,,55
1107,,12
,,25
,,15
,,141
415,660,31
10,14,19
281,493,4
,,2
,,115
,,4
,,2
291,502,1
,,14
,,5
1018,2225,16
1018,,521
1018,2227,62
1018,2226,9
1018,,695
1304,1871,8
,,1
1647,2329,53
1647,2328,39
488,748,1
488,1556,4
488,747,198
488,1557,28
329,561,9
329,563,47
,,15
1119,1613,4
1119,2490,63
,,11
,,23
,,37
,,22
,,45
,,9
538,1849,46
538,813,62
538,814,12
538,1848,2
538,1850,38
907,1299,9
362,,21
362,,29
362,599,6
1573,2233,26
1573,2234,27
1573,2858,3
,,15
,,10
,,43
,,2
,,1
105,175,1
105,176,35
,,8
,,1
1379,1972,28
563,836,373
1984,2807,3
,,72
,,17
,,21
,,27
,,29
,,4
,,6
649,949,4
746,1094,35
,,149
1489,2123,1
13,17,99
1125,1620,5
411,1758,7
411,656,151
411,1760,13
96,158,21
1597,2272,61
200,348,28
200,347,5
200,349,22
1423,2034,15
1345,1926,63
1345,1927,11
,,1
106,178,37
106,177,3
1180,1698,10
,,5
,,13
1067,1526,11
,,3
,,16
1513,2156,18
1513,2157,16
760,1111,8
1956,2767,8
1956,2766,5
1956,2765,11
,,13
,,14
965,1381,4
965,2466,1
818,1187,22
1007,1454,21
,,57
978,1408,14
978,1407,7
,,79
,,83
,,48
413,657,1
163,279,3
,,80
902,1290,14
766,1118,13
1305,1874,18
1305,1875,3
,,3
179,307,3
,,4
,,2
,,1
,,2
469,725,80
469,723,153
469,724,66
,,25
1967,2786,1
1503,2142,1
856,1234,4
501,765,17
,,140
,,22
,,2
,,1
283,495,116
283,497,3
283,496,160
,,11
803,1164,42
764,1117,12
764,2169,4
,,3
426,1673,34
426,1674,2
307,523,6
,,2
2002,2836,22
2002,2835,40
,,1
,,25
1752,,546
1752,2463,67
1752,2462,28
49,62,259
49,65,173
49,66,52
49,64,189
49,67,1
47,58,92
47,1589,33
483,741,1
1320,1890,3
97,163,3
1431,2048,5
916,1309,4
916,1310,2
916,1312,1
916,1313,1
,,5
,,21
1774,2501,2
2004,2839,1
,,2
,,2
707,1043,94
1811,,1
,,25
,,16
1766,2488,2
,,2
,,19
,,114
521,793,70
521,794,80
521,2052,13
1242,1777,15
1335,1907,16
76,118,19
293,507,163
293,508,226
51,74,124
51,73,35
51,69,152
51,72,74
51,70,12
51,75,29
1646,2327,39
1142,1637,29
219,386,139
219,387,65
702,1031,4
120,208,45
,,2
100,169,34
1682,2384,2
1419,2031,11
1419,2030,1
582,860,35
758,1109,2
221,389,29
1307,1878,1
,,24
266,476,117
266,475,57
266,1467,248
266,1466,167
,,30
,,239
,,51
775,1131,4
775,1133,12
775,1132,2
775,2128,8
775,1130,24
,,8
,,1
,,1
,,1
33,2238,7
33,37,111
33,38,121
1401,2007,3
1112,1587,307
356,1301,8
356,593,16
,,8
,,8
882,1264,1
882,1265,1
152,264,4
280,2293,4
280,491,22
280,492,2
280,2292,5
280,2294,155
280,2295,2
,,576
,,56
1225,1756,40
842,2445,1
842,,4
,,17
,,42
,,28
80,124,13
,,3
1465,2090,50
1457,2081,1
1076,1536,26
1076,,20
399,638,2
399,1348,15
,,5
,,16
,,14
,,63
,,22
,,19
,,20
,,24
,,51
532,806,24
532,1499,4
532,1498,3
418,1755,2
418,665,238
1303,1866,10
1303,1865,10
273,483,11
273,1196,2
332,2058,12
332,566,120
332,2060,1
332,2059,31
175,300,3
175,299,19
175,301,5
175,297,16
335,571,28
1293,1845,4
1293,1844,90
,,292
,,4
,,22
,,44
1487,2119,23
145,1294,19
145,1068,27
145,1069,33
145,1296,15
145,1295,15
145,250,128
274,485,9
647,947,5
292,506,584
292,1282,133
292,503,691
348,585,159
348,584,434
348,1924,21
872,1254,65
,,13
374,1778,24
374,1779,8
374,609,8
374,608,216
374,1780,37
374,1781,1
,,155
670,981,7
585,863,24
777,1135,319
777,2756,9
261,465,20
261,466,6
261,2056,50
1322,,31
1075,1535,1
1075,1534,12
545,2338,7
545,820,182
370,605,12
,,268
,,452
,,116
170,290,5
,,65
,,118
,,76
,,96
,,119
1239,1775,167
,,6
,,14
922,1323,90
187,319,3
1129,1623,96
1605,2280,135
,,18
,,1
1482,2113,9
,,43
,,66
,,57
66,980,5
66,95,33
1013,1470,405
1013,,5
1013,,4
1013,,23
1013,,1
,,22
,,24
,,31
,,44
,,1
151,2063,80
151,2062,1
151,2061,76
151,261,399
151,262,389
953,,3
953,1361,2
953,1360,8
771,1126,1
771,2775,1
771,2774,1
282,494,18
677,991,1
,,198
,,1
,,1
,,1
,,1
,,16
683,1003,7
,,24
,,41
,,210
,,27
,,31
,,18
323,549,284
323,,316
323,1258,436
323,550,595
323,551,2580
323,552,54
323,,39
323,1257,484
434,679,123
434,,50
,,119
,,117
738,1081,31
824,1197,38
824,1198,17
1191,1713,87
1191,1714,37
,,1
1114,1596,19
1114,1597,27
,,1
,,45
,,4
768,1120,32
990,,2
990,1425,2
990,,18
990,1424,40
,,146
,,178
,,19
,,973
,,60
,,13
,,10
,,2
1439,2057,186
108,184,85
108,183,6
108,2050,32
622,912,55
622,911,2
895,1281,7
895,2399,17
895,2401,4
895,2400,7
551,826,59
551,1993,25
551,1992,42
1232,1766,158
1232,1767,115
1232,1768,585
643,937,745
643,936,499
643,942,252
643,938,983
643,1695,797
643,1696,44
643,,280
643,939,750
643,941,694
643,940,148
86,136,1
1746,2454,24
231,410,157
231,413,750
231,411,80
231,412,136
231,409,18
,,177
,,8
328,560,28
,,8
,,2
,,42
,,14
,,50
1276,1820,27
1276,1821,33
,,3
1598,2273,4
740,1085,34
740,1087,23
740,1086,12
1349,1930,4
1056,1460,2
1056,2410,3
1056,1459,7
1056,1458,23
1056,2411,4
,,1
0,1,4
0,0,446
127,217,6
127,869,14
127,2348,2
268,477,3
1649,2330,1
1649,2332,1
1649,2331,1
,,35
,,3
,,85
1585,2251,5
1585,2252,228
1585,,7
1585,,19
1585,,70
1585,2249,112
477,736,4
698,1025,542
,,8
,,23
,,1
,,7
,,4
,,3
206,362,3
206,364,177
206,363,2
1852,2626,4
1852,2625,1
,,1
368,1655,258
368,604,569
368,1654,227
,,4
,,17
705,1037,2
705,1038,105
705,1039,3
176,303,24
176,,1
1540,2190,7
259,461,10
1265,1806,2
1473,2101,41
1586,2253,183
1586,,105
869,1251,32
,,3
,,3
,,7
,,2
212,375,188
,,4
1631,2313,24
1631,,14
1166,1675,1
986,1416,2
1874,2646,1
1355,1943,50
1355,1942,8
,,2
,,9
919,1317,40
,,1
1226,1757,17
,,88
,,27
,,9
,,3
,,2
73,114,21
,,5
,,6
87,137,7
1590,,54
1590,,4
1590,2263,8
1590,,786
1590,,9
1590,2262,4
1590,,5
1590,,3
1595,2270,2
1669,2367,345
1669,2366,183
1669,,35
1669,2371,30
1669,2368,69
1669,2365,399
1669,2369,120
,,30
,,2
,,19
,,363
,,135
350,586,41
1428,2040,88
470,727,20
470,,24
1848,2613,1
122,210,3
487,746,398
487,745,387
92,146,33
92,145,309
92,148,85
92,147,7
,,7
226,403,46
226,401,63
226,402,41
253,452,1
253,454,2
253,453,103
950,1357,112
950,,33
950,,110
787,1146,1
1152,1657,8
1152,1658,2
,,8
,,199
,,3
,,175
,,12
,,138
,,24
119,961,19
119,206,24
119,959,6
119,207,8
119,,3
119,962,29
119,,95
119,960,12
119,205,23
119,203,3
119,,2
968,1384,6
968,1383,33
,,5
364,1959,145
364,1956,82
364,602,438
388,628,166
1935,2733,4
1935,2735,5
1935,2734,10
1564,,3
449,695,21
923,1324,1
923,1325,1
344,579,5
947,2438,54
947,,5
947,1354,29
947,1352,14
1086,1548,2
1086,,14
1086,2806,3
366,603,39
,,6
109,185,3
,,10
,,1
,,1
1865,2637,2
1625,2306,3
1583,,2
135,229,245
135,230,17
711,2416,3
711,1051,3
711,2417,2
711,2418,3
1331,1900,70
1331,1901,70
397,636,29
716,1055,15
716,1811,16
979,1410,6
979,1411,39
,,2
153,266,32
153,1763,3
463,713,10
463,714,11
1827,2582,34
725,1067,152
1849,2615,14
511,777,4
1146,1649,4
1146,1648,7
,,587
,,859
,,694
141,246,7
141,931,5
141,930,1
1492,2127,29
1492,2126,48
1492,,7
2030,2865,3
659,1335,8
659,1334,6
659,965,22
659,1336,15
659,966,10
,,8
146,252,11
89,139,34
89,140,8
,,5
