id_ci,id_curso,num_cap
749,1736,12
750,1736,12
751,1736,12
752,,6
752,2124,100
752,,31
752,,1358
752,,9
752,,45
752,,1
,,4
,,7
753,2102,41
754,2240,4
754,2242,3
755,770,10
756,515,2
,308,6
757,1040,1
,,108
,,5
758,2066,31
759,2066,31
758,2065,12
759,2065,12
,,28
,,23
,150,109
,149,133
,,2
767,2557,1
768,1243,11
768,1244,18
768,1245,13
769,631,260
773,531,84
774,1722,4
775,1143,25
775,,86
775,1144,13
779,976,5
779,975,54
782,,170
782,2219,169
783,1530,13
784,1530,13
783,482,2
784,482,2
,368,1
788,666,74
789,666,74
788,667,139
789,667,139
788,1773,44
789,1773,44
,,52
790,1482,12
791,2035,6
,,8
,,36
793,2071,5
793,2072,10
,,1
794,753,1
,,3
797,1681,54
798,1681,54
797,1685,48
798,1685,48
797,1678,64
798,1678,64
797,,8
798,,8
797,1684,8
798,1684,8
797,1683,9
798,1683,9
797,1682,18
798,1682,18
797,1680,11
798,1680,11
797,,22
798,,22
797,,16
798,,16
801,78,2
801,79,4
803,1188,5
803,1189,4
803,1190,8
786,2460,4
787,2460,4
786,2461,4
787,2461,4
806,709,43
807,709,43
808,709,43
806,708,11
807,708,11
808,708,11
,,11
810,704,2
,138,3
,,11
818,1377,47
818,1379,47
,,4
823,525,5
824,525,5
823,526,1211
824,526,1211
826,29,84
827,29,84
826,28,26
827,28,26
828,1618,241
829,1618,241
828,693,29
829,693,29
830,,1
832,2448,7
833,2448,7
832,80,17
833,80,17
832,81,12
833,81,12
834,,10
835,,10
,209,2
,242,5
,200,372
,887,79
,199,62
,889,91
,888,39
,1961,8
,1960,9
844,34,26
847,1968,6
848,1968,6
849,1968,6
847,924,9
848,924,9
849,924,9
851,1834,1
851,1832,56
851,1833,1
,,4
,,14
,,10
,,7
856,2179,22
857,1639,21
861,2639,6
862,2639,6
861,635,30
862,635,30
863,1355,16
864,1541,2
866,13,9
867,13,9
869,1288,84
869,1289,10
870,1008,25
870,1007,56
871,749,13
872,749,13
,381,149
,382,155
,383,5
873,601,495
874,873,26
875,873,26
,,5
877,926,20
878,926,20
879,926,20
877,925,38
878,925,38
879,925,38
877,1326,32
878,1326,32
879,1326,32
880,987,1
882,2109,7
883,2109,7
884,2500,125
888,1507,4
889,1507,4
888,664,39
889,664,39
888,,10
889,,10
888,1505,4
889,1505,4
888,1506,4
889,1506,4
888,662,107
889,662,107
888,,2
889,,2
888,,23
889,,23
888,,2
889,,2
885,534,1
885,535,9
890,591,149
900,964,1
901,964,1
,,17
,,163
,,10
,,18
,108,28
,107,12
896,918,362
897,918,362
896,1787,1
897,1787,1
896,1786,10
897,1786,10
,,197
,,369
,,84
899,1078,17
902,2011,5
903,2011,5
,,5
904,501,2
905,2576,57
,317,3
907,923,28
,,7
,,5
908,1140,1
909,1140,1
908,2579,20
909,2579,20
908,2580,9
909,2580,9
,,54
,351,10
913,2873,29
913,2871,29
913,2872,28
915,1840,5
,,58
,126,1
916,1303,16
919,1812,26
919,1814,13
919,,49
920,1824,15
921,1824,15
922,859,79
923,859,79
924,859,79
922,1898,6
923,1898,6
924,1898,6
922,1899,3
923,1899,3
924,1899,3
922,2430,6
923,2430,6
924,2430,6
922,2429,1
923,2429,1
924,2429,1
,,65
,,21
,,8
,,3
,,3
928,1065,21
929,1065,21
,,28
,,24
,322,271
947,2137,8
948,2137,8
950,,3
950,,4
950,,16
950,,4
950,,28
950,,110
,,83
951,,6
951,,2
952,619,94
953,619,94
934,1471,4
935,2075,2
936,2075,2
935,681,7
936,681,7
935,2074,216
936,2074,216
935,680,9
936,680,9
937,2630,38
938,2546,2
939,1554,54
940,1554,54
939,1553,65
940,1553,65
939,1555,55
940,1555,55
941,2012,6
941,2014,7
941,2013,3
943,816,2
944,902,47
945,902,47
,,19
,,1
,,547
,,355
,,227
,,135
955,773,4
,,70
,,1
,142,1
,143,1
,,248
,,47
,,89
962,689,5
962,690,5
965,2451,9
966,838,55
967,838,55
968,1514,2
,222,1
971,1161,74
972,1161,74
,365,409
,978,21
,977,230
,367,4
,366,282
973,,31
974,,31
973,2499,22
974,2499,22
,,15
,,462
,,481
,,152
,,25
,,22
,,647
,,55
,,158
,,605
,,5
,,49
,,36
,,517
,,5
,,1
,,3
,,6
,,3
,,26
,,2
977,76,4
978,76,4
,458,31
,1149,17
981,1503,28
,,5
982,2301,19
983,2301,19
982,,30
983,,30
982,,17
983,,17
982,,60
983,,60
,,5
985,1397,18
985,1398,49
985,1393,38
985,1395,10
990,878,2
991,568,4
994,1605,280
995,1605,280
994,2551,63
995,2551,63
994,2550,309
995,2550,309
994,1604,21
995,1604,21
,,4
996,,7
996,,3
998,557,41
,457,71
,1114,50
,1116,30
,456,86
,1115,10
,1052,4
,181,7
,182,2
,391,227
,392,77
,,23
999,1011,207
999,1010,1
,,9
,226,103
1001,1217,47
1002,1217,47
1001,1218,19
1002,1218,19
1003,1002,8
1004,2103,1
1005,2335,2
,1490,68
,393,266
,394,216
,395,180
,1492,71
,1491,75
,1493,53
,,1
,,28
,,42
1010,,16
1010,1953,16
1010,,3
1012,2443,8
1012,2444,33
1013,488,2
1016,2231,19
1017,2231,19
,,2
,424,5
1018,2160,9
1019,1882,14
1020,1808,43
1021,1808,43
1020,1015,198
1021,1015,198
1020,1809,48
1021,1809,48
1022,,25
1022,2899,163
1022,,140
1022,2893,12
1022,2892,13
1022,2897,158
1022,2894,309
1022,2895,19
1022,2896,130
,373,161
,372,136
,371,119
,1155,1
1023,2342,31
,463,4
1024,2431,12
,,7
1026,1056,43
1027,1056,43
1026,2441,20
1027,2441,20
1029,615,1
1029,616,5
1030,2452,1
1032,1916,23
1032,1918,1
1032,,7
1032,1915,90
1032,1913,29
1032,1914,34
1036,2084,65
,197,42
,198,53
1039,1365,11
,,16
,,8
,,11
,,45
,,305
,,1
1040,283,1
1040,282,1
1047,1651,1
1047,1650,2
,287,1
1051,1593,88
,,178
,,65
1056,1985,1
1056,1984,5
,,16
,,9
1066,1719,41
1067,1719,41
1066,2794,3
1067,2794,3
1066,1720,16
1067,1720,16
1066,1721,33
1067,1721,33
1068,2803,7
1070,,18
1070,1580,1
,,43
,,29
,,28
,,209
1074,2275,9
1075,2275,9
1076,85,3
1076,84,3
1078,1406,2
1078,1405,14
1057,5,1
1058,5,1
1057,4,70
1058,4,70
1057,6,1
1058,6,1
1059,2180,60
1059,2182,58
1059,2181,8
1060,876,10
1061,876,10
,,2
,275,8
,,32
,,1
1080,1236,49
1081,1963,14
1082,1963,14
1085,1343,19
1086,1343,19
1087,2883,1
1087,2881,18
1088,1145,8
1089,1145,8
1088,2092,36
1089,2092,36
1088,2093,24
1089,2093,24
1090,2380,20
1091,1711,9
1091,1710,23
1093,785,3
1093,782,4
1093,786,58
,,1
,,1
1094,2298,2
1095,2298,2
,,32
,,1
1103,1349,182
1104,1349,182
1103,336,1058
1104,336,1058
1103,1351,4
1104,1351,4
1103,335,280
1104,335,280
1107,,55
1107,,12
,,25
,,15
,,141
1109,660,31
1110,14,19
1111,493,4
,,2
,,115
,,4
,,2
1113,502,1
,,14
,,5
1116,2225,16
1117,2225,16
1116,,521
1117,,521
1116,2227,62
1117,2227,62
1116,2226,9
1117,2226,9
1116,,695
1117,,695
1118,1871,8
,,1
1122,2329,53
1123,2329,53
1122,2328,39
1123,2328,39
1124,748,1
1125,748,1
1124,1556,4
1125,1556,4
1124,747,198
1125,747,198
1124,1557,28
1125,1557,28
1127,561,9
1127,563,47
,,15
1130,1613,4
1131,1613,4
1130,2490,63
1131,2490,63
,,11
,,23
,,37
,,22
,,45
,,9
1134,1849,46
1135,1849,46
1134,813,62
1135,813,62
1134,814,12
1135,814,12
1134,1848,2
1135,1848,2
1134,1850,38
1135,1850,38
1138,1299,9
1139,1299,9
1140,,21
1140,,29
1140,599,6
1142,2233,26
1143,2233,26
1142,2234,27
1143,2234,27
1142,2858,3
1143,2858,3
,,15
,,10
,,43
,,2
,,1
,175,1
,176,35
,,8
,,1
1144,1972,28
1146,836,373
1147,2807,3
,,72
,,17
,,21
,,27
,,29
,,4
,,6
1151,949,4
1152,1094,35
,,149
1154,2123,1
1155,17,99
1156,17,99
1157,17,99
1148,1620,5
1149,1620,5
1159,1758,7
1160,1758,7
1159,656,151
1160,656,151
1159,1760,13
1160,1760,13
,158,21
1164,2272,61
,348,28
,347,5
,349,22
1168,2034,15
1169,1926,63
1170,1926,63
1169,1927,11
1170,1927,11
,,1
,178,37
,177,3
1177,1698,10
1178,1698,10
,,5
,,13
1179,1526,11
1180,1526,11
,,3
,,16
1182,2156,18
1182,2157,16
1183,1111,8
1184,2767,8
1184,2766,5
1184,2765,11
,,13
,,14
1187,1381,4
1188,1381,4
1187,2466,1
1188,2466,1
1189,1187,22
1190,1454,21
,,57
1193,1408,14
1193,1407,7
,,79
,,83
,,48
1194,657,1
,279,3
,,80
1197,1290,14
1198,1290,14
1202,1118,13
1203,1874,18
1203,1875,3
,,3
,307,3
,,4
,,2
,,1
,,2
1210,725,80
1210,723,153
1210,724,66
,,25
1213,2786,1
1215,2142,1
1216,1234,4
1217,765,17
,,140
,,22
,,2
,,1
1223,495,116
1224,495,116
1225,495,116
1223,497,3
1224,497,3
1225,497,3
1223,496,160
1224,496,160
1225,496,160
,,11
1226,1164,42
1227,1117,12
1228,1117,12
1227,2169,4
1228,2169,4
,,3
1229,1673,34
1230,1673,34
1231,1673,34
1229,1674,2
1230,1674,2
1231,1674,2
1232,523,6
1233,523,6
,,2
1236,2836,22
1236,2835,40
,,1
,,25
1238,,546
1238,2463,67
1238,2462,28
1243,62,259
1244,62,259
1243,65,173
1244,65,173
1243,66,52
1244,66,52
1243,64,189
1244,64,189
1243,67,1
1244,67,1
1245,58,92
1246,58,92
1245,1589,33
1246,1589,33
1249,741,1
1251,1890,3
,163,3
1253,2048,5
1254,1309,4
1254,1310,2
1254,1312,1
1254,1313,1
,,5
,,21
1256,2501,2
1257,2839,1
,,2
,,2
1259,1043,94
1262,,1
,,25
,,16
1264,2488,2
,,2
,,19
,,114
1269,793,70
1270,793,70
1269,794,80
1270,794,80
1269,2052,13
1270,2052,13
1272,1777,15
1273,1907,16
,118,19
1274,507,163
1275,507,163
1274,508,226
1275,508,226
1277,74,124
1277,73,35
1277,69,152
1277,72,74
1277,70,12
1277,75,29
1278,2327,39
1279,1637,29
,386,139
,387,65
1281,1031,4
,208,45
,,2
1285,169,34
1286,169,34
1288,2384,2
1289,2031,11
1290,2031,11
1289,2030,1
1290,2030,1
1292,860,35
1293,860,35
1294,1109,2
,389,29
1299,1878,1
,,24
1301,476,117
1302,476,117
1301,475,57
1302,475,57
1301,1467,248
1302,1467,248
1301,1466,167
1302,1466,167
,,30
,,239
,,51
1303,1131,4
1304,1131,4
1303,1133,12
1304,1133,12
1303,1132,2
1304,1132,2
1303,2128,8
1304,2128,8
1303,1130,24
1304,1130,24
,,8
,,1
,,1
,,1
1305,2238,7
1306,2238,7
1305,37,111
1306,37,111
1305,38,121
1306,38,121
1307,2007,3
1309,1587,307
1310,1301,8
1311,1301,8
1310,593,16
1311,593,16
,,8
,,8
1315,1264,1
1316,1264,1
1315,1265,1
1316,1265,1
,264,4
1319,2293,4
1319,491,22
1319,492,2
1319,2292,5
1319,2294,155
1319,2295,2
,,576
,,56
1322,1756,40
1324,2445,1
1325,2445,1
1324,,4
1325,,4
,,17
,,42
,,28
,124,13
,,3
1331,2090,50
1333,2081,1
1334,1536,26
1334,,20
1335,638,2
1336,638,2
1335,1348,15
1336,1348,15
,,5
,,16
,,14
,,63
,,22
,,19
,,20
,,24
,,51
1337,806,24
1338,806,24
1339,806,24
1337,1499,4
1338,1499,4
1339,1499,4
1337,1498,3
1338,1498,3
1339,1498,3
1341,1755,2
1342,1755,2
1343,1755,2
1341,665,238
1342,665,238
1343,665,238
1344,1866,10
1344,1865,10
,483,11
,1196,2
1355,2058,12
1356,2058,12
1355,566,120
1356,566,120
1355,2060,1
1356,2060,1
1355,2059,31
1356,2059,31
,300,3
,299,19
,301,5
,297,16
1358,571,28
1365,1845,4
1365,1844,90
,,292
,,4
,,22
,,44
1367,2119,23
,1294,19
,1068,27
,1069,33
,1296,15
,1295,15
,250,128
1369,485,9
