perfil,familia,sector
SERVICIO POLIVALENTE AL CLIENTE EN ALIMENTOS Y BEBIDAS (MESERO POLIVALENTE),TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
RECEPCIÓN Y ATENCIÓN POLIVALENTE DE CLIENTES (RECEPCIONISTA POLIVALENTE),TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO
OPERACIONES AUXILIARES DE ALBAÑILERÍA,CONSTRUCCIÓN,CONSTRUCCIÓN DE EDIFICIOS
SOPORTE EN BAR (AYUDANTE DE BARTENDER),TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
SOPORTE EN LAVANDERÍA Y ROPERÍA (AYUDANTE),TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO
PROMOCIÓN Y MARKETING,ACTIVIDADES TIPO SERVICIOS,"COMERCIO AL POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
OPERACIONES AUXILIARES DE CAMPAMENTO,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
ACTIVIDADES DE ANFITRIÓN/ (HOSTESS),TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
DIGITACIÓN DE BASE DE DATOS EN MINA,"MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
DESPACHO DE COMBUSTIBLE,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
PREVENCION INTEGRAL DEL USO Y CONSUMO DE DROGAS,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
ASISTENCIA EN TOPOGRAFÍA,"MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
OPERACIÓN POLIVALENTE DE COCINA (COCINERO POLIVALENTE),TURISMO Y ALIMENTACIÓN,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
TÉCNICAS EN ARTE CULINARIO ECUATORIANO,TURISMO Y ALIMENTACIÓN,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES PARA LA ELABORACIÓN DE HORMIGONES,CONSTRUCCIÓN,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS
OPERACIONES DE ENTOMOLOGÍA EN CULTIVOS DE PALMA,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
CORTADO INDUSTRIAL DE CONFECCIÓN TEXTIL,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
OPERACIONES DE TOPOGRAFÍA SUPERFICAL Y SUBTERRÁNEA,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
TÉCNICAS DE PRODUCCIÓN PECUARIA,PRODUCCIÓN PECUARIA,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
TÉCNICAS DE CULTIVO ACUÍCOLA,"PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA
OPERACIONES DE TRANSPORTE MÓVILES EN MINA SUBTERRÁNEA,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES ESPECIALIZADAS EN MANTENIMIENTO AERONÁUTICO,"VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
OPERACIONES ESPECIALIZADAS EN MANTENIMIENTO MECÁNICO NAVAL,"VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
TOPOGRAFÍA,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
OPERACIONES DE INFORMÁTICA,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS"
VENTAS,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
OPERACIONES AUXILIARES DE MANTENIMIENTO DE CARROCERÍA DE VEHÍCULOS,"VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
"CALDERERÍA, CARPINTERÍA Y MONTAJE DE CONSTRUCCIONES METÁLICAS",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
GESTIÓN EN REFRIGERACIÓN Y AIRE ACONDICIONADO,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
GESTIÓN ESPECIALIZADA EN VENTAS,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
PREVENCIÓN DE RIESGOS LABORALES,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
PREVENCIÓN EN RIESGOS LABORALES,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
OPERACIONES DE COSECHA DE POLEN,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
GESTIÓN DE AGENCIA DE VIAJES,TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
GUÍA NACIONAL ESPECIALIZADO EN BALLENAS,TURISMO Y ALIMENTACIÓN,"ACTIVIDADESDEAGENCIASDEVIAJES,OPERADORESTURÍSTICOS,SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS"
DESARROLLO DE HARDWARE DE TELEFONÍA MÓVIL,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),TELECOMUNICACIONES
SEGURIDAD ALIMENTARIA PARA SUPERVISORES Y GERENTES - NTE INEN 2 459: 2008,TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
POSILLERO - NTE INEN 2 435: 2008,TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
CHEF DE COCINA - NTE INEN 2 442: 2008,TURISMO Y ALIMENTACIÓN,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
AYUDANTE DE MESERO - NTE INEN 2 454: 2008,TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
INSPECCIÓN DE SOLDADURA,METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
OPERACIONES ESPECIALIZADAS EN CONFECCIONES TEXTILES,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
INDUSTRIA DE LA CONFECCIÓN,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR
ADMINISTRADOR DE RESTAURANTE - NTE INEN 2 436: 2008,TURISMO Y ALIMENTACIÓN,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
ACTIVIDADES DE PARRILLA (PARRILLERO),TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
CARNICERÍA Y CHARCUTERÍA,TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
ASISTENCIA EN ARCHIVO,SERVICIOS FINANCIEROS,ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS
SERVICIO AL CLIENTE EN ALIMENTOS Y BEBIDAS (MESERO),TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
SERVICIO DE CATERING,TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
PREPARACIONES PASTELERAS Y PANADERAS (CHEF PASTELERO - PANADERO),TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
CAPITANÍA DE BOTONES,TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO
GESTIÓN DE SERVICIOS EN SALÓN (MAITRE),TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA
