"especialidad_sector","modalidad","razon_social","fecha_resolucion","canton","provincia","id_fact_oc","id_razon_social","id_curso_perfil","id_fecha","%_asistencia","costo","tipo","area_familia","curso_perfil","estado","tipo_razon_social","num_cap_cer","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","total_ganancias","prediction(total_ganancias)"
"MISSING","semipresencial","MISSING","MISSING","quito","pichincha",381.0,829.0,2873.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",202.0,17.0,3031.0,4848.0,24.0,2021.0,0.0,34688.11
"MISSING","online","MISSING","MISSING","quito","pichincha",382.0,829.0,2874.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",202.0,17.0,3031.0,4848.0,24.0,2021.0,0.0,34688.11
"MISSING","presencial","MISSING","MISSING","quito","pichincha",383.0,829.0,2875.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",355.0,17.0,3031.0,8520.0,24.0,2021.0,0.0,85929.324998295
"MISSING","online","MISSING","MISSING","quito","pichincha",384.0,829.0,2876.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",355.0,17.0,3031.0,8520.0,24.0,2021.0,0.0,85929.324998295
"MISSING","semipresencial","MISSING","MISSING","quito","pichincha",385.0,829.0,2877.0,6.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",355.0,17.0,3031.0,8520.0,24.0,2021.0,0.0,85929.324998295
"MISSING","presencial","MISSING","MISSING","quito","pichincha",386.0,829.0,2869.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",23.0,13.0,648.0,552.0,24.0,2019.0,0.0,5325.64
"MISSING","semipresencial","MISSING","MISSING","quito","pichincha",387.0,829.0,2870.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",23.0,13.0,648.0,552.0,24.0,2019.0,0.0,5325.64
"MISSING","online","MISSING","MISSING","quito","pichincha",388.0,829.0,2871.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",23.0,13.0,648.0,552.0,24.0,2019.0,0.0,5325.64
"MISSING","presencial","MISSING","MISSING","quito","pichincha",389.0,829.0,2872.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",77.0,13.0,648.0,1848.0,24.0,2019.0,0.0,10812.15
"MISSING","semipresencial","MISSING","MISSING","quito","pichincha",390.0,829.0,2873.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",77.0,13.0,648.0,1848.0,24.0,2019.0,0.0,10812.15
"MISSING","online","MISSING","MISSING","quito","pichincha",391.0,829.0,2874.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",77.0,13.0,648.0,1848.0,24.0,2019.0,0.0,10812.15
"MISSING","presencial","MISSING","MISSING","quito","pichincha",392.0,829.0,2875.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",49.0,13.0,648.0,1176.0,24.0,2019.0,0.0,10812.15
"MISSING","online","MISSING","MISSING","quito","pichincha",393.0,829.0,2876.0,4.0,0.0,0.0,"curso","procesos industriales",,"calificado","operador de capacitación",49.0,13.0,648.0,1176.0,24.0,2019.0,0.0,10812.15
