id_oc,id_curso_perfil,num_cap_cer
180,1613,103
180,1614,103
180,1615,103
559,,1
559,,1
559,,1
559,,2
559,,1
230,,6
230,,4
230,,1
230,,3
384,,3
384,,2
384,,3
384,,1
296,,39
296,,24
296,,71
296,,31
296,,10
296,,16
296,,24
296,,3
296,,8
296,,46
296,,1
704,,51
704,,43
704,,104
704,,17
704,,43
704,,8
271,,175
271,,136
271,,34
271,,103
271,,142
271,,14
271,,42
271,,77
271,,5
472,,721
472,,42
472,,268
472,,30
472,,12
472,,106
472,,7
472,,1
472,,5
472,,12
472,,52
472,,32
472,,1
472,,8
472,,3
472,,218
472,,8
472,,183
472,,26
472,,1
472,,20
472,,15
472,,16
472,,14
472,,22
472,,11
472,,7
472,,3
472,,5
389,,29
389,,34
389,,57
389,,12
379,,30
379,,3
379,,26
379,,28
379,,1
379,,8
379,,40
379,,16
379,,28
379,,21
379,,65
379,,2
379,,168
379,,1
379,,36
379,,464
379,,35
379,,8
379,,1
379,,392
379,,35
379,,17
379,,4
379,,278
379,,297
379,,178
379,,179
379,,4
379,,90
379,,115
379,,1
379,,42
379,,26
379,,1
379,,182
379,,19
379,,263
379,,306
379,,69
379,,47
379,,18
379,,1
379,,516
379,,102
379,,102
379,,278
379,,8
379,,11
379,,5
379,,5
379,,5
379,,1
379,,519
379,,2
379,,366
587,,1
587,,21
587,,1
587,,23
587,,6
442,,8
442,,7
184,,127
184,,15
184,,210
184,,14
211,2317,1337
321,,12
291,2336,8
291,2341,8
291,2332,123
291,2338,123
291,2333,34
291,2337,34
291,2334,23
291,2339,23
291,2335,5
291,2340,5
159,1284,7
572,,8
572,,1
411,,17
411,,332
342,,26
342,,1
342,,18
342,,466
342,,13
342,,10
342,,56
342,,1626
342,,1
342,,1
342,,419
342,,56
342,,7
342,,154
342,,62
342,,12
342,,1
342,,116
342,,9
342,,72
342,,132
342,,25
342,,185
342,,41
342,,21
342,,958
342,,68
342,,16
342,,145
342,,123
342,,156
632,,1
356,,1
397,,1
397,,1
397,,1
105,,2
105,,256
105,,49
105,,114
105,,71
105,,698
105,,274
105,,137
105,,511
105,,69
105,,61
105,,86
105,,17
105,,79
151,1209,53
151,1198,10
151,1216,4
151,1205,24
151,,25
151,1215,38
151,,38
151,1202,7
456,,1
202,2268,1
202,2263,1
202,2269,1
202,2266,1
202,2262,1
202,,1
289,,5
289,,5
289,,8
289,,13
289,,1
289,,78
289,,8
289,,4
289,,1
343,,204
343,,258
343,,207
343,,135
343,,40
343,,16
343,,25
343,,11
343,,398
343,,301
343,,48
343,,54
343,,114
343,,16
343,,6
343,,231
343,,219
343,,32
343,,62
343,,10
343,,2
343,,9
343,,14
343,,8
343,,17
343,,31
343,,10
343,,387
343,,42
343,,13
343,,4
343,,5
343,,160
343,,75
343,,27
343,,24
343,,7
343,,14
343,,62
343,,61
343,,33
343,,23
343,,15
343,,9
343,,85
343,,47
343,,7
343,,7
423,,6
423,,1
423,,11
412,,20
625,,62
625,,22
625,,9
625,,18
625,,18
625,,39
625,,11
557,,12
557,,19
557,,369
557,,49
557,,11
557,,27
557,,19
557,,3
557,,20
557,,13
557,,13
557,,4
557,,66
557,,40
557,,3
557,,10
557,,32
557,,41
557,,3
557,,54
557,,1
557,,18
193,1859,683
193,,95
193,1873,6
193,1900,5
193,1866,6
193,1883,5
193,,15
193,1861,5
193,,1
193,,259
193,,1
193,1865,7
193,1882,6
193,1863,6
193,1886,7
193,1881,6
193,1892,6
193,1878,5
193,1898,6
193,1872,6
193,1869,5
193,1905,6
193,1918,6
193,1921,88
193,1862,88
193,1871,5
193,1887,6
193,1917,6
193,,6
193,1879,6
193,1868,5
193,1875,5
193,1864,5
193,1923,5
193,1876,58
193,1893,5
193,1860,15
193,1890,4
193,1899,5
199,,36
199,,109
199,,126
153,,1
567,,1
362,,40
362,,24
362,,50
362,,23
362,,60
362,,24
362,,17
362,,40
362,,23
362,,17
362,,73
362,,73
362,,10
362,,9
362,,32
362,,10
362,,31
362,,84
362,,15
362,,86
362,,17
362,,15
362,,23
362,,63
362,,23
362,,23
362,,23
362,,23
362,,23
362,,8
362,,45
362,,20
362,,8
362,,11
362,,11
362,,23
362,,8
362,,73
362,,6
362,,18
362,,155
573,,1
618,,3
618,,12
618,,4
618,,10
618,,3
197,,1
197,1849,2
197,,1
601,,5
257,,9
257,,2
519,,42
519,,4
519,,7
519,,52
519,,42
519,,39
519,,5
519,,7
519,,32
519,,11
519,,27
519,,7
519,,14
519,,11
519,,30
519,,35
519,,7
519,,5
519,,40
519,,4
628,,105
628,,107
628,,1
628,,19
628,,50
628,,68
628,,56
628,,74
628,,14
628,,15
628,,63
277,,11
277,,2
277,,17
277,,9
277,,1
277,,4
277,,16
277,,1
277,,1
277,,31
277,,3
277,,17
277,,16
277,,70
277,,4
277,,10
277,,4
277,,52
277,,19
277,,140
277,2435,241
277,,5
277,,2
277,,11
277,,1
277,,18
277,,2
241,,14
241,,10
241,,34
241,,77
241,,40
241,,114
241,,38
241,,431
241,,443
241,,326
241,,111
241,,80
241,,184
241,,244
241,,27
241,,3
241,,6
241,,20
568,,246
568,,2
568,,109
568,,48
160,1277,20
160,,1
160,,21
160,1280,107
160,1281,24
160,,41
160,1282,146
160,,1
160,,27
160,1283,26
160,,1
160,,2
160,,5
160,1278,147
160,,35
160,,6
160,1279,116
160,1276,56
160,,1
,,46
421,,1
297,,11
297,,35
297,,6
297,,15
297,,20
297,,9
383,,40
383,,74
383,,60
383,,15
383,,39
383,,7
383,,5
383,,25
383,,25
383,,15
306,,6
306,,8
306,,13
306,,34
306,,3
84,989,17
84,1020,17
84,974,10
84,1012,57
84,969,361
84,1005,361
84,984,46
84,1015,46
84,983,42
84,1014,42
84,978,14
84,992,53
84,1022,53
84,988,83
84,1019,83
84,993,132
84,1031,132
84,976,49
84,1009,49
84,996,15
84,1024,15
84,995,20
84,1023,20
84,987,5
84,1018,5
84,1011,12
84,997,15
84,1002,30
84,973,46
84,1007,46
183,,5
183,,10
183,,50
183,,47
183,,16
183,,7
183,,36
183,,33
183,,36
183,,14
183,,24
183,,34
183,,8
183,,6
183,,38
183,,8
183,,90
183,,159
183,,35
183,,6
183,,5
183,,5
183,,8
183,,11
183,,16
183,,7
183,,10
183,,19
183,,13
183,,5
183,,10
183,,31
183,,70
183,,29
183,,8
183,,30
183,,55
183,,76
183,,22
183,,9
183,1636,24
183,,21
183,,47
183,,20
183,,7
183,,13
183,,6
183,,18
183,,19
183,1637,133
183,1622,23
183,1623,12
183,,8
183,,11
183,,17
183,,8
183,,12
183,,6
678,,85
678,,148
678,,13
678,,6
678,,1
678,,2
678,,1
374,,100
374,,3
374,,11
707,,3
707,,2
707,,1
707,,2
707,,42
707,,50
707,,1
707,,7
707,,3
707,,3
707,,1
707,,5
460,,39
460,,7
460,,39
460,,4
460,,227
460,,126
460,,32
460,,251
460,,187
460,,222
460,,9
287,,47
287,,54
287,,8
287,,1
62,,38
62,,320
62,,434
62,883,41
62,890,41
62,887,17
62,891,17
62,886,19
62,892,19
62,885,6
62,880,29
62,866,13
62,868,128
62,869,31
62,870,31
62,872,168
62,874,73
62,884,8
284,,538
284,,716
284,,32
284,,18
284,,3
284,,22
284,,81
284,,116
284,,13
284,,12
284,,8
284,,50
408,,70
408,,4
408,,19
408,,107
262,,72
262,,25
262,,19
262,,73
262,,13
248,,1
248,,7
248,,11
248,,4
248,,10
503,,30
503,,10
108,,66
108,,15
108,,2
276,,25
276,,261
276,,362
276,,152
276,,297
276,,287
276,,273
,,1
,1962,2
542,,19
542,,18
268,,23
268,,11
268,,22
268,,11
268,,5
268,,7
268,,19
466,,16
200,2251,39
200,2260,2
200,2256,13
200,2257,26
200,2248,7
200,2255,7
80,,27
80,,4
80,,4
80,,7
80,,3
80,,108
80,,2
80,,33
80,,139
80,,2
80,,7
80,,14
80,,65
50,,1
50,,222
50,753,11
50,,1
50,746,13
50,739,18
50,,30
50,748,10
50,736,281
,,5
,,1
493,,1
493,,1
493,,7
493,,21
493,,12
493,,3
493,,216
493,,37
493,,53
493,,71
493,,212
493,,33
493,,15
493,,91
493,,7
493,,6
493,,175
493,,30
493,,92
493,,95
