id_fact_oc_rs,id_razon_social,id_fecha,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
40,1296,6,31-12-2021,31,12,2021,lara cornejo nathaly alexandra,calificado,operador de capacitación,13-09-2021,quito,pichincha
39,1296,4,31-12-2019,31,12,2019,lara cornejo nathaly alexandra,calificado,operador de capacitación,13-09-2021,quito,pichincha
42,1323,6,31-12-2021,31,12,2021,leon leon gerardo,calificado,operador de capacitación,12/10/2021,ambato,tungurahua
361,1323,2142,31-01-2023,31,1,2023,leon leon gerardo,calificado,operador de capacitación,12/10/2021,ambato,tungurahua
43,1330,6,31-12-2021,31,12,2021,liderazgo capacitacion y consultoria davsoc compañia limitada,calificado,operador de capacitación,16-04-2021,quito,pichincha
362,1330,2142,31-01-2023,31,1,2023,liderazgo capacitacion y consultoria davsoc compañia limitada,calificado,operador de capacitación,16-04-2021,quito,pichincha
363,1330,2143,28-02-2023,28,2,2023,liderazgo capacitacion y consultoria davsoc compañia limitada,calificado,operador de capacitación,16-04-2021,quito,pichincha
47,1372,6,31-12-2021,31,12,2021,luzuriaga leon leonardo miguel,calificado,operador de capacitación,14-12-2021,loja,loja
364,1372,2142,31-01-2023,31,1,2023,luzuriaga leon leonardo miguel,calificado,operador de capacitación,14-12-2021,loja,loja
51,1375,6,31-12-2021,31,12,2021,macias robles edmundo rafael,calificado,operador de capacitación,15-12-2021,quito,pichincha
48,1375,3,31-12-2018,31,12,2018,macias robles edmundo rafael,calificado,operador de capacitación,15-12-2021,quito,pichincha
52,1375,7,31-12-2022,31,12,2022,macias robles edmundo rafael,calificado,operador de capacitación,15-12-2021,quito,pichincha
49,1375,4,31-12-2019,31,12,2019,macias robles edmundo rafael,calificado,operador de capacitación,15-12-2021,quito,pichincha
50,1375,5,31-12-2020,31,12,2020,macias robles edmundo rafael,calificado,operador de capacitación,15-12-2021,quito,pichincha
54,1399,6,31-12-2021,31,12,2021,marmol uquillas jenny alexandra,calificado,operador de capacitación,27-09-2021,quito,pichincha
56,1412,6,31-12-2021,31,12,2021,mateus francisco javier,calificado,operador de capacitación,22-05-2021,quito,pichincha
57,1412,7,31-12-2022,31,12,2022,mateus francisco javier,calificado,operador de capacitación,22-05-2021,quito,pichincha
55,1412,4,31-12-2019,31,12,2019,mateus francisco javier,calificado,operador de capacitación,22-05-2021,quito,pichincha
365,1412,2142,31-01-2023,31,1,2023,mateus francisco javier,calificado,operador de capacitación,22-05-2021,quito,pichincha
366,1412,2143,28-02-2023,28,2,2023,mateus francisco javier,calificado,operador de capacitación,22-05-2021,quito,pichincha
60,1427,6,31-12-2021,31,12,2021,mena argudo freddy roberto,calificado,operador de capacitación,29-09-2021,milagro,guayas
59,1427,4,31-12-2019,31,12,2019,mena argudo freddy roberto,calificado,operador de capacitación,29-09-2021,milagro,guayas
367,1427,2143,28-02-2023,28,2,2023,mena argudo freddy roberto,calificado,operador de capacitación,29-09-2021,milagro,guayas
66,147,6,31-12-2021,31,12,2021,asociacion fe y alegria ecuador,calificado,operador de capacitación,27-09-2021,quito,pichincha
65,147,4,31-12-2019,31,12,2019,asociacion fe y alegria ecuador,calificado,operador de capacitación,27-09-2021,quito,pichincha
69,15,6,31-12-2021,31,12,2021,acceso vertical work & rescue training compañia limitada,calificado,operador de capacitación,30-03-2021,quito,pichincha
68,15,3,31-12-2018,31,12,2018,acceso vertical work & rescue training compañia limitada,calificado,operador de capacitación,30-03-2021,quito,pichincha
72,1508,6,31-12-2021,31,12,2021,moran zambrano jose fernando,calificado,operador de capacitación,26-02-2021,guayaquil,guayas
70,1508,3,31-12-2018,31,12,2018,moran zambrano jose fernando,calificado,operador de capacitación,26-02-2021,guayaquil,guayas
71,1508,4,31-12-2019,31,12,2019,moran zambrano jose fernando,calificado,operador de capacitación,26-02-2021,guayaquil,guayas
368,1508,2142,31-01-2023,31,1,2023,moran zambrano jose fernando,calificado,operador de capacitación,26-02-2021,guayaquil,guayas
369,1508,2143,28-02-2023,28,2,2023,moran zambrano jose fernando,calificado,operador de capacitación,26-02-2021,guayaquil,guayas
73,1519,6,31-12-2021,31,12,2021,morejon arce ana belen,calificado,operador de capacitación,16-08-2021,quito,pichincha
370,1519,2143,28-02-2023,28,2,2023,morejon arce ana belen,calificado,operador de capacitación,16-08-2021,quito,pichincha
78,1579,6,31-12-2021,31,12,2021,novamanaba s.a.s.,calificado,operador de capacitación,24-05-2021,portoviejo,manabi
371,1579,2143,28-02-2023,28,2,2023,novamanaba s.a.s.,calificado,operador de capacitación,24-05-2021,portoviejo,manabi
80,1580,6,31-12-2021,31,12,2021,novillo mendoza max andres,calificado,operador de capacitación,14-10-2021,guayaquil,guayas
79,1580,4,31-12-2019,31,12,2019,novillo mendoza max andres,calificado,operador de capacitación,14-10-2021,guayaquil,guayas
372,1580,2142,31-01-2023,31,1,2023,novillo mendoza max andres,calificado,operador de capacitación,14-10-2021,guayaquil,guayas
373,1580,2143,28-02-2023,28,2,2023,novillo mendoza max andres,calificado,operador de capacitación,14-10-2021,guayaquil,guayas
82,1582,6,31-12-2021,31,12,2021,novoa guanuchi carlos alberto,calificado,operador de capacitación,11/2/2021,quito,pichincha
81,1582,4,31-12-2019,31,12,2019,novoa guanuchi carlos alberto,calificado,operador de capacitación,11/2/2021,quito,pichincha
374,1582,2142,31-01-2023,31,1,2023,novoa guanuchi carlos alberto,calificado,operador de capacitación,11/2/2021,quito,pichincha
375,1582,2143,28-02-2023,28,2,2023,novoa guanuchi carlos alberto,calificado,operador de capacitación,11/2/2021,quito,pichincha
89,1607,6,31-12-2021,31,12,2021,organizacion hse ecuador ehsq c l,calificado,operador de capacitación,14-04-2022,riobamba,chimborazo
86,1607,3,31-12-2018,31,12,2018,organizacion hse ecuador ehsq c l,calificado,operador de capacitación,14-04-2022,riobamba,chimborazo
90,1607,7,31-12-2022,31,12,2022,organizacion hse ecuador ehsq c l,calificado,operador de capacitación,14-04-2022,riobamba,chimborazo
87,1607,4,31-12-2019,31,12,2019,organizacion hse ecuador ehsq c l,calificado,operador de capacitación,14-04-2022,riobamba,chimborazo
88,1607,5,31-12-2020,31,12,2020,organizacion hse ecuador ehsq c l,calificado,operador de capacitación,14-04-2022,riobamba,chimborazo
377,1607,2142,31-01-2023,31,1,2023,organizacion hse ecuador ehsq c l,calificado,operador de capacitación,14-04-2022,riobamba,chimborazo
378,1607,2143,28-02-2023,28,2,2023,organizacion hse ecuador ehsq c l,calificado,operador de capacitación,14-04-2022,riobamba,chimborazo
92,1613,6,31-12-2021,31,12,2021,ortega toala nelson eduardo,calificado,operador de capacitación,24-08-2021,manta,manabi
379,1613,2142,31-01-2023,31,1,2023,ortega toala nelson eduardo,calificado,operador de capacitación,24-08-2021,manta,manabi
96,1627,6,31-12-2021,31,12,2021,pablo oswaldo davila castro,calificado,operador de capacitación,6/10/2021,ibarra,imbabura
380,1627,2143,28-02-2023,28,2,2023,pablo oswaldo davila castro,calificado,operador de capacitación,6/10/2021,ibarra,imbabura
99,1665,6,31-12-2021,31,12,2021,paucarina valles ana cristina,calificado,operador de capacitación,9/12/2021,quito,pichincha
98,1665,4,31-12-2019,31,12,2019,paucarina valles ana cristina,calificado,operador de capacitación,9/12/2021,quito,pichincha
100,1693,6,31-12-2021,31,12,2021,pichincha humana,calificado,operador de capacitación,23-05-2021,quito,pichincha
103,180,6,31-12-2021,31,12,2021,baculima nuñez maria antonieta,calificado,operador de capacitación,20-10-2021,quito,pichincha
296,180,2142,31-01-2023,31,1,2023,baculima nuñez maria antonieta,calificado,operador de capacitación,20-10-2021,quito,pichincha
105,1840,6,31-12-2021,31,12,2021,romero soriano juan lorenzo xavier,calificado,operador de capacitación,15-11-2021,guayaquil,guayas
382,1840,2142,31-01-2023,31,1,2023,romero soriano juan lorenzo xavier,calificado,operador de capacitación,15-11-2021,guayaquil,guayas
106,1850,6,31-12-2021,31,12,2021,rosero rosero ximena alexandra,calificado,operador de capacitación,1/3/2021,quito,pichincha
107,186,6,31-12-2021,31,12,2021,baldeon quishpe paul enrique,calificado,operador de capacitación,16-05-2021,santo domingo,santo domingo de los tsachilas
297,186,2143,28-02-2023,28,2,2023,baldeon quishpe paul enrique,calificado,operador de capacitación,16-05-2021,santo domingo,santo domingo de los tsachilas
109,1860,6,31-12-2021,31,12,2021,rueda fierro walter santiago,calificado,operador de capacitación,1/3/2021,quito,pichincha
108,1860,4,31-12-2019,31,12,2019,rueda fierro walter santiago,calificado,operador de capacitación,1/3/2021,quito,pichincha
383,1860,2142,31-01-2023,31,1,2023,rueda fierro walter santiago,calificado,operador de capacitación,1/3/2021,quito,pichincha
110,1870,6,31-12-2021,31,12,2021,s.g.s. del ecuador s.a.,calificado,operador de capacitación,29-12-2021,guayaquil,guayas
384,1870,2142,31-01-2023,31,1,2023,s.g.s. del ecuador s.a.,calificado,operador de capacitación,29-12-2021,guayaquil,guayas
116,1929,6,31-12-2021,31,12,2021,sbsmorrigan s.a.,calificado,operador de capacitación,25-08-2021,quito,pichincha
115,1929,4,31-12-2019,31,12,2019,sbsmorrigan s.a.,calificado,operador de capacitación,25-08-2021,quito,pichincha
121,194,6,31-12-2021,31,12,2021,barahona reyes mercedes lucia,calificado,operador de capacitación,14-12-2021,quito,pichincha
120,194,3,31-12-2018,31,12,2018,barahona reyes mercedes lucia,calificado,operador de capacitación,14-12-2021,quito,pichincha
298,194,2143,28-02-2023,28,2,2023,barahona reyes mercedes lucia,calificado,operador de capacitación,14-12-2021,quito,pichincha
124,196,6,31-12-2021,31,12,2021,barrazueta & asociados consultora para el cambio organizacional cia. ltda.,calificado,operador de capacitación,25-11-2021,quito,pichincha
123,196,3,31-12-2018,31,12,2018,barrazueta & asociados consultora para el cambio organizacional cia. ltda.,calificado,operador de capacitación,25-11-2021,quito,pichincha
129,1972,6,31-12-2021,31,12,2021,sociedad ecuatoriana de desarrollo educativo y social sedes,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
128,1972,3,31-12-2018,31,12,2018,sociedad ecuatoriana de desarrollo educativo y social sedes,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
386,1972,2142,31-01-2023,31,1,2023,sociedad ecuatoriana de desarrollo educativo y social sedes,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
387,1972,2143,28-02-2023,28,2,2023,sociedad ecuatoriana de desarrollo educativo y social sedes,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
130,1974,6,31-12-2021,31,12,2021,sociedad general de certificaciones ensayos y calibraciones del ecuador s.a. sgcec del ecuador,calificado,operador de capacitación,5/10/2021,samborondon,sin provincia
388,1974,2142,31-01-2023,31,1,2023,sociedad general de certificaciones ensayos y calibraciones del ecuador s.a. sgcec del ecuador,calificado,operador de capacitación,5/10/2021,samborondon,sin provincia
389,1974,2143,28-02-2023,28,2,2023,sociedad general de certificaciones ensayos y calibraciones del ecuador s.a. sgcec del ecuador,calificado,operador de capacitación,5/10/2021,samborondon,sin provincia
134,2009,6,31-12-2021,31,12,2021,tapia camacuari dilmer maximo,calificado,operador de capacitación,2/9/2021,quito,pichincha
136,2083,6,31-12-2021,31,12,2021,universidad de las fuerzas armadas - espe,calificado,operador de capacitación,27-09-2021,rumiñahui,pichincha
390,2083,2142,31-01-2023,31,1,2023,universidad de las fuerzas armadas - espe,calificado,operador de capacitación,27-09-2021,rumiñahui,pichincha
391,2083,2143,28-02-2023,28,2,2023,universidad de las fuerzas armadas - espe,calificado,operador de capacitación,27-09-2021,rumiñahui,pichincha
142,212,6,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
141,212,4,31-12-2019,31,12,2019,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
299,212,2142,31-01-2023,31,1,2023,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
300,212,2143,28-02-2023,28,2,2023,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
143,2134,6,31-12-2021,31,12,2021,vasco vasco jorge antonio,calificado,operador de capacitación,25-11-2021,riobamba,chimborazo
392,2134,2142,31-01-2023,31,1,2023,vasco vasco jorge antonio,calificado,operador de capacitación,25-11-2021,riobamba,chimborazo
393,2134,2143,28-02-2023,28,2,2023,vasco vasco jorge antonio,calificado,operador de capacitación,25-11-2021,riobamba,chimborazo
147,2191,6,31-12-2021,31,12,2021,villarreal morales tatiana jeanneth,calificado,operador de capacitación,22-03-2021,pastaza,pastaza
145,2191,3,31-12-2018,31,12,2018,villarreal morales tatiana jeanneth,calificado,operador de capacitación,22-03-2021,pastaza,pastaza
146,2191,4,31-12-2019,31,12,2019,villarreal morales tatiana jeanneth,calificado,operador de capacitación,22-03-2021,pastaza,pastaza
148,2194,6,31-12-2021,31,12,2021,villegas rodriguez pablo hernan,calificado,operador de capacitación,5/11/2021,quito,pichincha
394,2194,2143,28-02-2023,28,2,2023,villegas rodriguez pablo hernan,calificado,operador de capacitación,5/11/2021,quito,pichincha
152,220,6,31-12-2021,31,12,2021,benalcazar lucano hugo cesar,calificado,operador de capacitación,16-04-2021,ibarra,imbabura
150,220,3,31-12-2018,31,12,2018,benalcazar lucano hugo cesar,calificado,operador de capacitación,16-04-2021,ibarra,imbabura
151,220,4,31-12-2019,31,12,2019,benalcazar lucano hugo cesar,calificado,operador de capacitación,16-04-2021,ibarra,imbabura
301,220,2142,31-01-2023,31,1,2023,benalcazar lucano hugo cesar,calificado,operador de capacitación,16-04-2021,ibarra,imbabura
302,220,2143,28-02-2023,28,2,2023,benalcazar lucano hugo cesar,calificado,operador de capacitación,16-04-2021,ibarra,imbabura
153,2208,6,31-12-2021,31,12,2021,xide,calificado,operador de capacitación,30-12-2021,ibarra,imbabura
395,2208,2143,28-02-2023,28,2,2023,xide,calificado,operador de capacitación,30-12-2021,ibarra,imbabura
156,235,6,31-12-2021,31,12,2021,bgs vision empresarial bgs2017 c.l.,calificado,operador de capacitación,28-04-2022,quito,pichincha
157,235,7,31-12-2022,31,12,2022,bgs vision empresarial bgs2017 c.l.,calificado,operador de capacitación,28-04-2022,quito,pichincha
154,235,4,31-12-2019,31,12,2019,bgs vision empresarial bgs2017 c.l.,calificado,operador de capacitación,28-04-2022,quito,pichincha
155,235,5,31-12-2020,31,12,2020,bgs vision empresarial bgs2017 c.l.,calificado,operador de capacitación,28-04-2022,quito,pichincha
158,243,6,31-12-2021,31,12,2021,borniatti sega margareth isabel,calificado,operador de capacitación,25-01-2021,quito,pichincha
159,246,6,31-12-2021,31,12,2021,bravo delgado marcia maribel,calificado,operador de capacitación,22-10-2021,quito,pichincha
161,257,6,31-12-2021,31,12,2021,buckingham english center s.a. buckcenter,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
164,263,6,31-12-2021,31,12,2021,bustamante torres maria esterfilia,calificado,operador de capacitación,4/11/2021,quito,pichincha
163,263,3,31-12-2018,31,12,2018,bustamante torres maria esterfilia,calificado,operador de capacitación,4/11/2021,quito,pichincha
166,303,6,31-12-2021,31,12,2021,calle ramos froilan efrain,calificado,operador de capacitación,30-12-2021,santo domingo,santo domingo de los tsachilas
303,303,2142,31-01-2023,31,1,2023,calle ramos froilan efrain,calificado,operador de capacitación,30-12-2021,santo domingo,santo domingo de los tsachilas
304,303,2143,28-02-2023,28,2,2023,calle ramos froilan efrain,calificado,operador de capacitación,30-12-2021,santo domingo,santo domingo de los tsachilas
168,333,6,31-12-2021,31,12,2021,capacitacion profesional geniusec cia.ltda.,calificado,operador de capacitación,24-08-2021,quito,pichincha
167,333,4,31-12-2019,31,12,2019,capacitacion profesional geniusec cia.ltda.,calificado,operador de capacitación,24-08-2021,quito,pichincha
305,333,2142,31-01-2023,31,1,2023,capacitacion profesional geniusec cia.ltda.,calificado,operador de capacitación,24-08-2021,quito,pichincha
306,333,2143,28-02-2023,28,2,2023,capacitacion profesional geniusec cia.ltda.,calificado,operador de capacitación,24-08-2021,quito,pichincha
170,337,6,31-12-2021,31,12,2021,capacitaciones gastronomicas del ecuador capchef s.a.,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
169,337,4,31-12-2019,31,12,2019,capacitaciones gastronomicas del ecuador capchef s.a.,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
307,337,2142,31-01-2023,31,1,2023,capacitaciones gastronomicas del ecuador capchef s.a.,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
308,337,2143,28-02-2023,28,2,2023,capacitaciones gastronomicas del ecuador capchef s.a.,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
171,341,6,31-12-2021,31,12,2021,capacitación y consultoría de empresas kappaconsulting s.a.,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
309,341,2143,28-02-2023,28,2,2023,capacitación y consultoría de empresas kappaconsulting s.a.,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
175,348,6,31-12-2021,31,12,2021,captecsol s.a.,calificado,operador de capacitación,5/11/2021,guayaquil,guayas
310,348,2143,28-02-2023,28,2,2023,captecsol s.a.,calificado,operador de capacitación,5/11/2021,guayaquil,guayas
179,371,6,31-12-2021,31,12,2021,carvajal campoverde carlos lenin,calificado,operador de capacitación,1/3/2021,quito,pichincha
178,371,4,31-12-2019,31,12,2019,carvajal campoverde carlos lenin,calificado,operador de capacitación,1/3/2021,quito,pichincha
311,371,2142,31-01-2023,31,1,2023,carvajal campoverde carlos lenin,calificado,operador de capacitación,1/3/2021,quito,pichincha
312,371,2143,28-02-2023,28,2,2023,carvajal campoverde carlos lenin,calificado,operador de capacitación,1/3/2021,quito,pichincha
181,4,6,31-12-2021,31,12,2021,abkrea ingenieria cia. ltda.,calificado,operador de capacitación,28-03-2021,ambato,tungurahua
183,403,6,31-12-2021,31,12,2021,cecail cia.ltda.,calificado,operador de capacitación,19-10-2021,quito,pichincha
182,403,4,31-12-2019,31,12,2019,cecail cia.ltda.,calificado,operador de capacitación,19-10-2021,quito,pichincha
313,403,2142,31-01-2023,31,1,2023,cecail cia.ltda.,calificado,operador de capacitación,19-10-2021,quito,pichincha
186,417,6,31-12-2021,31,12,2021,centro caec,calificado,operador de capacitación,5/11/2021,quito,pichincha
185,417,4,31-12-2019,31,12,2019,centro caec,calificado,operador de capacitación,5/11/2021,quito,pichincha
189,440,6,31-12-2021,31,12,2021,centro de formación gastronómico milagro diaz & arce cefogami s.a.,calificado,operador de capacitación,29-12-2021,daule,guayas
187,440,3,31-12-2018,31,12,2018,centro de formación gastronómico milagro diaz & arce cefogami s.a.,calificado,operador de capacitación,29-12-2021,daule,guayas
188,440,4,31-12-2019,31,12,2019,centro de formación gastronómico milagro diaz & arce cefogami s.a.,calificado,operador de capacitación,29-12-2021,daule,guayas
314,440,2142,31-01-2023,31,1,2023,centro de formación gastronómico milagro diaz & arce cefogami s.a.,calificado,operador de capacitación,29-12-2021,daule,guayas
315,440,2143,28-02-2023,28,2,2023,centro de formación gastronómico milagro diaz & arce cefogami s.a.,calificado,operador de capacitación,29-12-2021,daule,guayas
191,446,6,31-12-2021,31,12,2021,centro educacional de idiomas y especializaciones administrativas cendia c.a.,calificado,operador de capacitación,22-05-2021,quito,pichincha
192,452,6,31-12-2021,31,12,2021,cetecform cia. ltda.,calificado,operador de capacitación,20-07-2021,quito,pichincha
316,452,2142,31-01-2023,31,1,2023,cetecform cia. ltda.,calificado,operador de capacitación,20-07-2021,quito,pichincha
317,452,2143,28-02-2023,28,2,2023,cetecform cia. ltda.,calificado,operador de capacitación,20-07-2021,quito,pichincha
193,457,6,31-12-2021,31,12,2021,cevallos villegas paulo cesar,calificado,operador de capacitación,9/11/2021,ibarra,imbabura
318,457,2142,31-01-2023,31,1,2023,cevallos villegas paulo cesar,calificado,operador de capacitación,9/11/2021,ibarra,imbabura
197,50,6,31-12-2021,31,12,2021,alban vazquez s.c.c.,calificado,operador de capacitación,17-12-2021,quito,pichincha
288,50,2142,31-01-2023,31,1,2023,alban vazquez s.c.c.,calificado,operador de capacitación,17-12-2021,quito,pichincha
289,50,2143,28-02-2023,28,2,2023,alban vazquez s.c.c.,calificado,operador de capacitación,17-12-2021,quito,pichincha
201,538,6,31-12-2021,31,12,2021,consultoria de sistema integrado de gestión cia. ltda. cecuasig,calificado,operador de capacitación,30-12-2021,guayaquil,guayas
319,538,2142,31-01-2023,31,1,2023,consultoria de sistema integrado de gestión cia. ltda. cecuasig,calificado,operador de capacitación,30-12-2021,guayaquil,guayas
203,541,6,31-12-2021,31,12,2021,consultoria y capacitacion damagecuador s.a.,calificado,operador de capacitación,30-12-2021,salcedo,cotopaxi
208,572,6,31-12-2021,31,12,2021,corporacion una oportunidad de superacion,calificado,operador de capacitación,15-10-2021,quito,pichincha
321,572,2142,31-01-2023,31,1,2023,corporacion una oportunidad de superacion,calificado,operador de capacitación,15-10-2021,quito,pichincha
322,572,2143,28-02-2023,28,2,2023,corporacion una oportunidad de superacion,calificado,operador de capacitación,15-10-2021,quito,pichincha
209,582,6,31-12-2021,31,12,2021,cranes engineering & operator ecuador cia. ltda,calificado,operador de capacitación,12/10/2021,quito,pichincha
323,582,2142,31-01-2023,31,1,2023,cranes engineering & operator ecuador cia. ltda,calificado,operador de capacitación,12/10/2021,quito,pichincha
324,582,2143,28-02-2023,28,2,2023,cranes engineering & operator ecuador cia. ltda,calificado,operador de capacitación,12/10/2021,quito,pichincha
214,632,6,31-12-2021,31,12,2021,defensoria del pueblo,calificado,operador de capacitación,22-05-2021,quito,pichincha
217,66,6,31-12-2021,31,12,2021,altitudevm marketing digital cia.ltda.,calificado,operador de capacitación,23-05-2021,guayaquil,guayas
221,665,6,31-12-2021,31,12,2021,econstrucciones riego y seguridad industrial seprytsa s.a.,calificado,operador de capacitación,20-07-2021,latacunga,cotopaxi
219,665,3,31-12-2018,31,12,2018,econstrucciones riego y seguridad industrial seprytsa s.a.,calificado,operador de capacitación,20-07-2021,latacunga,cotopaxi
220,665,4,31-12-2019,31,12,2019,econstrucciones riego y seguridad industrial seprytsa s.a.,calificado,operador de capacitación,20-07-2021,latacunga,cotopaxi
325,665,2143,28-02-2023,28,2,2023,econstrucciones riego y seguridad industrial seprytsa s.a.,calificado,operador de capacitación,20-07-2021,latacunga,cotopaxi
227,680,6,31-12-2021,31,12,2021,eduproyect proyecto global del ecuador s.a.,calificado,operador de capacitación,20-07-2021,quito,pichincha
226,680,4,31-12-2019,31,12,2019,eduproyect proyecto global del ecuador s.a.,calificado,operador de capacitación,20-07-2021,quito,pichincha
327,680,2142,31-01-2023,31,1,2023,eduproyect proyecto global del ecuador s.a.,calificado,operador de capacitación,20-07-2021,quito,pichincha
328,680,2143,28-02-2023,28,2,2023,eduproyect proyecto global del ecuador s.a.,calificado,operador de capacitación,20-07-2021,quito,pichincha
228,681,6,31-12-2021,31,12,2021,egae estrategia gestion alimentaria empresarial s.a.,calificado,operador de capacitación,15-10-2021,quito,pichincha
233,737,6,31-12-2021,31,12,2021,escuela profesional y tecnica codadepro c.a.,calificado,operador de capacitación,29-09-2021,quito,pichincha
