id_fact_oc_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap_cer,total_horas,total_ganancias,porcentaje_asistencia
1186,188,1694,7,7.0,364.0,6013.28,0.0
1187,188,1695,7,5.0,200.0,2644.0000000000005,0.0
1188,235,2658,7,10.0,400.0,2750.349206349205,0.0
1189,235,2657,7,59.0,2360.0,16227.060317460307,0.0
1190,235,2659,7,6.0,240.0,1650.2095238095228,0.0
1191,247,243,7,19.0,380.0,2612.8317460317444,0.0
1192,247,270,7,50.0,800.0,26439.999999999996,0.0
1193,247,254,7,33.0,792.0,5445.691428571426,0.0
1194,247,239,7,90.0,10800.0,74259.42857142852,0.0
1195,247,272,7,20.0,320.0,2200.2793650793637,0.0
1196,247,244,7,8.0,160.0,1100.1396825396819,0.0
1197,247,257,7,6.0,48.0,330.04190476190456,0.0
1198,247,241,7,29.0,580.0,3988.006349206347,0.0
1199,247,266,7,5.0,200.0,1375.1746031746025,0.0
1200,247,271,7,40.0,800.0,5500.69841269841,0.0
1201,247,253,7,35.0,560.0,3850.4888888888863,0.0
1202,247,245,7,7.0,140.0,962.6222222222216,0.0
1203,247,263,7,6.0,48.0,3172.32,0.0
1204,262,1765,7,32.0,1280.0,8801.117460317455,0.0
1205,344,1096,7,1.0,8.0,528.72,0.0
1206,344,1099,7,2.0,16.0,1057.44,0.0
1207,344,1101,7,24.0,192.0,12689.28,0.0
1208,344,1111,7,24.0,192.0,2507.52,0.0
1209,344,1108,7,201.0,8040.0,33848.4,0.0
1210,344,1110,7,230.0,9200.0,38732.0,0.0
1211,344,1112,7,230.0,9200.0,24011.999999999996,0.0
1212,344,1104,7,60.0,960.0,31727.999999999996,0.0
1213,344,1107,7,40.0,640.0,21152.0,0.0
1214,344,1105,7,24.0,192.0,12689.28,0.0
1215,345,2682,7,13.0,520.0,6874.400000000001,0.0
1216,345,2688,7,195.0,1560.0,2870.4,0.0
1217,345,2685,7,12.0,480.0,6345.6,0.0
1218,345,2683,7,104.0,4160.0,54995.200000000004,0.0
1219,345,2687,7,176.0,7040.0,93068.80000000002,0.0
1220,345,2684,7,300.0,12000.0,158640.00000000003,0.0
1221,356,5310,7,475.0,19000.0,564110.0000000001,0.0
1222,356,5309,7,42.0,1680.0,49879.200000000004,0.0
1223,356,5308,7,102.0,4080.0,121135.20000000001,0.0
1224,405,3184,7,10.0,380.0,2612.831746031744,0.0
