id_curso_perfil,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria,costo
125,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,programa de formación de formadores,presencial,40,275.03492063492047
126,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,acoso laboral / mobbing laboral,presencial,8,528.72
127,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,estrés laboral,presencial,8,528.72
128,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,presencial,8,528.72
129,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,presencial,16,528.8
130,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,inspecciones de seguridad y salud en el trabajo,presencial,8,528.72
131,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manipulación de cargas,presencial,8,528.72
132,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos ergonómicos,presencial,8,528.72
133,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgo psicosociales,presencial,8,528.72
134,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,permisos de trabajo para actividades de alto riesgo,presencial,8,528.72
135,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de la violencia psicológica y discriminación,presencial,8,528.72
136,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,programa de prevención integral al uso y consumo de drogas en los espacios laborales públicos y privados,presencial,8,528.72
137,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,seguridad física para los guardias,presencial,16,528.8
138,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,señalización de seguridad en el trabajo,presencial,12,528.72
139,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencia y autoprotección,presencial,12,528.72
140,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,presencial,12,528.72
141,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"reporte, investigación y análisis de accidentes e incidentes de trabajo",presencial,12,528.72
142,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el transporte y almacenamiento de productos químicos peligrosos,presencial,18,528.84
143,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,presencial,18,528.84
144,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos ergonómicos,presencial,12,528.72
145,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,12,528.72
146,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,presencial,12,528.72
147,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos psicosociales,presencial,18,528.84
148,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,presencial,12,528.72
149,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en alturas,presencial,18,528.84
150,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,levantamiento mecánico de cargas,presencial,30,528.6
151,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de comunicación,presencial,12,528.72
152,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,equipos de protección personal,presencial,12,528.72
153,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajo en espacios confinados,presencial,18,528.84
154,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de evacuación y rescate,presencial,12,528.72
155,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,legislación y normativa de seguridad y salud ocupacional,presencial,12,528.72
156,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,indicadores del sistema de gestión de la seguridad y salud en el trabajo,presencial,18,528.84
157,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,presencial,24,528.72
158,curso,finanzas comercio y ventas,riesgo financiero,formación integral para cajeros bancarios,virtual,40,104.39999999999999
159,curso,administración y legislación,gestión del talento humano,liderazgo y manejo de conflictos,online,16,110.01396825396819
160,curso,administración y legislación,gestión del talento humano,motivación y trabajo en equipo,online,8,55.006984126984094
161,curso,tecnologías de la información y comunicación,control de calidad,programa de seguridades de la información e informática con ethical hacking,presencial,40,275.03492063492047
162,curso,administración y legislación,legislación,"código orgánico general de procesos ""cogep""",presencial,24,165.02095238095228
163,curso,administración y legislación,atención y servicios de oficina,gestión integral de documentación y archivo,presencial,8,55.006984126984094
164,curso,finanzas comercio y ventas,marketing y ventas,gestión comercial eficaz,presencial,24,528.72
165,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,presencial,30,528.6
166,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos mecánico,presencial,18,528.84
167,curso,administración y legislación,gestión del talento humano,planeación de tareas y administración del tiempo,online,8,55.006984126984094
168,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos ergonómicos,online,8,14.72
169,curso,administración y legislación,atención y servicios de oficina,actualización en técnicas de redacción y ortografía,online,16,110.01396825396819
170,curso,administración y legislación,legislación,asistencia en investigación criminalística,presencial,120,825.1047619047614
