id_oec,razon_social_oec,estado,canton,provincia
266,INSTITUTO SUPERIOR TECNOLÓGICO TENA,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
267,CÁMARA DE ECONOMIA POPULAR Y SOLIDARIA DE SANTA ELENA,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
268,CAMARA DE ECONOMIA POPULAR Y SOLIDARIA DE GUAYAQUIL,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
269,INSTITUTO TECNOLOGICO SUPERIOR JAPON,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
270,CAMARA DE ECONOMIA POPULAR Y SOLIDARIA DE MANABI,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
271,EMPRESA PUBLICA DE PRODUCCION Y DESARROLLO ESTRATEGICO DE LA UNIVERSIDAD TECNICA ESTATAL DE QUEVEDO,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
272,INSTITUTO TECNOLOGICO SUPERIOR CENESTUR,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
273,INSTITUTO SUPERIOR TECNOLÓGICO LIMÓN,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
274,INSTITUTO TECNOLOGICO SUPERIOR RUMINAHUI,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
295,INSTITUTO SUPERIOR TECNOLÓGICO JUAN DE VELASCO,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
296,INSTITUTO SUPERIOR TECNOLÓGICO ANDRÉS F. CÓRDOVA - QUITO,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
297,INSTITUTO SUPERIOR TECNOLÓGICO BENITO JUAREZ,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
298,INSTITUTO SUPERIOR TECNOLÓGICO CINCO DE JUNIO,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
299,INSTITUTO SUPERIOR TECNÓLOGICO GRAN COLOMBIA,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
300,INSTITUTO SUPERIOR TECNOLÓGICO SAN PABLO DE ATENAS,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
301,INSTITUTO SUPERIOR TECNOLÓGICO SHIMIATUK KUNAPAC JATUN KAPARI,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
302,INSTITUTO SUPERIOR TECNOLÓGICO TULCÁN,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
303,CENTRO INTEGRAL ECUATORIANO DE CERTIFICACION CIEC GROUP,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
304,CEDEÑO RODRIGUEZ LEONOR ANDREA,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
305,FUNDACION EMPRESARIAL DE RIESGOS LABORALES Y AMBIENTALES EN EL TRABAJO FERLAT,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
306,INSTITUTO SUPERIOR TECNOLOGICO DE FUTBOL DE QUITO ISTFQ,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
307,WINNING CONSULTORES S A,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
308,INSTITUTO TECNOLOGICO SUPERIOR CORPORATIVO EDWARDS DEMING,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
309,ESCOBAR GARCES MARCELA FELICIDAD / CENTRO DE CAPACITACION OCUPACIONAL SUECIA,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
310,INSTITUTO SUPERIOR TECNOLÓGICO CALAZACON,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
311,ACP CONSULTORES ASOCIADOS,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
312,INSTITUTO SUPERIOR TECNOLÓGICO VICTORIA VÁSCONEZ CUVI,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
313,INSTITUTO SUPERIOR TECNOLÓGICO ANDRÉS F. CÓRDOVA - CAÑAR,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
314,INSTITUTO SUPERIOR TECNOLÓGICO GUARANDA,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
315,ANDRADE CAÑIZALES JANNY YUSLEIBY,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
316,MURIEL MORILLO DIEGO DAVID,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
317,DAREMSACORP S.A.,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
318,ASESORIA INTEGRAL DE GESTION ASINGE,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
319,TEJADA CORNEJO ESTEFANIA KATERINE,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
320,INSTITUTO SUPERIOR TECNOLÓGICO CONSEJO PROVINCIAL DE PICHINCHA,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
321,INSTITUTO SUPERIOR TECNOLÓGICO JUAN BAUTISTA VÁSQUEZ,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
322,INSTITUTO SUPERIOR TECNOLÓGICO PROVINCIA DE TUNGURAHUA,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
323,UNIVERSIDAD PARTICULAR SAN GREGORIO DE PORTOVIEJO,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
324,ESCUELA DE EVENTOS CON CARLA EVENTOSCARLA CIA.LTDA.,FINALIZO VIGENCIA DE RECONOCIMIENTO,Sin Cantón,Sin Provincia
325,MIER MEJIA MARY JEANNETH,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
326,CAIZA LOGACHO EDISON FERNANDO,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
327,CAPACITACIONES GASTRONOMICAS DEL ECUADOR CAPCHEF S.A.,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
328,ASOCIACION DE CHEFS DEL ECUADOR,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
329,PERALTA BELTRAN CONSULTORES ASOCIADOS CIA. LTDA,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
330,R C C CAPACITACION PROFESIONAL RCCEDU CIA.LTDA.,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
331,SAROQUIS S.A.,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
332,CONSORCIO CAMPUS,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
333,ORGANIZACION HSE ECUADOR EHSQ C L,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
334,CVIMSA ECUADOR C-VIMSAECUADOR S.A.,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
335,MOYA NARVAEZ FRANCISCO JAVIER,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
336,NUÑEZ BONILLA DAMIAN,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
337,CATEIN TRUJILLO HNOS,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
338,COMPAÑIA DE SERVICIOS ENDARED S.A.,CANCELADO DEFINITIVAMENTE,Sin Cantón,Sin Provincia
0,GWG S.A.S. B.I.C.,Desconocido,CUENCA,AZUAY
1,GREEN WORK CONSULTORES,Desconocido,CUENCA,AZUAY
2,ASOCIACION DE CORREDORES DE BIENES RAICES ACBIR-AZUAY,Desconocido,CUENCA,AZUAY
3,EMPRESA ELECTRICA REGIONAL CENTRO SUR CA,Desconocido,CUENCA,AZUAY
4,CAMARA DE LA PEQUEÑA INDUSTRIA DEL AZUAY,Desconocido,CUENCA,AZUAY
5,CENTRO DE CAPACITACION TECNICA CORPORATIVA CATECORP,Desconocido,CUENCA,AZUAY
6,TRENOGSIS COMPAÑIA DE RESPONSABILIDAD LIMITADA,Desconocido,CUENCA,AZUAY
7,BENALCAZAR LUCANO HUGO CESAR,Desconocido,CUENCA,AZUAY
8,UNIVERSIDAD DE CUENCA,Desconocido,CUENCA,AZUAY
9,VALLADARES CARPIO DAVID HUMBERTO,Desconocido,CUENCA,AZUAY
10,CCELITE S.A.S.,Desconocido,GUARANDA,BOLIVAR
11,INSTITUTO SUPERIOR TECNOLÓGICO TRES DE MARZO,Desconocido,CHIMBO,BOLIVAR
12,INSTITUTO SUPERIOR TECNOLÓGICO LUIS ROGERIO GONZÁLEZ,Desconocido,AZOGUES,CAÑAR
13,CAPTEEC CENTRO DE CAPACITACION TECNICA - EMPRESARIAL & TUTORIAS S.A.S.,Desconocido,LA TRONCAL,CAÑAR
14,INSTITUTO SUPERIOR TECNOLÓGICO DR. ENRIQUE NOVOA ARÍZAGA,Desconocido,LA TRONCAL,CAÑAR
15,INSTITUTO SUPERIOR PEDAGÓGICO BILINGUE INTERCULTURAL QUILLOAC,Desconocido,CAÑAR,CAÑAR
16,INSTITUTO SUPERIOR TECNOLÓGICO VICENTE FIERRO,Desconocido,TULCAN,CARCHI
17,INSTITUTO SUPERIOR TECNOLÓGICO VICENTE LEON,Desconocido,LATACUNGA,COTOPAXI
18,FUNDACION DE DESARROLLO HUMANO Y SOCIAL LATACUNGA,Desconocido,LATACUNGA,COTOPAXI
19,VELASTEGUI BRICEÑO ROSARIO GERALDINNE,Desconocido,LATACUNGA,COTOPAXI
20,GRANDA GUALPA DARWIN PATRICIO,Desconocido,LATACUNGA,COTOPAXI
21,ASOCIACION DE ESCUELAS GASTRONOMICAS DEL ECUADOR,Desconocido,LATACUNGA,COTOPAXI
22,INSTITUTO SUPERIOR TECNOLÓGICO LA MANÁ,Desconocido,LA MANA,COTOPAXI
23,ESMERALDAS ZAMBRANO LEONEL ENRIQUE,Desconocido,LATACUNGA,COTOPAXI
24,INSTITUTO SUPERIOR TECNOLÓGICO COTOPAXI,Desconocido,LATACUNGA,COTOPAXI
25,ECONSTRUCCIONES RIEGO Y SEGURIDAD INDUSTRIAL SEPRYTSA S.A.,Desconocido,LATACUNGA,COTOPAXI
26,LEGAL COACH LEGAL-COACH-C&A CIA.LTDA.,Desconocido,LATACUNGA,COTOPAXI
27,IMPROTEC INNOVACION MANTENIMIENTO PROYECTOS Y TECNOLOGIA S.A.S.,Desconocido,RIOBAMBA,CHIMBORAZO
28,INSTITUTO SUPERIOR TECNOLÓGICO MANUEL GALECIO,Desconocido,ALAUSI,CHIMBORAZO
29,INSTITUTO SUPERIOR PEDAGOGICO JAIME ROLDOS AGUILERA-BILINGUE INTERCULTURAL,Desconocido,COLTA,CHIMBORAZO
30,INSTITUTO SUPERIOR TECNOLÓGICO CARLOS CISNEROS,Desconocido,RIOBAMBA,CHIMBORAZO
31,BIOECOPAZ CONSULTORIA Y SERVICIOS AMBIENTALES,Desconocido,RIOBAMBA,CHIMBORAZO
32,INSTITUTO SUPERIOR TECNOLÓGICO RIOBAMBA,Desconocido,RIOBAMBA,CHIMBORAZO
33,MASACHE ALVARADO KARINA MONSERRATH,Desconocido,RIOBAMBA,CHIMBORAZO
34,VILLA SAMANIEGO GALO ISIDRO,Desconocido,RIOBAMBA,CHIMBORAZO
35,ESPINOZA CARDENAS LORENA DEL ROCIO,Desconocido,RIOBAMBA,CHIMBORAZO
36,INSTITUTO SUPERIOR TECNOLÓGICO JOSÉ OCHOA LEÓN,Desconocido,PASAJE,EL ORO
37,INSTITUTO SUPERIOR TECNOLÓGICO ISMAEL PÉREZ PAZMIÑO,Desconocido,MACHALA,EL ORO
38,PROEVALUATION DE EL ORO PROEVOR CIA LTDA,Desconocido,MACHALA,EL ORO
39,CARRASCO SALTOS LUANA PATRICIA,Desconocido,EL GUABO,EL ORO
40,CACERES JIMENEZ CAROL JAZMIN,Desconocido,SANTA CRUZ,GALAPAGOS
