id_oec,id_perfil,id_fecha,num_cer,total_horas,total_cursos,volumen_capacitados,total_ganacias,%_asistencia
15.0,782.0,217,6,36.0,1,6,250.0,
15.0,782.0,168,1,6.0,2,22,250.0,
15.0,782.0,219,1,6.0,1,1,250.0,
15.0,782.0,210,1,6.0,2,2,250.0,
192.0,,221,4,,1,4,,
192.0,,222,4,,2,8,,
192.0,,223,1,,2,7,,
192.0,,224,1,,2,2,,
192.0,,225,1,,3,4,,
192.0,,226,2,,2,4,,
192.0,,227,1,,2,5,,
192.0,,228,1,,2,4,,
192.0,,229,1,,2,3,,
192.0,,230,1,,2,3,,
192.0,,231,3,,3,6,,
192.0,,232,1,,3,7,,
192.0,,233,1,,2,3,,
192.0,,234,2,,2,5,,
192.0,,235,1,,3,6,,
192.0,,236,1,,2,2,,
192.0,,237,1,,1,1,,
192.0,,238,1,,1,1,,
192.0,,170,1,,2,2,,
192.0,,240,2,,1,2,,
192.0,,241,3,,2,4,,
192.0,,242,1,,2,3,,
192.0,,243,1,,3,4,,
192.0,,244,1,,3,8,,
192.0,,245,2,,1,2,,
192.0,,246,1,,1,1,,
192.0,,247,1,,2,2,,
192.0,,248,1,,1,1,,
192.0,,79,1,,1,1,,
192.0,,250,5,,1,5,,
192.0,,251,1,,1,1,,
192.0,,252,1,,3,5,,
192.0,,253,1,,1,1,,
192.0,,254,3,,2,8,,
192.0,,170,1,,2,2,,
192.0,,256,4,,1,4,,
192.0,,257,1,,1,1,,
192.0,,244,1,,3,8,,
192.0,,259,1,,2,3,,
192.0,,247,1,,2,2,,
192.0,,261,5,,1,5,,
192.0,,235,1,,3,6,,
192.0,,263,1,,1,1,,
192.0,,222,4,,2,8,,
192.0,,265,1,,1,1,,
192.0,,223,6,,2,7,,
192.0,,224,1,,2,2,,
192.0,,268,1,,1,1,,
192.0,,269,1,,1,1,,
192.0,,270,2,,1,2,,
192.0,,225,1,,3,4,,
192.0,,226,2,,2,4,,
192.0,,273,1,,1,1,,
192.0,,274,2,,1,2,,
192.0,,228,3,,2,4,,
192.0,,230,2,,2,3,,
192.0,,277,2,,1,2,,
192.0,,231,1,,3,6,,
192.0,,232,1,,3,7,,
192.0,,280,1,,1,1,,
192.0,,252,1,,3,5,,
192.0,,282,1,,1,1,,
192.0,,236,1,,2,2,,
192.0,,284,2,,2,5,,
192.0,,243,2,,3,4,,
192.0,,188,1,,1,1,,
192.0,,287,1,,1,1,,
192.0,,288,5,,1,5,,
192.0,,289,7,,1,7,,
192.0,,225,2,,3,4,,
192.0,,291,5,,1,5,,
192.0,,227,4,,2,5,,
192.0,,293,7,,1,7,,
192.0,,294,5,,1,5,,
192.0,,229,2,,2,3,,
192.0,,296,6,,1,6,,
192.0,,231,2,,3,6,,
192.0,,232,5,,3,7,,
192.0,,233,2,,2,3,,
192.0,,300,3,,1,3,,
192.0,,301,4,,1,4,,
192.0,,234,3,,2,5,,
192.0,,252,3,,3,5,,
192.0,,304,1,,1,1,,
192.0,,235,4,,3,6,,
192.0,,306,1,,1,1,,
192.0,,254,5,,2,8,,
192.0,,284,3,,2,5,,
192.0,,309,2,,1,2,,
192.0,,241,1,,2,4,,
192.0,,242,2,,2,3,,
192.0,,243,1,,3,4,,
192.0,,244,6,,3,8,,
192.0,,314,5,,1,5,,
192.0,,259,2,,2,3,,
192.0,,316,2,,1,2,,
192.0,,317,4,,1,4,,
192.0,,318,3,,1,3,,
192.0,,319,1,,1,1,,
192.0,,320,1,,1,1,,
34.0,1994.0,321,2,12.0,1,2,250.0,
34.0,1994.0,156,22,132.0,1,22,250.0,
34.0,1994.0,273,2,12.0,2,12,250.0,
34.0,1994.0,324,1,6.0,3,4,250.0,
34.0,1994.0,325,2,12.0,2,3,250.0,
34.0,2136.0,326,1,6.0,1,1,250.0,
34.0,2136.0,327,23,138.0,2,24,250.0,
34.0,2136.0,273,10,60.0,2,12,250.0,
34.0,2136.0,162,4,24.0,1,4,250.0,
34.0,2136.0,325,1,6.0,2,3,250.0,
34.0,,331,1,,1,1,,
34.0,2138.0,327,1,6.0,2,24,250.0,
34.0,2138.0,333,2,12.0,1,2,250.0,
34.0,2138.0,324,2,12.0,3,4,250.0,
34.0,2138.0,335,10,60.0,1,10,250.0,
34.0,2138.0,336,9,54.0,1,9,250.0,
34.0,2138.0,337,10,60.0,1,10,250.0,
34.0,2138.0,338,5,30.0,2,9,250.0,
34.0,2138.0,339,10,60.0,1,10,250.0,
34.0,,24,1,,1,1,,
34.0,,341,1,,1,1,,
34.0,,216,1,,1,1,,
34.0,,343,5,,1,5,,
34.0,,344,2,,2,10,,
34.0,,345,7,,1,7,,
34.0,,344,8,,2,10,,
34.0,2135.0,324,1,6.0,3,4,250.0,
34.0,2135.0,338,4,24.0,2,9,250.0,
38.0,,349,6,,1,6,,
38.0,,0,1,,1,1,,
38.0,,351,1,,2,2,,
38.0,,352,1,,1,1,,
38.0,,353,6,,1,6,,
38.0,,354,2,,1,2,,
38.0,,355,7,,1,7,,
38.0,,356,2,,1,2,,
38.0,,142,5,,1,5,,
38.0,,358,7,,2,11,,
38.0,,222,7,,2,8,,
38.0,,67,1,,1,1,,
38.0,,361,6,,1,6,,
38.0,,362,12,,1,12,,
38.0,,363,5,,1,5,,
38.0,,364,5,,1,5,,
38.0,,365,2,,1,2,,
38.0,,3,8,,1,8,,
38.0,,367,5,,1,5,,
38.0,,368,5,,1,5,,
38.0,,369,1,,1,1,,
38.0,,370,2,,1,2,,
38.0,,371,1,,1,1,,
38.0,,372,1,,1,1,,
38.0,,144,3,,1,3,,
38.0,,374,17,,1,17,,
38.0,,375,6,,1,6,,
38.0,,376,5,,1,5,,
38.0,,377,9,,1,9,,
38.0,,24,8,,1,8,,
38.0,,77,9,,1,9,,
38.0,,138,15,,1,15,,
38.0,,156,5,,1,5,,
38.0,,126,7,,1,7,,
38.0,,50,5,,1,5,,
38.0,,384,1,,1,1,,
38.0,,385,4,,1,4,,
38.0,,213,1,,1,1,,
38.0,,146,2,,1,2,,
38.0,,388,1,,1,1,,
38.0,,389,2,,1,2,,
38.0,,390,1,,1,1,,
38.0,,391,1,,1,1,,
38.0,,392,1,,1,1,,
38.0,,393,3,,1,3,,
38.0,,394,12,,1,12,,
38.0,,395,4,,1,4,,
38.0,,396,6,,1,6,,
38.0,,397,2,,1,2,,
38.0,,398,12,,1,12,,
38.0,,399,8,,1,8,,
38.0,,400,1,,1,1,,
38.0,,401,15,,1,15,,
38.0,,402,4,,1,4,,
38.0,,403,4,,1,4,,
38.0,,159,12,,1,12,,
38.0,,405,3,,1,3,,
38.0,,406,1,,1,1,,
38.0,,89,12,,2,14,,
38.0,,33,1,,1,1,,
38.0,,409,3,,1,3,,
38.0,,410,3,,1,3,,
38.0,,411,1,,1,1,,
38.0,,412,17,,1,17,,
38.0,,183,6,,1,6,,
38.0,,11,4,,1,4,,
38.0,,415,7,,1,7,,
